budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.6681592838912107,22.0,0.8040085131005938,14.0,0.825829074173578,15.0
50,0.769515642785786,15.0,0.8050455256767075,10.0,0.570056477158231,19.0
50,0.6733046857656567,20.0,0.7421120615581294,15.0,0.7813700097981531,15.0
50,0.8358734157852132,11.0,0.7640074575118931,14.0,0.7043522367857491,19.0
50,0.8349511379744136,14.0,0.8536412029599629,13.0,0.6595322837340645,22.0
50,0.730325283488639,21.0,0.8113240456377153,14.0,0.6224685213633578,19.0
50,0.7710227837100765,18.0,0.8923994715846809,9.0,0.6431493264378649,22.0
50,0.8422697290891565,13.0,0.7559287040695808,16.0,0.6252518453985885,25.0
50,0.8000805271859973,15.0,0.8161176336832622,19.0,0.7612062419256584,18.0
50,0.8542471578159743,14.0,0.9068039489067546,9.0,0.6995583885109973,17.0
50,0.7098730233192587,21.0,0.8770527810313629,10.0,0.6431721512501034,22.0
50,0.8086086777610854,15.0,0.7335739148727646,21.0,0.6828972215572484,18.0
50,0.6779002650061827,19.0,0.8450060484026539,11.0,0.8040258235907609,13.0
50,0.6670298054905308,26.0,0.8291192331814068,11.0,0.6595455086281574,20.0
50,0.7303897644215099,21.0,0.7878500091965622,16.0,0.5307427671497364,20.0
50,0.8417525317067142,14.0,0.8347815181598024,13.0,0.7038136546074711,18.0
50,0.7121323743016089,18.0,0.7795041656008309,12.0,0.5487887758453436,25.0
50,0.6557429564495244,24.0,0.7711945977078816,13.0,0.7542813579802079,18.0
50,0.7547391898759472,15.0,0.7772463953849207,13.0,0.6490096059785437,22.0
50,0.7798273491929357,16.0,0.8096614275337457,15.0,0.7394705984725902,18.0
50,0.7371329307828649,17.0,0.8550667607485104,12.0,0.7837715914695951,12.0
50,0.8353037207977845,11.0,0.7402520335224927,16.0,0.7135009315954702,19.0
50,0.7221575752016371,18.0,0.7326633626494696,18.0,0.5298063716691597,24.0
50,0.7338088932003826,19.0,0.8990843774712091,8.0,0.667343912643201,25.0
50,0.5793832008910633,23.0,0.8265708061541912,13.0,0.7416156452853415,16.0
50,0.7258484643871754,19.0,0.8638327608344121,10.0,0.6785643958553794,21.0
50,0.5084624761443665,18.0,0.8965400053835347,12.0,0.552129287947325,26.0
50,0.7683144192501723,16.0,0.8897074210264267,11.0,0.6244675627739933,20.0
50,0.5965118251968307,26.0,0.8131465659770385,12.0,0.6048625987026486,21.0
50,0.8080806759777468,14.0,0.904301687668992,8.0,0.6513147459070348,18.0
100,0.7369160223411242,37.0,0.824254359032207,28.0,0.6370611770809107,48.0
100,0.8585092203932012,22.0,0.7981217223372272,29.0,0.6083605995392137,43.0
100,0.7312145920935861,41.0,0.8289346022768289,26.0,0.6659490920368389,37.0
100,0.7760753440025752,32.0,0.7809668887117166,34.0,0.6797171764479362,38.0
100,0.7441444254458882,34.0,0.8658158687041501,22.0,0.6619574021484003,42.0
100,0.7125459824195619,40.0,0.8746422870277744,19.0,0.7074705803232761,42.0
100,0.7320781818929734,35.0,0.790003417419496,28.0,0.7308124382658707,34.0
100,0.8172743701212115,27.0,0.8424764681103896,22.0,0.6836576432033102,37.0
100,0.7908197471291213,28.0,0.8087640617154513,27.0,0.6920140339097465,35.0
100,0.7559297880395022,32.0,0.7814442566647317,28.0,0.7079106287464021,35.0
100,0.8481273281857061,24.0,0.7584660871890436,28.0,0.7435944898774003,37.0
100,0.7155893870972525,33.0,0.790229188486959,24.0,0.6714814715159334,42.0
100,0.8078574511616794,25.0,0.8461388268705801,21.0,0.6311554103550993,35.0
100,0.8150320478754843,30.0,0.8186933745248449,25.0,0.6298856792355016,30.0
100,0.6869983037619951,48.0,0.8285130463760884,21.0,0.7443847839781572,38.0
100,0.7528678922820483,34.0,0.8449984424683183,18.0,0.6959600964045544,41.0
100,0.7375889734319023,37.0,0.8211216468808469,29.0,0.6575376939794049,47.0
100,0.6978244874133308,42.0,0.8576679936756071,22.0,0.5621882679984069,40.0
100,0.7137070191281383,35.0,0.7956396862296137,26.0,0.6594883496068297,48.0
100,0.7710810946404665,32.0,0.8565667055382118,20.0,0.7409194310473843,32.0
100,0.7833913826564662,29.0,0.7989175697215488,30.0,0.6414725677810451,45.0
100,0.7293732396575099,38.0,0.821869988404312,28.0,0.6445339150013943,38.0
100,0.7629701399515068,37.0,0.7531902974058489,26.0,0.6851015845796928,39.0
100,0.7444053116900351,35.0,0.8110266634087373,27.0,0.7015982290371585,37.0
100,0.8067523120189138,30.0,0.7730023396903276,27.0,0.6843888009517498,42.0
100,0.7388375667128977,41.0,0.8394472826025149,26.0,0.6264490795830842,46.0
100,0.6956159445595915,35.0,0.8616281913813604,21.0,0.6811736706048569,41.0
100,0.7748031404213005,29.0,0.8332271365661429,25.0,0.6844974478408652,40.0
100,0.7200286494473429,39.0,0.7640884732950253,32.0,0.6475557631416564,43.0
100,0.8327999452516603,29.0,0.8776635893419056,18.0,0.6499023748516783,41.0
200,0.7590383137687531,68.0,0.8335352509518736,53.0,0.777565126932412,63.0
200,0.7427514287712029,64.0,0.8022331061969756,60.0,0.6639847123021296,77.0
200,0.7701016330294337,64.0,0.8515153237344395,45.0,0.7171462960360311,76.0
200,0.7779596890220928,61.0,0.8354937744045201,53.0,0.7333093949995274,63.0
200,0.7309800599406733,70.0,0.8076337616902691,51.0,0.7022364366191141,79.0
200,0.762034601325192,62.0,0.7980744007474687,54.0,0.6855598782933574,86.0
200,0.7117742931476165,79.0,0.8178063819671793,52.0,0.7420637354528048,81.0
200,0.7724692266472976,65.0,0.8235041305770776,52.0,0.6827397406007243,82.0
200,0.7158220982241705,75.0,0.8217965955135974,46.0,0.6681918404189201,73.0
200,0.6851531853970836,82.0,0.8131878600729845,55.0,0.6395425242923359,76.0
200,0.7085177842826335,71.0,0.803546599208907,60.0,0.6895829253501892,82.0
200,0.7781814671118841,65.0,0.8044570571833233,52.0,0.7057560492098567,70.0
200,0.7854731978656713,63.0,0.829473335819124,52.0,0.648998713400928,85.0
200,0.7674085375841972,68.0,0.7804884195919963,65.0,0.7009433653130992,81.0
200,0.7500121931708343,61.0,0.8302006495811043,51.0,0.7465153975403869,65.0
200,0.7782160716788761,65.0,0.8732687814116457,38.0,0.7708345601131572,76.0
200,0.7926140259127818,57.0,0.8060357705717901,56.0,0.6936183772868811,89.0
200,0.7561434454657531,69.0,0.8508338955418691,42.0,0.6968788280708242,67.0
200,0.7394449313514391,73.0,0.8077667366405425,56.0,0.6657175952962244,75.0
200,0.7834873509999813,73.0,0.8304401687834612,48.0,0.7389498822858093,72.0
200,0.7536289856253499,66.0,0.8229579733828778,57.0,0.7512445186313473,74.0
