budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.8460379734169706,11.0,0.8356015659996097,13.0,0.6173641154844816,23.0
50,0.6233784573190576,15.0,0.8226501881736643,12.0,0.7357962451544272,16.0
50,0.440035347381573,18.0,0.9324518343344548,7.0,0.7369069538608439,19.0
50,0.7966679924368409,13.0,0.868371034687604,11.0,0.6363301038868738,22.0
50,0.7960686774553126,14.0,0.8247706089876873,13.0,0.5706225256087663,21.0
50,0.7938556739465286,15.0,0.8257113648380254,17.0,0.5690270415499585,26.0
50,0.6532168558934374,15.0,0.8459621473738553,10.0,0.7196789935408332,19.0
50,0.6407819815452753,15.0,0.8926538025854936,8.0,0.6344848211171301,15.0
50,0.7867287419892186,15.0,0.7467658006444161,16.0,0.7567818974131837,17.0
50,0.6652145451601594,10.0,0.7929450747057697,11.0,0.6609721166409213,20.0
50,0.6803067381384313,15.0,0.7926702159895063,15.0,0.7273473042889662,17.0
50,0.6748530723599104,18.0,0.8556846260083386,11.0,0.7887464950647498,11.0
50,0.7194170548488388,16.0,0.8158543630053688,17.0,0.5293369567670134,26.0
50,0.7256485076130169,17.0,0.8515960031900627,11.0,0.6585946472360638,18.0
50,0.4442318013059415,20.0,0.8385333502969252,13.0,0.7770970588703647,17.0
50,0.6661835847563542,15.0,0.7739095204090197,17.0,0.6428262003011971,26.0
50,0.7534807330946356,14.0,0.8984760208073792,7.0,0.7253764815932405,14.0
50,0.7878326036169007,12.0,0.8488367192011429,9.0,0.7293105573506424,14.0
50,0.7957664259278957,13.0,0.85346814994639,11.0,0.6829636150126143,19.0
50,0.7954954226659656,14.0,0.8304752465926355,12.0,0.7361058303014252,16.0
50,0.6759904162225642,15.0,0.7355928049367381,16.0,0.5530304980922489,22.0
50,0.7097754578575508,14.0,0.772187567625273,14.0,0.7089360874124613,19.0
50,0.7261355607386195,14.0,0.7947306684226759,18.0,0.6277127952940392,20.0
50,0.544567422491912,21.0,0.8424287013521145,11.0,0.6822127635886515,19.0
50,0.6503806385590151,14.0,0.8343986958606179,11.0,0.7757155185391215,16.0
50,0.6869243759663539,16.0,0.8459668046666871,16.0,0.6219280506000401,26.0
50,0.7758207409925402,15.0,0.775412286780625,14.0,0.4944141952253967,22.0
50,0.6300632112579305,14.0,0.7678670796082513,14.0,0.6863206128122097,20.0
50,0.8044259381896501,11.0,0.7291678443966693,22.0,0.6243686163414788,18.0
50,0.5020088387465473,14.0,0.7643458718684931,17.0,0.5763045683428206,23.0
100,0.7293930638346913,32.0,0.8531633860627579,23.0,0.8178438060411625,24.0
100,0.8411901431237813,23.0,0.822062469348409,30.0,0.5419173689204135,38.0
100,0.7376680633377076,28.0,0.8262675855175785,27.0,0.6980254297082723,37.0
100,0.7699103477096574,32.0,0.802692004508035,27.0,0.5463821429428282,40.0
100,0.613065229342134,29.0,0.8292014304862909,23.0,0.6923547143852429,33.0
100,0.7877393348935681,28.0,0.8258235573427196,32.0,0.7593198255572539,32.0
100,0.6363815211410616,34.0,0.8004403779397133,31.0,0.4435107356380783,42.0
100,0.8191855605280229,25.0,0.7889050487268978,25.0,0.6990088769483822,39.0
100,0.6846765220880321,31.0,0.8216341284751151,30.0,0.7120928602415721,40.0
100,0.7795124413537035,31.0,0.7753362356671127,34.0,0.6105647715536429,37.0
100,0.6348443352604087,38.0,0.8334480598283441,27.0,0.6534873838175546,42.0
100,0.7555368249295901,30.0,0.8129651606069659,28.0,0.6659079988473156,37.0
100,0.7964071324405476,25.0,0.7955727398533469,31.0,0.6023978008065632,43.0
100,0.7227069108261428,27.0,0.8224467473692336,26.0,0.6361656634450097,30.0
100,0.7653426041555318,25.0,0.8123485834909138,27.0,0.4786968695742373,42.0
100,0.8369863261952647,21.0,0.8469022563768023,22.0,0.5562540714954716,40.0
100,0.6130191496215552,37.0,0.7589774184211939,35.0,0.7393501369718221,42.0
100,0.8020355167330928,25.0,0.7694720762795534,33.0,0.6724531750949051,46.0
100,0.7920852784778298,23.0,0.8062044328616923,31.0,0.6371709754304596,45.0
100,0.7778458179737062,27.0,0.7738752898599368,33.0,0.7524790362251305,32.0
100,0.6140764900456175,32.0,0.8196160987405863,26.0,0.6475462756511143,41.0
100,0.7280258800244115,26.0,0.7515861616672169,35.0,0.6078005429642429,31.0
100,0.7970997694580915,28.0,0.7568765091866869,33.0,0.6006322720720174,34.0
100,0.685997640932502,39.0,0.8130511582603563,25.0,0.5323295184143073,48.0
100,0.5363173389946226,36.0,0.8561384093192417,21.0,0.4871298227066572,35.0
100,0.4863142017321216,35.0,0.796176717618837,36.0,0.7075432653387191,33.0
100,0.6781756517545118,37.0,0.7755849225843569,36.0,0.75168022920684,32.0
100,0.7113307926474619,27.0,0.8409277936450383,20.0,0.726560140034505,37.0
100,0.777228615502795,26.0,0.7411904696196149,36.0,0.6002199071989863,34.0
100,0.6984814001187971,34.0,0.8080446674397211,26.0,0.6452430800651443,37.0
200,0.7170280013520768,58.0,0.7926830868143656,59.0,0.5903582339324475,76.0
200,0.6296458800606419,58.0,0.8591323506165609,55.0,0.5978252460451275,84.0
200,0.6207662358467965,58.0,0.8301422434289014,50.0,0.6096698640913255,74.0
200,0.6151900770367236,64.0,0.8616376241524406,43.0,0.7377846686512951,64.0
200,0.6890574938241871,62.0,0.8308265160385115,44.0,0.5624105525678204,75.0
200,0.6416828656704974,57.0,0.8398063739924713,47.0,0.5722837354492039,80.0
200,0.6577560567901242,62.0,0.8545793077721281,49.0,0.5526103742958806,84.0
200,0.7558595252000282,54.0,0.8417100266747302,55.0,0.6414145162460788,78.0
200,0.8135520959641507,47.0,0.8501100824770328,41.0,0.6544072499815474,80.0
200,0.6055547732187518,64.0,0.8509674506865582,55.0,0.5069906346229017,83.0
200,0.6913840952233268,65.0,0.8412485629566262,51.0,0.6879727690854311,64.0
200,0.8037068337877975,54.0,0.8450816916472085,56.0,0.7420940577587289,65.0
200,0.7941795163120018,52.0,0.8081868055868743,53.0,0.6381216154601583,72.0
200,0.6720761739510132,62.0,0.7902820620495843,55.0,0.7192817431841145,68.0
200,0.7333557412613088,53.0,0.8415683439436147,41.0,0.6049366874010158,73.0
200,0.7525224941223643,55.0,0.7505591296988563,63.0,0.6027231372525161,64.0
200,0.7433200625515091,55.0,0.8398169308332828,47.0,0.685780046448759,76.0
200,0.7744715377143627,55.0,0.8148095403687354,59.0,0.6716306663467206,67.0
200,0.7502889514936747,60.0,0.8305725594776664,49.0,0.6721594771897275,74.0
200,0.6206854415559313,67.0,0.8236072875047813,51.0,0.6753987195391996,84.0
200,0.6913884298367226,64.0,0.799913238488982,55.0,0.7889418994465394,63.0
200,0.7419953536691356,59.0,0.8510868722531989,48.0,0.6088605086831931,84.0
200,0.7800400888354909,54.0,0.8115792958467406,61.0,0.6078125782293418,82.0
200,0.6475584494637183,63.0,0.8134234707472298,52.0,0.649991647083628,73.0
200,0.6724376937708065,56.0,0.8343908731435773,53.0,0.6328338833803865,72.0
200,0.7458126983142707,60.0,0.8085407587691048,52.0,0.6873122502622144,76.0
200,0.8126468754313187,53.0,0.7986377507799762,57.0,0.6767204888250229,74.0
200,0.7315523355219142,56.0,0.821209691210181,54.0,0.5780114986453457,78.0
