budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.64,18,0.62,19,0.68,16
50,0.64,18,0.46,27,0.62,19
50,0.6,20,0.5,25,0.6,20
50,0.72,14,0.48,26,0.56,22
50,0.64,18,0.44,28,0.54,23
50,0.58,21,0.34,33,0.52,24
50,0.66,17,0.6,20,0.68,16
50,0.78,11,0.74,13,0.58,21
50,0.7,15,0.6,20,0.42,29
50,0.6,20,0.48,26,0.44,28
50,0.64,18,0.7,15,0.66,17
50,0.62,19,0.58,21,0.7,15
50,0.6,20,0.52,24,0.56,22
50,0.62,19,0.42,29,0.62,19
50,0.5,25,0.58,21,0.56,22
50,0.72,14,0.62,19,0.7,15
50,0.64,18,0.56,22,0.6,20
50,0.84,8,0.54,23,0.62,19
50,0.76,12,0.62,19,0.72,14
50,0.64,18,0.68,16,0.54,23
50,0.6,20,0.7,15,0.72,14
50,0.62,19,0.5,25,0.66,17
50,0.58,21,0.52,24,0.68,16
50,0.78,11,0.62,19,0.64,18
50,0.66,17,0.66,17,0.7,15
50,0.62,19,0.52,24,0.48,26
50,0.66,17,0.62,19,0.68,16
50,0.46,27,0.5,25,0.54,23
50,0.72,14,0.6,20,0.68,16
50,0.66,17,0.52,24,0.52,24
100,0.69,31,0.65,35,0.7,30
100,0.62,38,0.58,42,0.63,37
100,0.62,38,0.59,41,0.67,33
100,0.69,31,0.54,46,0.64,36
100,0.64,36,0.52,48,0.62,38
100,0.6,40,0.49,51,0.59,41
100,0.63,37,0.66,34,0.7,30
100,0.71,29,0.68,32,0.61,39
100,0.72,28,0.58,42,0.56,44
100,0.64,36,0.47,53,0.59,41
100,0.65,35,0.68,32,0.65,35
100,0.63,37,0.64,36,0.7,30
100,0.58,42,0.6,40,0.66,34
100,0.63,37,0.52,48,0.63,37
100,0.58,42,0.65,35,0.61,39
100,0.68,32,0.58,42,0.69,31
100,0.6,40,0.61,39,0.64,36
100,0.71,29,0.61,39,0.63,37
100,0.66,34,0.63,37,0.7,30
100,0.61,39,0.59,41,0.55,45
100,0.61,39,0.69,31,0.7,30
100,0.7,30,0.6,40,0.71,29
100,0.62,38,0.6,40,0.65,35
100,0.72,28,0.61,39,0.68,32
100,0.63,37,0.66,34,0.66,34
100,0.67,33,0.56,44,0.56,44
100,0.66,34,0.66,34,0.71,29
100,0.57,43,0.55,45,0.64,36
100,0.68,32,0.61,39,0.67,33
100,0.68,32,0.56,44,0.63,37
200,0.67,66,0.61,78,0.725,55
200,0.635,73,0.605,79,0.68,64
200,0.61,78,0.605,79,0.705,59
200,0.725,55,0.575,85,0.66,68
200,0.7,60,0.595,81,0.685,63
200,0.64,72,0.57,86,0.625,75
200,0.635,73,0.63,74,0.675,65
200,0.69,62,0.63,74,0.635,73
200,0.655,69,0.585,83,0.625,75
200,0.68,64,0.555,89,0.655,69
200,0.665,67,0.62,76,0.64,72
200,0.635,73,0.675,65,0.675,65
200,0.635,73,0.645,71,0.665,67
200,0.695,61,0.585,83,0.65,70
200,0.615,77,0.64,72,0.64,72
200,0.66,68,0.63,74,0.71,58
200,0.675,65,0.615,77,0.645,71
200,0.68,64,0.625,75,0.675,65
200,0.69,62,0.655,69,0.69,62
200,0.62,76,0.625,75,0.63,74
200,0.615,77,0.625,75,0.68,64
200,0.69,62,0.59,82,0.705,59
200,0.67,66,0.615,77,0.67,66
200,0.69,62,0.62,76,0.665,67
200,0.66,68,0.645,71,0.695,61
200,0.69,62,0.64,72,0.585,83
200,0.675,65,0.66,68,0.705,59
200,0.605,79,0.605,79,0.665,67
200,0.675,65,0.615,77,0.675,65
200,0.685,63,0.585,83,0.635,73
400,0.685,126,0.6225,151,0.705,118
400,0.65,140,0.615,154,0.705,118
400,0.6325,147,0.6175,153,0.6925,123
400,0.675,130,0.6175,153,0.7075,117
400,0.68,128,0.635,146,0.7025,119
400,0.66,136,0.625,150,0.655,138
400,0.66,136,0.625,150,0.6725,131
400,0.66,136,0.6525,139,0.6575,137
400,0.635,146,0.625,150,0.65,140
400,0.6725,131,0.6125,155,0.6875,125
400,0.6675,133,0.6125,155,0.64,144
400,0.635,146,0.65,140,0.69,124
400,0.6375,145,0.6425,143,0.7075,117
400,0.6625,135,0.605,158,0.675,130
400,0.6175,153,0.625,150,0.6875,125
400,0.6525,139,0.6125,155,0.735,106
400,0.675,130,0.6375,145,0.635,146
400,0.67,132,0.6475,141,0.6825,127
400,0.675,130,0.65,140,0.665,134
400,0.6375,145,0.6425,143,0.68,128
400,0.6225,151,0.6675,133,0.7025,119
400,0.67,132,0.625,150,0.715,114
400,0.67,132,0.645,142,0.6975,121
400,0.68,128,0.6525,139,0.6775,129
400,0.6925,123,0.63,148,0.7075,117
400,0.67,132,0.635,146,0.6275,149
400,0.6475,141,0.645,142,0.7,120
400,0.6225,151,0.6375,145,0.675,130
400,0.655,138,0.6425,143,0.695,122
400,0.6725,131,0.5975,161,0.6725,131
800,0.64875,281,0.6525,278,0.69625,243
800,0.65875,273,0.60625,315,0.6875,250
800,0.6525,278,0.63125,295,0.68375,253
800,0.69,248,0.6375,290,0.6925,246
800,0.655,276,0.6475,282,0.71,232
800,0.66625,267,0.64375,285,0.67125,263
800,0.68,256,0.6275,298,0.6725,262
800,0.66875,265,0.64125,287,0.6725,262
800,0.62,304,0.6575,274,0.665,268
800,0.67,264,0.62125,303,0.67125,263
800,0.67375,261,0.625,300,0.655,276
800,0.64875,281,0.6425,286,0.6925,246
800,0.64,288,0.63875,289,0.71625,227
800,0.63875,289,0.625,300,0.7,240
800,0.645,284,0.63625,291,0.69375,245
800,0.64125,287,0.63875,289,0.7225,222
800,0.6775,258,0.65375,277,0.65375,277
800,0.7,240,0.63,296,0.70375,237
800,0.64625,283,0.65875,273,0.6975,242
800,0.65625,275,0.66375,269,0.6725,262
800,0.6425,286,0.65375,277,0.6975,242
800,0.65375,277,0.65,280,0.705,236
800,0.6575,274,0.645,284,0.70125,239
800,0.6575,274,0.63,296,0.7,240
800,0.68,256,0.63875,289,0.685,252
800,0.66625,267,0.6225,302,0.66875,265
800,0.65875,273,0.63375,293,0.6925,246
800,0.64125,287,0.6475,282,0.68,256
800,0.6625,270,0.6525,278,0.69625,243
800,0.65875,273,0.61875,305,0.68125,255
