budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.8067201783635807,30,0.7298221823707032,33,0.7298221823707032,33
50,0.8088586313575079,32,0.6553746442706363,34,0.6553746442706363,34
50,0.6030428481073724,28,0.5401288616625259,37,0.5401288616625259,37
50,0.5723375476441244,39,0.4770859249023417,34,0.4770859249023417,34
50,0.6745236598060449,35,0.44290287782018495,36,0.44290287782018495,36
50,0.7022481691965825,34,0.4880337825455868,32,0.4880337825455868,32
50,0.7035494290090416,33,0.4468935438031634,37,0.4468935438031634,37
50,0.5927546307049266,33,0.6430696918817895,36,0.6430696918817895,36
50,0.6048484014244749,35,0.6521581146688828,34,0.6521581146688828,34
50,0.8099491696267884,28,0.621427460229953,38,0.621427460229953,38
50,0.5118113903641129,35,0.6631123049474035,33,0.6631123049474035,33
50,0.6856296123689409,37,0.5697054094979277,34,0.5697054094979277,34
50,0.9010929053342206,34,0.5498294195644753,35,0.5498294195644753,35
50,0.7955016789342769,31,0.6146492576460351,37,0.6146492576460351,37
50,0.6990372500458994,33,0.5785848370970024,32,0.5785848370970024,32
50,0.803276021301299,31,0.5483897560712966,34,0.5483897560712966,34
50,0.6056025327568167,34,0.7793339842913473,29,0.7793339842913473,29
50,0.5014895896217375,32,0.4849383502274924,32,0.4849383502274924,32
50,0.691806550362098,39,0.6562131543292619,32,0.6562131543292619,32
50,0.7030256144003315,33,0.6941736345436975,42,0.6941736345436975,42
50,0.8116231375014615,32,0.7495762547148037,35,0.7495762547148037,35
50,0.7068086360716501,34,0.7477641900413464,32,0.7477641900413464,32
50,0.4855341359059876,35,0.4594348082378936,35,0.4594348082378936,35
50,0.8085539703779343,31,0.5593018049388474,34,0.5593018049388474,34
50,0.8046749039568752,29,0.5826500502514383,32,0.5826500502514383,32
50,0.9215568124890454,26,0.35791679189658576,37,0.35791679189658576,37
50,0.7041059899351734,32,0.5250601484069288,38,0.5250601484069288,38
50,0.2153143041871184,35,0.6774699448489296,30,0.6774699448489296,30
50,0.6985417377200884,33,0.7131086003173921,25,0.7131086003173921,25
50,0.8019605310228326,35,0.2839109245223618,34,0.2839109245223618,34
100,0.5025463066611464,72,0.5754465955588546,65,0.5754465955588546,65
100,0.6313364617574627,76,0.6428336478521515,62,0.6428336478521515,62
100,0.8085984983556582,62,0.6436675461977108,68,0.6436675461977108,68
100,0.6860827605408546,72,0.5212260837978129,68,0.5212260837978129,68
100,0.8302140673148573,73,0.5570521423320139,67,0.5570521423320139,67
100,0.4636661077266845,69,0.5201081053304082,78,0.5201081053304082,78
100,0.6093608344153123,65,0.5795286093804761,66,0.5795286093804761,66
100,0.6403200693988956,74,0.5731749013682563,67,0.5731749013682563,67
100,0.6509063813584793,70,0.5531120688362461,69,0.5531120688362461,69
100,0.7534755521362241,67,0.5110202817291758,70,0.5110202817291758,70
100,0.4584508499023005,70,0.5881727047754518,63,0.5881727047754518,63
100,0.7043566688856691,67,0.42779468308564017,76,0.42779468308564017,76
100,0.7032179489795912,67,0.5774801199440391,71,0.5774801199440391,71
100,0.5590345093876707,67,0.5475385850194869,74,0.5475385850194869,74
100,0.7026565618314439,65,0.17233427850406444,71,0.17233427850406444,71
100,0.6154107780522057,60,0.6276260305851296,74,0.6276260305851296,74
100,0.7600214001091239,63,0.5626646768246761,69,0.5626646768246761,69
100,0.7494214564879262,67,0.6565352992665343,69,0.6565352992665343,69
100,0.6171397290353786,65,0.5456270674386345,71,0.5456270674386345,71
100,0.6949320463214244,71,0.6783341286281508,62,0.6783341286281508,62
100,0.5998585695940144,67,0.5952680462257773,71,0.5952680462257773,71
100,0.7369404852245849,70,0.6997790229442113,56,0.6997790229442113,56
100,0.7116948458472472,56,0.4606517055299063,73,0.4606517055299063,73
100,0.7453694475974979,65,0.7178042657954056,64,0.7178042657954056,64
100,0.6981755853491258,64,0.6114375415532172,67,0.6114375415532172,67
100,0.695118499540089,72,0.674309669094724,63,0.674309669094724,63
100,0.5568431661557447,70,0.6739172388578698,76,0.6739172388578698,76
100,0.5914449660771934,71,0.4782276283886063,66,0.4782276283886063,66
100,0.4655290651078446,63,0.6124683050291793,65,0.6124683050291793,65
100,0.8049258120863372,66,0.6128908818602044,64,0.6128908818602044,64
200,0.5927229177116182,144,0.5280131497699136,140,0.5280131497699136,140
200,0.6810460476833214,126,0.6462303882549185,141,0.6462303882549185,141
200,0.6086013364265528,133,0.6933497810034921,128,0.6933497810034921,128
200,0.7729244212044041,131,0.4962985779356266,149,0.4962985779356266,149
200,0.6539645451509795,138,0.5723875416033137,142,0.5723875416033137,142
200,0.6284232035097572,137,0.58036524416942,138,0.58036524416942,138
200,0.6844897893104679,132,0.6148833899210617,130,0.6148833899210617,130
200,0.6007622314279971,142,0.5280491930840652,145,0.5280491930840652,145
200,0.5850401455478913,133,0.6171693601295788,143,0.6171693601295788,143
200,0.7194539101393771,138,0.5505172516082455,131,0.5505172516082455,131
200,0.7590289902312028,129,0.5748758229678153,131,0.5748758229678153,131
200,0.7303204978089091,129,0.5673709942992657,147,0.5673709942992657,147
200,0.6951093740609646,136,0.5806037505224699,136,0.5806037505224699,136
200,0.4750973596694107,145,0.6337253840432459,143,0.6337253840432459,143
200,0.6783198765854294,138,0.6536474637830509,136,0.6536474637830509,136
200,0.7804627984958284,132,0.4892488588966993,138,0.4892488588966993,138
200,0.6660513862372788,146,0.5868735821411476,138,0.5868735821411476,138
200,0.6772388197365469,139,0.6575153989194028,136,0.6575153989194028,136
200,0.5011561429621767,145,0.5655040847174604,136,0.5655040847174604,136
200,0.7761383623558662,135,0.6221194716296089,129,0.6221194716296089,129
200,0.5250992481280368,140,0.5353174447989311,142,0.5353174447989311,142
200,0.6582196694029299,130,0.667118336834736,120,0.667118336834736,120
200,0.6748926546505807,134,0.6526110341229923,140,0.6526110341229923,140
200,0.4833896655404164,139,0.5582495063633743,136,0.5582495063633743,136
200,0.6222904418502437,140,0.5162307158966966,135,0.5162307158966966,135
200,0.7688272491149682,139,0.5900095782439028,130,0.5900095782439028,130
200,0.6250484154499234,137,0.6816268545601856,119,0.6816268545601856,119
200,0.6325808323928475,134,0.5829260475542998,140,0.5829260475542998,140
