budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.7381962883288171,27,0.479737587744051,29,0.6145555581445978,25
50,0.7453077046277496,25,0.9236532809335803,18,0.6045481724517372,27
50,0.6024329255605942,30,0.7122771360365378,22,0.6900134897919703,26
50,0.7147451607188171,26,0.5998851298099366,26,0.7653208968433349,32
50,0.5426796964372137,26,0.8963714716251391,23,0.8801688086909397,30
50,0.7146799196884035,29,0.7846615668633693,27,0.5834250925026229,28
50,0.7519908545828283,23,0.7827920816132161,26,0.5869717942477348,27
50,0.8379766780822017,24,0.9098385810973102,22,0.6756670958136817,30
50,0.8622782311499715,21,0.8899082124542723,23,0.7649139666761351,31
50,0.7753957175112003,19,0.8612342216024048,27,0.7521441444309493,37
50,0.6978214833214422,28,0.8682682809207292,25,0.6774036576016241,32
50,0.7517601554784131,25,0.7787684477172996,29,0.6138185260917537,25
50,0.8289050983609676,26,0.7068504314332686,23,0.8686333386405305,32
50,0.8042059214063694,31,0.5929310255457183,29,0.7364050720422839,37
50,0.7306329422605173,27,0.4977296594115075,27,0.7034345632328098,26
50,0.6819568483453486,18,0.8129691972882805,21,0.6793859240284306,31
50,0.7356098723280933,26,0.8112289191167297,22,0.4569123529775037,38
50,0.8378435656196286,24,0.888839810167889,26,0.5080504158997952,28
50,0.8612979730245193,18,0.7718920218284482,26,0.5730915683285568,31
50,0.8614346310888318,22,0.6747662909978397,25,0.6097250793691067,27
50,0.6830111598996147,31,0.8704813570267756,28,0.6869806644845248,30
50,0.8316653390136393,25,0.8601298003552564,32,0.6863752354301709,30
50,0.7192013520879473,29,0.4920407633287419,24,0.5673339677399993,32
50,0.4893236491332347,35,0.689230002190454,27,0.6692505373947044,29
50,0.6568628906471916,26,0.6908556658433169,22,0.5961243812097632,24
50,0.7573755804472574,23,0.7923020832383907,24,0.5652312437355806,35
50,0.7244341758138373,26,0.717682339841039,21,0.8669232126030817,29
50,0.7550471893890754,22,0.701369897952258,25,0.664417133679366,32
50,0.656978197830941,36,0.8573897603940647,29,0.6897282288771969,29
50,0.8326657945705145,24,0.6886956014473076,27,0.7764350462655314,27
100,0.8296081506352013,50,0.9014891276585876,46,0.675418896505925,64
100,0.5324273071625463,56,0.7895308923166703,52,0.7996772735966616,52
100,0.5848048495618526,54,0.7348573011599576,58,0.5319366593841653,63
100,0.7649963891650011,52,0.8052337472157165,46,0.4144317290995101,49
100,0.6811208920391097,52,0.9008831099018616,45,0.6349104384080676,62
100,0.6457669158236885,49,0.639795473667505,55,0.6474409982800317,57
100,0.6780249006846086,54,0.878749104438241,55,0.6408575848761044,58
100,0.7596526104364779,56,0.7509629614965884,50,0.7829525924124753,59
100,0.6858658717844928,53,0.6938882070680198,53,0.5983125959459743,57
100,0.6923319679953855,50,0.8895536680801808,50,0.590315581689433,59
100,0.7822457236426907,52,0.8452589200331468,47,0.6424254807005866,53
100,0.7871465457951128,49,0.6533990208143681,48,0.7269013603631408,61
100,0.6046276408894273,50,0.7022215656426457,50,0.7250818387011089,59
100,0.6388918565263433,51,0.8331398974634098,54,0.6926625178441188,59
100,0.7119600102682184,56,0.8457634476123509,45,0.7340703373515725,58
100,0.6837358298470162,52,0.7713939941550058,62,0.6763376097304024,63
100,0.8467188169146985,44,0.7478838915977064,47,0.6309367830747381,64
100,0.7910598543519579,50,0.8770622563881824,54,0.8359819018714596,59
100,0.6826244127826981,54,0.8474183546483143,50,0.6977244424752365,50
100,0.7073187962920569,44,0.6678536755347796,62,0.5469012054096287,61
100,0.7515304484265437,46,0.6974236670499259,51,0.5302849544036147,63
100,0.7485142494500153,46,0.7467423620330672,51,0.5460647237090311,58
100,0.7483559556891105,57,0.7822988047691943,52,0.6513000879351225,53
100,0.7833726309403182,50,0.804565270555789,47,0.6496852506352186,55
100,0.7881642047522711,49,0.8354556388680536,53,0.7433193350167242,55
100,0.7465301809715232,49,0.8539736580752146,45,0.5845752804897746,59
100,0.6163902801774089,60,0.9115666471247256,41,0.5523312686453492,55
100,0.7089942653633948,60,0.700933150343219,50,0.4824119962503386,63
100,0.7262866099627812,54,0.7362686758052671,56,0.5948040552683573,56
100,0.665308022037087,53,0.8811402024141083,53,0.5818780617227182,60
200,0.7416002849425274,110,0.7508019528437585,102,0.6542635389019538,108
200,0.6656916093212906,114,0.787882866211562,111,0.6899906493326502,116
200,0.7065898652839664,103,0.7726528663834573,92,0.6439491949688938,117
200,0.6768807406841256,97,0.8203503553659747,100,0.5548280611886693,131
