budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.7492956989247364,18.0,0.6863920634920628,22.0,0.6863920634920628,22.0
50,0.7536998207885375,17.0,0.5737398245614057,27.0,0.5737398245614057,27.0
50,0.7672490277777861,15.0,0.660169590643277,22.0,0.660169590643277,22.0
50,0.7505179211469588,18.0,0.6400006442577031,23.0,0.6400006442577031,23.0
50,0.7132302020202117,18.0,0.6964458823529425,20.0,0.6964458823529425,20.0
50,0.7744003174603213,18.0,0.6200904761904754,27.0,0.6200904761904754,27.0
50,0.7133823611111199,20.0,0.7370771428571411,19.0,0.7370771428571411,19.0
50,0.6911019047619174,18.0,0.674188253968254,23.0,0.674188253968254,23.0
50,0.7689275985663151,15.0,0.6503682539682536,24.0,0.6503682539682536,24.0
50,0.6670159259259423,19.0,0.6856968253968223,23.0,0.6856968253968223,23.0
50,0.7763712544802924,17.0,0.6416466666666639,25.0,0.6416466666666639,25.0
50,0.7091602020202119,19.0,0.6384225396825387,26.0,0.6384225396825387,26.0
50,0.7665553763440929,15.0,0.6393155555555589,22.0,0.6393155555555589,22.0
50,0.6882410457516464,18.0,0.6398484220354816,24.0,0.6398484220354816,24.0
50,0.657357407407422,19.0,0.6032790476190453,28.0,0.6032790476190453,28.0
50,0.8135377777777832,13.0,0.7006155555555538,22.0,0.7006155555555538,22.0
50,0.6912920261438018,19.0,0.6627569934640531,22.0,0.6627569934640531,22.0
50,0.7769490322580702,17.0,0.6382700000000041,22.0,0.6382700000000041,22.0
50,0.7209327777777843,19.0,0.6107947712418309,26.0,0.6107947712418309,26.0
50,0.7380519444444549,17.0,0.6506403174603161,25.0,0.6506403174603161,25.0
50,0.7405498207885373,18.0,0.6490456349206344,25.0,0.6490456349206344,25.0
50,0.7780511111111166,16.0,0.6303103174603187,24.0,0.6303103174603187,24.0
50,0.6717023809523965,20.0,0.6025025396825421,25.0,0.6025025396825421,25.0
50,0.7952186206896591,16.0,0.7005228571428572,22.0,0.7005228571428572,22.0
50,0.7327956944444534,19.0,0.7135622222222222,20.0,0.7135622222222222,20.0
