budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.8130749466951004,10.0,0.7920712993474238,10.0,0.7284527589326163,14.0
50,0.7484191897654644,13.0,0.7112251599147192,14.0,0.7713396998523919,13.0
50,0.7441957183778141,14.0,0.7028424307036321,15.0,0.6740196097434983,19.0
50,0.7415708599857916,15.0,0.7339222459132972,13.0,0.7275276647067759,15.0
50,0.7725820895522444,11.0,0.8216762615494002,8.0,0.7206101169974373,15.0
50,0.6406544894574833,20.0,0.7468507462686629,13.0,0.675822338523839,17.0
50,0.6694294479981128,18.0,0.7675074271499699,13.0,0.6785261678619966,18.0
50,0.7135357972044609,15.0,0.6941522388059777,16.0,0.5815344328142937,24.0
50,0.7151756218905542,17.0,0.7959105069888701,9.0,0.6579298119790742,19.0
50,0.7273194029850814,14.0,0.7819277896233172,10.0,0.7040941255262223,17.0
50,0.7145168443496871,17.0,0.8051538734896991,9.0,0.5908874297344546,23.0
50,0.8087089315328168,8.0,0.8199259654110445,9.0,0.7985281923714809,11.0
50,0.7202792703150981,15.0,0.7931224828239803,10.0,0.5810778430524802,22.0
50,0.681741015700725,18.0,0.7924107557450891,9.0,0.6451826096788871,19.0
50,0.7001422885572213,18.0,0.7769997038616496,11.0,0.6791672804807212,18.0
50,0.792637017294485,11.0,0.7565494669509654,13.0,0.7375855301415067,13.0
50,0.8103996209429091,10.0,0.8204131366974694,9.0,0.661773992591165,19.0
50,0.7469489177489239,14.0,0.7321757640369646,14.0,0.6221732054015731,20.0
50,0.6918868708406097,16.0,0.7668079957356134,10.0,0.6789462887030129,18.0
50,0.668060405763399,18.0,0.7932526297086049,10.0,0.6480282503566172,21.0
50,0.7057940298507535,17.0,0.7937036085804792,9.0,0.7587219297286519,15.0
50,0.8393024875621928,9.0,0.8466808813077507,7.0,0.5943116344683608,23.0
50,0.7581841700588028,13.0,0.8015988983653208,8.0,0.7074048803601114,15.0
50,0.7477383084577176,13.0,0.7155788912580026,16.0,0.6420475382826216,20.0
50,0.7256420753376044,14.0,0.7819827647476953,10.0,0.6351270315091301,21.0
50,0.7324721586870906,15.0,0.7726737384506096,11.0,0.6990682528913945,15.0
50,0.6673079601990132,17.0,0.7380970149253796,13.0,0.6385811154020198,21.0
50,0.7054704809286971,15.0,0.6475443022980423,18.0,0.7221900077534473,15.0
50,0.709571855010668,17.0,0.8406570007107359,6.0,0.6783076209859871,18.0
