budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.6640524401800604,19.0,0.6894111100342522,19.0,0.6502674958540716,21.0
50,0.746872318063369,15.0,0.8172126165708299,11.0,0.7248308813077535,18.0
50,0.7104613124852002,17.0,0.7919109754259058,12.0,0.7282204130860913,18.0
50,0.7108005815080513,17.0,0.8659204410846234,9.0,0.6992465626413462,17.0
50,0.7208072494669577,16.0,0.7762062995048125,13.0,0.6106781805259511,23.0
50,0.6198913053778821,20.0,0.8019978678038427,15.0,0.6341590682948983,21.0
50,0.7718232646292403,12.0,0.7578814154336602,14.0,0.7459754862053432,14.0
50,0.725487400659049,16.0,0.868025327905928,10.0,0.7428780265340029,16.0
50,0.691424164889844,16.0,0.8472392582541873,8.0,0.8255136492860415,11.0
50,0.8046548092869036,9.0,0.7849772274988746,13.0,0.6905181139755843,18.0
50,0.6471259891021173,20.0,0.7944001367620821,11.0,0.6702735715362662,19.0
50,0.7454180181344422,15.0,0.7881098404083531,14.0,0.6609551108095968,20.0
50,0.7284387155133489,16.0,0.764199532639837,13.0,0.7686634328358265,11.0
50,0.6819007699597329,16.0,0.8406926320777105,10.0,0.6833274461028269,19.0
50,0.7339596282656049,14.0,0.8098118660775424,11.0,0.7597244136460612,15.0
50,0.7448893487109967,14.0,0.7483081280245522,15.0,0.7178684079602059,14.0
50,0.7216047037539642,17.0,0.7110278962331272,19.0,0.7093744911804685,15.0
50,0.7527434386509073,14.0,0.8745602054661786,8.0,0.7153007344231295,16.0
50,0.7057630419331984,17.0,0.7948402575865312,11.0,0.6915460199005049,18.0
50,0.7819053617195462,9.0,0.7528756952003282,17.0,0.7538831556503258,14.0
50,0.748062473347554,16.0,0.6902528354729924,18.0,0.8141204809286944,11.0
50,0.7086919730352637,17.0,0.7596159763950867,13.0,0.6974143826323005,16.0
50,0.686007688828592,18.0,0.8141883310719176,12.0,0.7523725538971868,14.0
50,0.7640117873834349,12.0,0.7307491998051766,16.0,0.7062159559346198,18.0
50,0.8275704809286941,8.0,0.7881791992418911,14.0,0.6065340892938003,25.0
50,0.7392787146518554,15.0,0.7851707479916488,13.0,0.7469286048114467,14.0
50,0.6808924145506314,17.0,0.8483894165535993,9.0,0.6631283582089634,20.0
50,0.7282014096185804,16.0,0.7451309556115588,17.0,0.6708182044323916,17.0
50,0.7282554726368226,14.0,0.8286431780491523,11.0,0.7590782752902215,12.0
50,0.7769422433288159,11.0,0.7886269248993181,13.0,0.7554102442333845,15.0
100,0.7076747350591144,33.0,0.8056162572232056,21.0,0.610641554134101,42.0
100,0.7404678814573812,27.0,0.7655470078180583,30.0,0.6897353757528225,34.0
100,0.645816316411598,40.0,0.8069042438392793,25.0,0.6781670921707332,36.0
100,0.6946705671413824,33.0,0.71423689246078,34.0,0.6607248625294664,39.0
100,0.6658774523923294,37.0,0.8266810415708613,23.0,0.682236815920406,35.0
100,0.7041242606142959,32.0,0.7821987292046607,27.0,0.6655722702278166,37.0
100,0.7995379566292696,22.0,0.8169328525440072,23.0,0.5613309455230222,48.0
100,0.7348487204076428,30.0,0.8602249976500794,18.0,0.7187836086945023,34.0
100,0.6934640806954315,35.0,0.8143943970623121,23.0,0.6276077320166178,42.0
100,0.7773055428031916,25.0,0.8209416709555714,21.0,0.7091361051883511,34.0
100,0.7748152098316332,25.0,0.7797363150585138,27.0,0.6917079795259367,35.0
100,0.7533463037355477,28.0,0.8439569519350066,19.0,0.6913640462378755,35.0
100,0.7709331201137227,25.0,0.7977440110372557,26.0,0.6385946844723839,41.0
100,0.7699180949576897,26.0,0.8265705648229482,25.0,0.6484785196822989,41.0
100,0.75622599711527,27.0,0.8568613817277284,18.0,0.7112158252670084,32.0
100,0.7207999650868533,32.0,0.8181642064403303,23.0,0.6879407567426105,35.0
100,0.7506235069802953,28.0,0.8070548955756026,25.0,0.6732642741085475,36.0
100,0.6961959429895482,34.0,0.7993102396918149,23.0,0.6780623855512433,39.0
100,0.7190229424414305,30.0,0.8021039294093365,24.0,0.6834993761841028,35.0
100,0.7141146264729903,32.0,0.8512587863358827,17.0,0.7165257781026553,31.0
100,0.7926016486196519,23.0,0.7990312075983766,23.0,0.6961774412957797,34.0
100,0.7347782356532421,29.0,0.8114431091296809,22.0,0.6237023103559399,42.0
100,0.7753161053705884,26.0,0.8555553697677064,16.0,0.8156219934163813,21.0
100,0.743804846290447,29.0,0.8092821897091135,25.0,0.7342975543527848,29.0
100,0.7425094527363246,29.0,0.8286264097572381,20.0,0.6439264167882479,40.0
100,0.7348132066938102,29.0,0.8443450486014319,19.0,0.736829630045269,27.0
100,0.7376930136286053,28.0,0.8227302265761021,23.0,0.6520579171810208,38.0
100,0.7054739801655219,34.0,0.789600774852451,28.0,0.6838868721408515,36.0
100,0.7757781888875007,26.0,0.8612432070417179,18.0,0.6905002531203706,36.0
100,0.8048370048154996,21.0,0.7790829642993877,25.0,0.8021420983318749,21.0
200,0.7045033373451077,63.0,0.7805881507676538,51.0,0.6976606590049332,65.0
200,0.6963880918714773,65.0,0.8403667448709669,38.0,0.6373452417757854,76.0
200,0.7403289667453035,58.0,0.7933438206200405,55.0,0.6713594519908033,71.0
200,0.7261895496764009,60.0,0.7482915343933869,58.0,0.6624725490614704,73.0
200,0.7684056600504419,49.0,0.8246252632939244,41.0,0.6585624760436894,74.0
200,0.7265222945038641,59.0,0.7689587048899322,57.0,0.6882482180578069,68.0
200,0.7522540024237847,55.0,0.8315415424852065,40.0,0.7238697116280477,60.0
200,0.7764964928510976,51.0,0.8545763372218821,36.0,0.6806841023275996,69.0
200,0.7368293002570445,56.0,0.7620957889125858,55.0,0.7023619256976066,64.0
200,0.7500805291591766,53.0,0.7958365526405291,48.0,0.7041814628896791,65.0
200,0.6755602757065917,70.0,0.7970607412866121,53.0,0.7409650743949314,58.0
200,0.6607379220625282,72.0,0.8154864591311323,47.0,0.6631319579030757,71.0
200,0.7216144493195622,61.0,0.7885713406408105,49.0,0.6751764702840287,70.0
200,0.7765763742803466,49.0,0.8073124001621295,49.0,0.7109159615455759,62.0
200,0.7637799493610818,52.0,0.8326810723943188,39.0,0.6864648530312545,70.0
200,0.7709152782177229,50.0,0.8237899929214584,39.0,0.7093606775190286,64.0
200,0.7625359953479414,52.0,0.7796438074797433,54.0,0.652737109629803,75.0
200,0.745066156915348,55.0,0.7915805599327309,46.0,0.6614169918804331,74.0
200,0.7829295258142979,50.0,0.815568832665943,46.0,0.6610727305223048,75.0
200,0.7305295025884841,58.0,0.7891093763421295,51.0,0.6231159601078377,80.0
200,0.7141495271824141,63.0,0.8117107732829849,46.0,0.6604150200974267,73.0
200,0.7690230931489148,51.0,0.7906475989343618,53.0,0.6343513631321124,78.0
200,0.7212316596557042,61.0,0.8089037323265144,47.0,0.685298403542485,71.0
200,0.7268666542827058,59.0,0.8100575719865271,48.0,0.6471680871058714,75.0
200,0.7216171081354885,61.0,0.7879122062716198,49.0,0.7042802656103729,64.0
200,0.7513481865070909,52.0,0.8209737461759569,47.0,0.7003558907865846,65.0
200,0.742876600820637,54.0,0.8152497890945061,47.0,0.6633880330166628,70.0
200,0.6975093008274859,64.0,0.8208575189306814,48.0,0.6580112707014611,73.0
200,0.7371206328966632,55.0,0.7962940899509481,50.0,0.7152583028570367,63.0
200,0.7381555689927459,57.0,0.7859458759341533,48.0,0.6715490861786817,71.0
400,0.7350083093658593,112.0,0.8030411846624393,97.0,0.6472388452932724,145.0
400,0.7226455504822159,116.0,0.7922042216661412,99.0,0.6772745642969603,135.0
400,0.6877233907123605,130.0,0.8109040644539103,96.0,0.7045628730433882,123.0
400,0.7287269409735337,114.0,0.7799371321229815,111.0,0.7094311226273651,121.0
400,0.7339914168445234,115.0,0.8132262255214089,87.0,0.6877505081429764,131.0
400,0.7399447916705312,110.0,0.7992705866877864,96.0,0.6787426944266166,136.0
400,0.7375353017983433,110.0,0.7849479656576929,100.0,0.6197865325448606,157.0
400,0.7403863930134909,115.0,0.8124403625960442,93.0,0.6639660251491726,139.0
400,0.7232910394109063,117.0,0.7840912471229666,102.0,0.6585625481468083,142.0
400,0.7726549722793326,95.0,0.7998195733010771,96.0,0.6394343133823008,149.0
400,0.7118496692555876,119.0,0.8023837670456403,99.0,0.6981765092085225,129.0
400,0.7380289418342645,110.0,0.8028287169882585,96.0,0.6234085322196472,155.0
400,0.7282769588558297,115.0,0.793265509281016,103.0,0.6936675257874501,129.0
