budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.9178833333333344,4.0,0.9603581267217636,2.0,0.9029172766627376,0.0
50,0.8704401744719908,10.0,0.9597327823691464,2.0,0.8628579764588047,6.0
50,0.8855451423324122,5.0,0.9309948626312085,7.0,0.8878455797645902,4.0
50,0.8744613498622561,8.0,0.9535123966942154,4.0,0.8817298772852513,4.0
50,0.8906592745638171,4.0,0.9273915568460844,6.0,0.884163761582772,3.0
50,0.8726624977043129,8.0,0.9356670389397482,6.0,0.8803024793388494,6.0
50,0.8645660330578482,9.0,0.9479090909090911,5.0,0.8561370398196877,6.0
50,0.8925466023875093,5.0,0.9569641873278242,4.0,0.8691031555221668,5.0
50,0.9112167125803504,5.0,0.9460661157024799,8.0,0.8672064613072908,6.0
50,0.8938985399449012,5.0,0.9578099173553724,4.0,0.8786926872026066,4.0
50,0.8562767545585672,9.0,0.9548787878787884,5.0,0.8879528138528202,3.0
50,0.8850619467401257,6.0,0.9585867768595048,3.0,0.8937009516654166,2.0
50,0.8733986291486272,8.0,0.9539531680440776,5.0,0.8857571500125241,5.0
50,0.8839212580348914,7.0,0.9165182786091696,10.0,0.8902794640621109,3.0
50,0.8528762258953138,11.0,0.9563526170798904,4.0,0.8961371900826509,3.0
50,0.8866140128558283,5.0,0.945865013774105,6.0,0.8750893814174827,4.0
50,0.8867637741046841,10.0,0.9591046831955928,2.0,0.8657089406461338,6.0
50,0.8713112121212099,8.0,0.9539311294765846,5.0,0.8961348359629374,1.0
50,0.8829834343434315,7.0,0.954523415977962,5.0,0.8675232657150032,6.0
50,0.8928867401285556,5.0,0.9265072593254232,6.0,0.8862323566240946,5.0
50,0.9045654269972462,7.0,0.9121203644839664,4.0,0.9004833923652168,1.0
50,0.9030420110192848,8.0,0.9558622589531685,5.0,0.8741759543486874,5.0
50,0.8855886134067965,10.0,0.9524490358126728,7.0,0.8699059103431023,6.0
50,0.8837513774104665,5.0,0.9590853994490364,2.0,0.8940464062108713,2.0
50,0.8934079522497679,5.0,0.9571542699724525,4.0,0.8797637615827725,4.0
50,0.904827134986227,7.0,0.9537796143250694,6.0,0.8887158276984745,4.0
50,0.8834685123966916,7.0,0.9613305785123972,1.0,0.8878455797645902,4.0
50,0.8872104315886107,5.0,0.955462809917356,5.0,0.8907446280991799,5.0
50,0.8558120818575345,10.0,0.9532148760330584,6.0,0.8699059103431023,6.0
50,0.8953908723599606,4.0,0.9541322314049592,6.0,0.8685381417480611,6.0
100,0.9235842975206612,13.0,0.9542493923189014,9.0,0.9118031971555776,10.0
100,0.9047572627097432,18.0,0.9620081392436768,11.0,0.9185986517010324,10.0
100,0.911672255017708,15.0,0.9523750121536122,9.0,0.9082845664290964,11.0
100,0.9062037295333264,16.0,0.94046376158276,14.0,0.9305707127353856,6.0
100,0.9081106831857348,13.0,0.9510253001576192,11.0,0.9061687225392846,11.0
100,0.8918622589531664,19.0,0.9504764337590684,11.0,0.8982749072636519,13.0
100,0.9182440286281705,13.0,0.9509907146329508,11.0,0.9245024981217168,9.0
100,0.8701275538947366,22.0,0.9479958677685852,12.0,0.9352844145028264,6.0
100,0.9012183619410844,13.0,0.9579319559228656,11.0,0.8976192832420123,14.0
100,0.9437183893241752,9.0,0.9604269972451795,12.0,0.9155109565678824,10.0
100,0.8876263736133421,19.0,0.9494434919068472,12.0,0.9179895345555515,9.0
100,0.9059739657846596,14.0,0.9443506210495136,14.0,0.9098526070540748,13.0
100,0.8994138528138511,18.0,0.945153994490348,13.0,0.9119314967714808,11.0
100,0.8883865407319933,20.0,0.9313094949494681,10.0,0.9160962683635258,8.0
100,0.9227261707988986,14.0,0.9521182628423174,10.0,0.9004595434868159,15.0
100,0.9040025401595652,20.0,0.9629516988062448,11.0,0.9162205463728208,8.0
100,0.9163025598368582,17.0,0.9518836789007532,10.0,0.934406059207096,6.0
100,0.9151359215837004,12.0,0.9602190082644634,11.0,0.9326053318244264,7.0
100,0.8712299273728965,14.0,0.9357350830168832,12.0,0.9255997826553629,6.0
100,0.8887408787241776,18.0,0.9501748634737558,12.0,0.8801692236330878,17.0
100,0.9105604001354509,15.0,0.937820362557543,14.0,0.9206585629017464,7.0
100,0.8787287666878567,22.0,0.9507768595041224,11.0,0.8899107658495105,14.0
100,0.902250915680512,16.0,0.9674640621086906,8.0,0.8976653613917098,14.0
100,0.9138170995671,17.0,0.9585975782245696,6.0,0.932986950848194,8.0
100,0.903165802654644,16.0,0.964773278236915,11.0,0.911795566540096,12.0
100,0.9009884357935865,16.0,0.9416714750813824,14.0,0.9114381905176149,12.0
100,0.8775117938971576,23.0,0.9466910767756525,11.0,0.8952475104905718,16.0
100,0.8969828205662413,17.0,0.9596153191998946,6.0,0.91926437752709,8.0
100,0.9256731601731606,14.0,0.9545882814155549,14.0,0.9131937890246834,10.0
100,0.9081783458261242,15.0,0.9490240479662844,11.0,0.8905602935944927,15.0
200,0.9187422274958228,26.0,0.9574128401901078,27.0,0.9341712500286186,18.0
200,0.9119296396763736,36.0,0.952504094133098,22.0,0.9268409633565214,27.0
200,0.9207759975848132,32.0,0.955493801652893,31.0,0.9409184707692252,17.0
200,0.8836751038801353,46.0,0.9381312900358808,21.0,0.9291135068072388,22.0
200,0.9101149841246082,36.0,0.9630531166915788,21.0,0.9170987439503732,28.0
200,0.8999944615099676,41.0,0.9512431002152876,30.0,0.9160375058312841,28.0
200,0.9114915872746476,31.0,0.9537363707566621,30.0,0.9358583363268836,19.0
200,0.9040865064525478,38.0,0.9589175232939644,23.0,0.9156074851796911,31.0
200,0.8991194133345981,40.0,0.9395182496905674,25.0,0.9244137702287959,27.0
200,0.907990498127396,34.0,0.9561347027210988,28.0,0.9305431919657036,21.0
200,0.916928680256706,31.0,0.9520483207753828,31.0,0.9120478941667592,32.0
200,0.8928725310663248,39.0,0.9598558618338342,24.0,0.9307044273435172,23.0
200,0.9249583240289126,29.0,0.9569213565997959,19.0,0.9288929588965558,27.0
200,0.904993411579506,39.0,0.9584647818445562,19.0,0.9098381967340674,31.0
200,0.8710079052148169,40.0,0.9534615783248338,27.0,0.9207260721669092,26.0
200,0.9310090080573318,28.0,0.9612789376087679,23.0,0.9219757822425244,27.0
200,0.9029451628266144,37.0,0.9658382474935032,19.0,0.9399892832765456,23.0
200,0.9097667549257082,34.0,0.9559153526607974,21.0,0.9311472976747176,26.0
200,0.900534953113038,41.0,0.9643604773517536,19.0,0.9265381958922579,23.0
200,0.9014238423084272,39.0,0.9686850915572844,23.0,0.9452757384030108,18.0
200,0.9047131796802426,36.0,0.9487681210916042,31.0,0.9297250713959508,26.0
200,0.8623151708527019,51.0,0.963016068314564,21.0,0.9164137985049532,30.0
200,0.9139152175115358,26.0,0.9377233027737591,20.0,0.9348353732355229,22.0
200,0.8940039652851113,40.0,0.9569801387764968,25.0,0.934904665029182,20.0
200,0.9069553670770716,35.0,0.9542622536712928,26.0,0.9391443152313326,19.0
200,0.917031394986474,32.0,0.9580404704061,19.0,0.9129418693945088,30.0
200,0.9153271022151052,38.0,0.9428989109523648,16.0,0.9251500092126276,25.0
200,0.9185722581424371,33.0,0.9570928250392688,25.0,0.9349806485542548,19.0
200,0.9097096267368971,28.0,0.955825180375175,25.0,0.9123912220213172,30.0
200,0.9094057210060812,36.0,0.9535363796442256,28.0,0.9071742532900964,32.0
400,0.9084253375560616,77.0,0.9503938718051376,58.0,0.927004991390188,61.0
400,0.9037645926027909,70.0,0.9548174671414872,64.0,0.9217615145723584,64.0
400,0.9207338937996148,71.0,0.9522912140358234,48.0,0.9307686233426063,60.0
400,0.9124982773628768,77.0,0.9497649187908684,51.0,0.9397896104885176,52.0
400,0.9206007703505188,75.0,0.9532417673141392,66.0,0.9308531430389374,57.0
400,0.906990655732316,71.0,0.9550199250709076,48.0,0.924555469843576,66.0
400,0.913310586669063,72.0,0.9543226055764622,53.0,0.9364243969874564,57.0
400,0.9169164194472998,74.0,0.9605911331130113,56.0,0.920167184418026,62.0
400,0.8936678245516217,83.0,0.9563019459497536,47.0,0.9245128434009344,60.0
400,0.8935612206492358,81.0,0.946638496668274,55.0,0.9142616211844252,72.0
400,0.9053915026292972,75.0,0.947464408723576,49.0,0.9280360648425868,65.0
400,0.9094001685119232,80.0,0.9484803226877416,39.0,0.9393724344695674,48.0
400,0.907954551069608,79.0,0.9492327377257974,60.0,0.9159347339359736,64.0
400,0.9163643133656536,67.0,0.9568977444779104,65.0,0.935194796588879,52.0
400,0.9021394530782196,82.0,0.940946077693602,46.0,0.9345018768903236,54.0
400,0.9287617918475006,63.0,0.947302556458323,55.0,0.9300512139814904,61.0
400,0.9162226596725488,78.0,0.9459971357514064,70.0,0.9319505590328734,58.0
400,0.9235880902900022,72.0,0.9624923293389792,46.0,0.9230258721093988,61.0
400,0.9151088063353,75.0,0.953271616438976,67.0,0.9328949161223308,54.0
400,0.9172269297883278,67.0,0.9563908125909468,60.0,0.930789284476965,56.0
400,0.890079005347032,92.0,0.9574326107029052,67.0,0.9380248693602904,53.0
400,0.9146167616707036,78.0,0.9623228878082444,55.0,0.9255806873239151,64.0
400,0.9127844534271938,72.0,0.9492188198534781,52.0,0.9190611661157844,65.0
400,0.9040477714791302,88.0,0.9569967089322396,60.0,0.9445761321529591,49.0
400,0.8897978406595302,85.0,0.9507136134067814,39.0,0.9297156625679986,59.0
400,0.9188222887795368,76.0,0.9570693965721536,54.0,0.9297996767027544,56.0
400,0.9070640774844638,77.0,0.9595655614300612,61.0,0.939163828305286,54.0
400,0.9135662083458652,77.0,0.9598206106928518,48.0,0.931633151753598,60.0
400,0.9022480918143262,79.0,0.958621466128574,46.0,0.9307990568491392,56.0
400,0.9196300808353304,69.0,0.9564978924398536,54.0,0.9294408626035096,58.0
800,0.911921992691288,152.0,0.9386298843351516,96.0,0.9404651869496858,123.0
800,0.9134716176221196,167.0,0.9433509810092879,96.0,0.9285968726725542,138.0
800,0.9043193445491616,155.0,0.9488972366930528,93.0,0.9360211124004608,126.0
800,0.8969043540844485,187.0,0.9575500720401487,141.0,0.929973719183694,131.0
800,0.9131980645764824,163.0,0.9404066576121409,98.0,0.9350471416634244,134.0
800,0.9149879640787536,152.0,0.9478016489731036,106.0,0.9373357222255077,119.0
800,0.9141496261163076,139.0,0.9476838330214812,105.0,0.9337712543190554,123.0
800,0.9035718915114382,168.0,0.9551138073067998,124.0,0.9239220054435138,146.0
800,0.8991750576778464,172.0,0.948375428860078,93.0,0.9268123439598503,143.0
800,0.9114857935554735,173.0,0.9484628567107808,113.0,0.9259439142441448,148.0
800,0.9045186972445792,140.0,0.9523368649348046,135.0,0.9317916682558716,129.0
800,0.9052062591640154,155.0,0.9578635948099334,120.0,0.9334927542203024,136.0
800,0.9000133956141647,194.0,0.9570224799574476,104.0,0.9316196778263974,141.0
800,0.909505969184536,173.0,0.9614384222635568,79.0,0.9312984538247528,135.0
800,0.9052737520088796,179.0,0.9450101202890332,113.0,0.9393673161047476,119.0
800,0.9047530759429472,150.0,0.9400138840563302,131.0,0.9373533027848884,122.0
800,0.8888696628433069,150.0,0.956427443222988,143.0,0.9350526292124329,131.0
800,0.917680269154643,149.0,0.9514313409760974,103.0,0.9373141818373208,131.0
800,0.9083989943883588,146.0,0.9481211313419732,134.0,0.9345427547285864,130.0
800,0.8988905003599009,185.0,0.9499529891635125,120.0,0.9350451851548436,135.0
800,0.9134591803535812,165.0,0.9579371749915851,92.0,0.9355140919277476,130.0
800,0.9030081123691872,157.0,0.9462177892888536,110.0,0.9314801617202064,133.0
800,0.891694308758861,182.0,0.9537783107030996,152.0,0.9336473985204164,132.0
800,0.9089114206681168,174.0,0.948175705625469,130.0,0.9401469908916472,121.0
800,0.908448436657732,169.0,0.944499780910179,113.0,0.9340869242912829,136.0
800,0.9173154425381695,125.0,0.9551369774372018,128.0,0.9277020366388024,140.0
800,0.9120072952395224,162.0,0.9399986040851256,101.0,0.9317568662835316,142.0
800,0.8997875880923099,170.0,0.9524032262765296,90.0,0.9416490471059348,117.0
800,0.9098377866607524,167.0,0.9569844738280038,142.0,0.9280671671536964,147.0
800,0.9074762459209592,175.0,0.9446456065399168,115.0,0.9326031045813702,134.0
