budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.8907160030052468,8.0,0.8834995549904527,5.0,0.9036035061357348,7.0
50,0.8920857733175789,5.0,0.8949419792328765,3.0,0.9069880004293148,6.0
50,0.9048704068658484,6.0,0.9032942148760276,3.0,0.8509670692943362,11.0
50,0.9097860072434322,4.0,0.9133469379105671,2.0,0.9092087796500941,4.0
50,0.9005617004207854,7.0,0.8915658402203734,5.0,0.8611149153876321,10.0
50,0.9061561877516288,5.0,0.9164819241364623,1.0,0.9034114557618672,6.0
50,0.9114164374193172,3.0,0.9133193897012006,3.0,0.8947711263942595,7.0
50,0.8759144234553202,9.0,0.9115866073320548,2.0,0.8642229170278704,9.0
50,0.8825070838252503,8.0,0.8901350921805351,6.0,0.9149592715824096,6.0
50,0.8326245572609021,9.0,0.8800132231404841,6.0,0.9149592715824096,6.0
50,0.8486132242413059,7.0,0.9126114007204844,4.0,0.8982115344710304,5.0
50,0.9073525005297602,5.0,0.8734471074380042,8.0,0.9149592715824096,6.0
50,0.8616918657100376,10.0,0.892625174825163,4.0,0.9125159421845292,3.0
50,0.8916101141282846,7.0,0.8920607120152458,5.0,0.905539721435581,7.0
50,0.9115734622127056,2.0,0.8929888111887994,5.0,0.9069880004293148,6.0
50,0.8622284654739045,7.0,0.8741854781581885,5.0,0.909018697005466,5.0
50,0.8792941649259712,8.0,0.8663828700225271,6.0,0.8875918626827616,9.0
50,0.9125713422940634,5.0,0.8889611570247808,5.0,0.9157894565489584,6.0
50,0.8593115604092687,7.0,0.9114213180758564,3.0,0.8512447194678545,11.0
50,0.9149329057994284,4.0,0.8855495867768474,8.0,0.8625100354191222,11.0
50,0.8697543819816367,8.0,0.8884033057851117,7.0,0.909018697005466,5.0
50,0.8896402203856622,8.0,0.9137105742742034,3.0,0.8710556600424302,9.0
50,0.8963373347038522,4.0,0.8979636363636272,5.0,0.8770025313529385,7.0
50,0.8980796067568736,8.0,0.8959253443526081,4.0,0.9075704180117321,6.0
50,0.8224433365532278,9.0,0.8929868555686565,4.0,0.9179079138492338,5.0
50,0.8937041572752191,6.0,0.9110506887052264,4.0,0.9113272369503694,3.0
50,0.9114164374193172,3.0,0.8904942148760209,5.0,0.9048935494257789,6.0
50,0.9033461682945021,7.0,0.8950797202797085,3.0,0.8652714770078349,9.0
50,0.8561552538370532,7.0,0.86833653417288,7.0,0.9184565167614728,4.0
50,0.8395847304210721,8.0,0.912804238186049,2.0,0.9121574219169182,3.0
100,0.9282918083204597,8.0,0.9300781279137742,6.0,0.8986350019126863,16.0
100,0.9314298565071232,11.0,0.9513588398117724,5.0,0.8797793781975518,17.0
100,0.922734680065468,11.0,0.9452805070773128,6.0,0.919936149173747,11.0
100,0.8242875148258043,24.0,0.9326687130109204,5.0,0.9074675894833616,14.0
100,0.8424032830852273,20.0,0.9298852904482096,8.0,0.9186026864320218,12.0
100,0.9263353404171508,10.0,0.9412858414123992,7.0,0.9310356272066608,9.0
100,0.9142474825449948,11.0,0.9300132189037498,5.0,0.9264183287022096,10.0
100,0.9032728492719316,14.0,0.8989977548945816,10.0,0.9143002421635488,13.0
100,0.8904033769260975,14.0,0.9064355468764159,10.0,0.9371869342778391,8.0
100,0.8607748772966044,17.0,0.9167942534160114,10.0,0.9262683877340868,11.0
100,0.9004458272565091,11.0,0.9509240332481114,5.0,0.9321529391298852,12.0
100,0.8978019740580372,13.0,0.910330790399756,10.0,0.8884240675967754,17.0
100,0.9043983775636568,11.0,0.9471891253171244,3.0,0.9549510192837428,5.0
100,0.9329560546173136,8.0,0.939406315399771,8.0,0.9309926367571784,8.0
100,0.9067229808758638,12.0,0.9195720076131492,8.0,0.9401631032878932,9.0
100,0.942153551288872,10.0,0.9378649787127412,3.0,0.9290774321332118,9.0
100,0.9407600581236883,6.0,0.9298658641148492,7.0,0.9239354479466012,11.0
100,0.8838591892955391,16.0,0.9296482068257066,11.0,0.9136620091844097,15.0
100,0.8429101821043768,19.0,0.9152302196184662,8.0,0.9258119029730558,10.0
100,0.914478758450853,12.0,0.9394413016256664,7.0,0.9055483538368532,16.0
100,0.8775515896661388,14.0,0.9152072158607462,9.0,0.9402168201495432,8.0
100,0.8963943661210969,14.0,0.9395995647576424,6.0,0.9230116561704204,14.0
100,0.9357577558804769,9.0,0.9144375198939484,9.0,0.9101499928395622,16.0
100,0.9048450365871236,12.0,0.9476379814675616,2.0,0.8909020256878046,14.0
100,0.8919614325068764,11.0,0.9326086086673734,7.0,0.9137884219485788,12.0
100,0.8925164832687841,14.0,0.9105246454144084,8.0,0.922411306874938,11.0
100,0.935348183763198,9.0,0.9266851625069203,7.0,0.9150317808148332,12.0
100,0.9027138958837204,12.0,0.9201855659303032,11.0,0.9185371567640996,12.0
100,0.9419857433392456,9.0,0.9313949323214904,10.0,0.9107724418108738,13.0
100,0.8977720485770216,14.0,0.9252791473326878,8.0,0.9179599774781441,13.0
200,0.9067270814353858,29.0,0.959267109683322,9.0,0.9142229126347272,30.0
200,0.903815476955272,23.0,0.9251265424984486,22.0,0.9323929198814552,22.0
200,0.9328649971258602,19.0,0.9471431338301328,17.0,0.930384217619688,22.0
200,0.9128424556163428,23.0,0.9321842435116684,20.0,0.9207885202065546,24.0
200,0.9403019520374843,18.0,0.9347453573885236,16.0,0.9197195454299004,28.0
200,0.903417183802024,31.0,0.9657671465133014,9.0,0.9178063576721194,25.0
200,0.9259325687677252,20.0,0.9495007440036776,14.0,0.9503963244648224,19.0
200,0.9157581809749976,23.0,0.9348085448781778,18.0,0.946075260017002,19.0
200,0.8814360420988131,27.0,0.9378945426170912,18.0,0.9420373178124352,19.0
200,0.9083870905782828,23.0,0.9363018140332648,16.0,0.9249929941823212,27.0
200,0.9201164162652306,21.0,0.9537893347349056,12.0,0.8994733708359338,31.0
200,0.9192741408426026,19.0,0.9489804148497092,11.0,0.9263809258491156,26.0
200,0.9013696678261156,26.0,0.9539533655915864,16.0,0.946075260017002,19.0
200,0.9159376469664952,25.0,0.959172441951984,9.0,0.9188475674950332,27.0
200,0.9150622544694929,21.0,0.9261357279776044,19.0,0.9321590587834108,22.0
200,0.9138056127658156,22.0,0.9432564753062892,14.0,0.934596599882038,22.0
200,0.8817371277277082,29.0,0.9484673652469026,17.0,0.9165561251420712,28.0
200,0.8997957165145527,26.0,0.9704005377093808,8.0,0.9409562915575438,22.0
200,0.926393100451916,19.0,0.9399729936740232,17.0,0.9207885202065546,24.0
200,0.917968469262085,23.0,0.9504412949678658,12.0,0.9387252379049033,24.0
200,0.8966161427627701,25.0,0.9404233107767408,19.0,0.9192753540908976,27.0
200,0.9223209767672516,22.0,0.9273924671369796,20.0,0.9472083594076184,21.0
200,0.8998751052706021,24.0,0.9421179439601896,15.0,0.9190186222654816,26.0
200,0.9119216417516526,18.0,0.9488277696588914,17.0,0.9188678288335268,26.0
200,0.9286909018143306,23.0,0.9506132218273182,13.0,0.9331149617842348,24.0
200,0.9066930946784829,26.0,0.9368940500013888,20.0,0.943977379917306,19.0
200,0.9209355981419703,22.0,0.9503534873654848,12.0,0.9345564385931177,26.0
200,0.9171748197508374,25.0,0.9391617358651392,17.0,0.9444293184588004,21.0
200,0.8962946276898396,27.0,0.9371132944076066,17.0,0.9306269216071436,26.0
200,0.9100557474472816,24.0,0.903875374430522,25.0,0.9425657311165312,22.0
400,0.920489685300477,52.0,0.9465241829553466,31.0,0.9339985170729416,56.0
400,0.9138081850983056,52.0,0.9585551104226556,31.0,0.9429067825030856,53.0
400,0.920978100938862,44.0,0.943330830999062,37.0,0.9337099956297984,55.0
400,0.9227701673957353,43.0,0.9484546149632574,27.0,0.9387381198786864,56.0
400,0.9159099843143004,42.0,0.9426541251784714,35.0,0.9286990400732368,58.0
400,0.9148883216685344,45.0,0.9565135734527148,31.0,0.9393761021620574,60.0
400,0.8895424642239234,54.0,0.936214012699463,39.0,0.9075467809184318,59.0
400,0.9174874728755578,49.0,0.9538146738717034,29.0,0.9269293823846774,50.0
400,0.9185801295939484,46.0,0.9471923896080788,37.0,0.922456208354396,62.0
400,0.8871703155689351,58.0,0.9397442255372462,37.0,0.9257361670320808,57.0
400,0.8906432910453613,53.0,0.9549518290627728,31.0,0.9375062034281406,55.0
400,0.9295091922134492,37.0,0.9548766518116704,29.0,0.9182790861657472,61.0
400,0.9061425035033991,56.0,0.9485614021134524,38.0,0.9455925495152738,42.0
400,0.9088509480565822,51.0,0.9580890393491396,31.0,0.9435047833861592,51.0
400,0.9050860415551338,50.0,0.957936227238094,25.0,0.9363508615142122,52.0
400,0.9086088359304224,50.0,0.94472936246375,33.0,0.9201337975303856,58.0
400,0.942556479983472,36.0,0.9523355090904078,23.0,0.9356349101555262,55.0
400,0.927694947081744,32.0,0.9415577685387776,38.0,0.9361452263047942,54.0
400,0.8991877346134567,54.0,0.9484902103275008,28.0,0.9426922231023456,44.0
400,0.9028031305094378,47.0,0.948644417686226,30.0,0.940142375876206,50.0
400,0.8879440703275289,54.0,0.9338865847349792,41.0,0.9336180760117913,51.0
400,0.9156862708353646,42.0,0.9495078788299652,28.0,0.9359685915337834,58.0
400,0.8994869401488238,46.0,0.9477025849953424,31.0,0.9413535120234354,48.0
400,0.9016242050041718,48.0,0.9511302734802459,31.0,0.9339636787832688,45.0
400,0.9085912821636544,54.0,0.9403041431429984,38.0,0.9298230830907348,67.0
400,0.9133093908605452,50.0,0.948642093050928,30.0,0.9194950493517912,54.0
400,0.9086864631776836,55.0,0.9649322669699189,28.0,0.9332940468788642,65.0
400,0.9290914449231616,41.0,0.9462488262727629,38.0,0.9416928376631256,47.0
400,0.9011746034517888,48.0,0.9353445859128698,40.0,0.9317726096696438,53.0
400,0.9078665110318244,53.0,0.9470923467250008,33.0,0.9333494914674686,51.0
800,0.9118715843057476,94.0,0.957447900639376,59.0,0.927853771093724,123.0
800,0.8974722508284402,99.0,0.9458589707353648,59.0,0.9338256961376998,113.0
800,0.9138899208704491,89.0,0.9498625366855332,76.0,0.9347572166266028,104.0
800,0.9050431860045168,97.0,0.9412219502305303,76.0,0.9391151630422916,103.0
800,0.9223839773618184,83.0,0.9393700811909994,77.0,0.9384877940942851,101.0
800,0.9097283509409448,91.0,0.9481296850938968,61.0,0.93189485028955,106.0
800,0.9133117972273238,101.0,0.9504800847308952,74.0,0.9253237012208371,113.0
800,0.9029347543123714,100.0,0.9544673737483244,57.0,0.9302307174141591,121.0
800,0.901733237333646,93.0,0.9540954085497853,63.0,0.937963899222958,116.0
800,0.9045615992156276,90.0,0.95014737049725,69.0,0.936757364071904,111.0
800,0.9005031941804046,101.0,0.9582406842598936,69.0,0.9310527955865696,117.0
800,0.9169438555768504,95.0,0.9566600948467641,57.0,0.9449667417331216,131.0
800,0.8989975149558407,99.0,0.9507151710469174,70.0,0.923270864412476,123.0
800,0.9008774821807394,92.0,0.9607688151005166,71.0,0.9372089382872216,113.0
800,0.9123760786729816,94.0,0.9479396625226206,59.0,0.9346256516142916,104.0
800,0.9092510031163298,97.0,0.955335915641548,65.0,0.9395256280060408,90.0
800,0.9085238849891693,97.0,0.95776971492996,70.0,0.937966404493476,98.0
800,0.9000707915335583,98.0,0.9503247925516499,62.0,0.9323944027452276,114.0
800,0.911571103408162,106.0,0.9498812275093632,69.0,0.9293461468294392,97.0
800,0.8976753682029437,98.0,0.9562891223294724,59.0,0.9433781364385913,104.0
800,0.8879805750255737,110.0,0.9482256390879454,59.0,0.9348547377787124,106.0
800,0.9016054501425266,99.0,0.9531944842310658,58.0,0.930993409641614,127.0
800,0.8782384332081927,125.0,0.9509564059667448,59.0,0.94059068918612,98.0
800,0.9150511722868055,87.0,0.9486747160604526,67.0,0.9350250237162,114.0
800,0.9125595147784472,93.0,0.9508397083894288,59.0,0.9322781563387617,119.0
800,0.9299695087040014,91.0,0.9388367665585752,63.0,0.9213617612442097,124.0
800,0.9056269863219512,96.0,0.9417204688696444,88.0,0.9310152610088004,103.0
800,0.90223946630886,99.0,0.9475261471007892,85.0,0.9316318015856376,118.0
800,0.8976400767054086,105.0,0.94171058208015,77.0,0.9171447364112884,129.0
800,0.9084765651913782,92.0,0.9435346310247711,65.0,0.9351890391089492,116.0
