budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.5564553510106993,38.0,0.6468298342869858,31.0,0.6468298342869858,31.0
50,0.6120176946555921,34.0,0.5688346721702378,38.0,0.5688346721702378,38.0
50,0.7529990969856246,34.0,0.6117655342588357,39.0,0.6117655342588357,39.0
50,0.0,37.0,0.4768338282498131,39.0,0.4768338282498131,39.0
50,0.2648436225311127,37.0,0.7147484048225364,27.0,0.7147484048225364,27.0
50,0.7465744579820377,36.0,0.469826292027237,41.0,0.469826292027237,41.0
50,0.6855112126806011,38.0,0.6829174349206125,33.0,0.6829174349206125,33.0
50,0.6371008924212247,41.0,0.6398877705246718,37.0,0.6398877705246718,37.0
50,0.7241222263801752,35.0,0.5283525503998048,37.0,0.5283525503998048,37.0
50,0.5554391330228482,37.0,0.4087215895912744,31.0,0.4087215895912744,31.0
50,0.6655349473781212,34.0,0.6175275171193186,37.0,0.6175275171193186,37.0
50,0.6578053797567566,36.0,0.497161882052867,37.0,0.497161882052867,37.0
50,0.8590306048226858,31.0,0.6514040301258857,35.0,0.6514040301258857,35.0
50,0.8630978302916993,29.0,0.19195396037050105,36.0,0.19195396037050105,36.0
50,0.8189405906485989,34.0,0.5859273564527632,35.0,0.5859273564527632,35.0
50,0.6387839750238404,36.0,0.6805274501651021,32.0,0.6805274501651021,32.0
50,0.773712458300183,37.0,0.6667662989540425,34.0,0.6667662989540425,34.0
50,0.7994467264243919,35.0,0.7044058533861859,32.0,0.7044058533861859,32.0
50,0.5079177277008763,37.0,0.6354087733264792,40.0,0.6354087733264792,40.0
50,0.7673584611162961,37.0,0.6960328584755048,32.0,0.6960328584755048,32.0
50,0.4474581995115401,37.0,0.5740547091115658,38.0,0.5740547091115658,38.0
50,0.5770411774122732,36.0,0.4883933603158594,34.0,0.4883933603158594,34.0
50,0.7725725820379041,38.0,0.573478780482013,30.0,0.573478780482013,30.0
50,0.13164259763342434,39.0,0.6544237468199456,32.0,0.6544237468199456,32.0
50,0.7560721364159543,36.0,0.6597272719871845,35.0,0.6597272719871845,35.0
50,0.8133198400616507,42.0,0.6823219846287107,35.0,0.6823219846287107,35.0
50,0.706126996111422,36.0,0.5613795406456588,32.0,0.5613795406456588,32.0
50,0.4216706552374235,35.0,0.6355799795200308,36.0,0.6355799795200308,36.0
50,0.6807777770500498,38.0,0.6179622856369416,38.0,0.6179622856369416,38.0
50,0.7811088453111708,43.0,0.6758500484292125,31.0,0.6758500484292125,31.0
100,0.7799194467935238,72.0,0.6019101690605559,78.0,0.6019101690605559,78.0
100,0.7895375144963028,73.0,0.6612630684511533,71.0,0.6612630684511533,71.0
100,0.7058880587114759,79.0,0.5529283877870808,75.0,0.5529283877870808,75.0
100,0.6972020526622562,75.0,0.5887648533166854,79.0,0.5887648533166854,79.0
100,0.7497338927765376,70.0,0.6435356398562613,71.0,0.6435356398562613,71.0
100,0.7899287679836539,68.0,0.5691765230389543,79.0,0.5691765230389543,79.0
100,0.6784338363118504,74.0,0.5358661408911539,72.0,0.5358661408911539,72.0
100,0.714276973080126,67.0,0.6509373220894361,69.0,0.6509373220894361,69.0
100,0.7480207251137743,73.0,0.640264346327186,71.0,0.640264346327186,71.0
100,0.8090673188328814,68.0,0.4520615246003185,72.0,0.4520615246003185,72.0
100,0.8007528443793499,65.0,0.6150146284812128,76.0,0.6150146284812128,76.0
100,0.2874103120374053,75.0,0.0,68.0,0.0,68.0
100,0.8117925580028853,66.0,0.6380062187359092,73.0,0.6380062187359092,73.0
100,0.7298782751516386,73.0,0.6610491259207116,73.0,0.6610491259207116,73.0
100,0.7613985087975647,79.0,0.5085002958482447,77.0,0.5085002958482447,77.0
100,0.7340095715317543,71.0,0.5348955922630313,74.0,0.5348955922630313,74.0
100,0.7816172481201089,78.0,0.5825363718604841,74.0,0.5825363718604841,74.0
100,0.7683885083669881,77.0,0.5538803517688954,72.0,0.5538803517688954,72.0
100,0.7935645200135824,67.0,0.4485952071919579,78.0,0.4485952071919579,78.0
100,0.6647290316518801,70.0,0.24062085129928845,71.0,0.24062085129928845,71.0
100,0.5935402390007359,62.0,0.6408416761757165,68.0,0.6408416761757165,68.0
100,0.7059083944676192,72.0,0.4601953894814712,69.0,0.4601953894814712,69.0
100,0.7377798582143291,73.0,0.6159244921653841,73.0,0.6159244921653841,73.0
100,0.7395173367185304,75.0,0.5881669255181039,78.0,0.5881669255181039,78.0
100,0.7927845317779059,70.0,0.6169147311916308,73.0,0.6169147311916308,73.0
100,0.7944958988860374,74.0,0.6111452188881552,66.0,0.6111452188881552,66.0
100,0.8009974121760077,76.0,0.6571942067025921,70.0,0.6571942067025921,70.0
100,0.4299232624096736,76.0,0.5861759563600429,68.0,0.5861759563600429,68.0
100,0.1750141495741101,70.0,0.3964888310317772,61.0,0.3964888310317772,61.0
100,0.790517291931262,75.0,0.6521616755111899,68.0,0.6521616755111899,68.0
200,0.7846003330245007,145.0,0.5912809554097621,136.0,0.5912809554097621,136.0
200,0.4988225412984622,151.0,0.6366447823585979,132.0,0.6366447823585979,132.0
200,0.6261382356195799,142.0,0.6587202614546521,142.0,0.6587202614546521,142.0
200,0.7466263490961267,145.0,0.6270591372142333,143.0,0.6270591372142333,143.0
200,0.7560073230190067,144.0,0.5671366876439095,140.0,0.5671366876439095,140.0
200,0.6388574335141894,154.0,0.6180339354017602,139.0,0.6180339354017602,139.0
200,0.7504405542968164,134.0,0.658092028836673,138.0,0.658092028836673,138.0
200,0.7386673510058718,148.0,0.4475640684705168,150.0,0.4475640684705168,150.0
200,0.7566781841647594,139.0,0.6446634281105301,131.0,0.6446634281105301,131.0
200,0.7157150165871224,138.0,0.6249672172461159,146.0,0.6249672172461159,146.0
200,0.5889523198238175,144.0,0.5564424594803346,143.0,0.5564424594803346,143.0
200,0.7371027216539807,140.0,0.5532900552666855,142.0,0.5532900552666855,142.0
200,0.6598711188232274,145.0,0.6370077151365341,140.0,0.6370077151365341,140.0
200,0.6494168992460594,147.0,0.5313157218854614,151.0,0.5313157218854614,151.0
200,0.7318838298878194,158.0,0.505405582673684,147.0,0.505405582673684,147.0
200,0.6162602457028945,144.0,0.5909433611695318,144.0,0.5909433611695318,144.0
200,0.6776201368849515,144.0,0.600060655826818,139.0,0.600060655826818,139.0
200,0.7859006216030167,141.0,0.6008327002148479,141.0,0.6008327002148479,141.0
200,0.7506430696229213,146.0,0.5867813870814349,155.0,0.5867813870814349,155.0
200,0.7828322865156263,141.0,0.5612849753032727,138.0,0.5612849753032727,138.0
200,0.6439416430487115,149.0,0.6132655658083292,142.0,0.6132655658083292,142.0
200,0.7490425961466189,136.0,0.6144371607771838,127.0,0.6144371607771838,127.0
200,0.7940404569184882,133.0,0.6476528818402663,143.0,0.6476528818402663,143.0
200,0.6945957979703812,142.0,0.6311423848554187,146.0,0.6311423848554187,146.0
200,0.0,148.0,0.5750638795798724,141.0,0.5750638795798724,141.0
200,0.5667063028678658,140.0,0.6087700761467953,138.0,0.6087700761467953,138.0
200,0.7161358694382605,141.0,0.5552288000683973,156.0,0.5552288000683973,156.0
200,0.7481061295185607,151.0,0.6060913421096426,137.0,0.6060913421096426,137.0
200,0.6976796213144985,144.0,0.6238848376336682,144.0,0.6238848376336682,144.0
200,0.7382250400280557,149.0,0.5737327218748485,130.0,0.5737327218748485,130.0
400,0.5682394913571948,295.0,0.5961176193328122,289.0,0.5961176193328122,289.0
400,0.7431733298673859,306.0,0.6517205112465336,272.0,0.6517205112465336,272.0
400,0.6688541118687233,305.0,0.6168911239321885,272.0,0.6168911239321885,272.0
400,0.6545361005654631,293.0,0.5873841808389129,288.0,0.5873841808389129,288.0
400,0.6487457041292443,287.0,0.5976365423077079,284.0,0.5976365423077079,284.0
400,0.7719845601812797,292.0,0.6237221621468936,273.0,0.6237221621468936,273.0
400,0.7439617477003935,284.0,0.6047610583900345,262.0,0.6047610583900345,262.0
400,0.5655172787735132,290.0,0.5816788446061623,266.0,0.5816788446061623,266.0
400,0.6756100399541158,288.0,0.6363437168769528,276.0,0.6363437168769528,276.0
400,0.06507884942745135,288.0,0.6166717554414356,278.0,0.6166717554414356,278.0
400,0.7408082355074496,295.0,0.5867661473603596,264.0,0.5867661473603596,264.0
400,0.7160883032675305,287.0,0.6121441261211593,275.0,0.6121441261211593,275.0
400,0.6659727342605027,294.0,0.6338665476390626,270.0,0.6338665476390626,270.0
400,0.618259551106026,288.0,0.6070792201165007,281.0,0.6070792201165007,281.0
400,0.7433635194356338,287.0,0.5398592135909954,288.0,0.5398592135909954,288.0
400,0.6595443214841503,288.0,0.3873152310562834,286.0,0.3873152310562834,286.0
400,0.7802070491685593,288.0,0.6228357033361829,278.0,0.6228357033361829,278.0
400,0.6617316567790866,290.0,0.5683519678807359,296.0,0.5683519678807359,296.0
400,0.7535795815216169,279.0,0.6315365084295889,273.0,0.6315365084295889,273.0
400,0.6825066809017204,285.0,0.4662745780391935,275.0,0.4662745780391935,275.0
400,0.6629013316781476,273.0,0.5575856954996212,274.0,0.5575856954996212,274.0
400,0.723393025519248,273.0,0.6087665391666335,282.0,0.6087665391666335,282.0
400,0.754058062722667,273.0,0.5859372177902588,283.0,0.5859372177902588,283.0
400,0.7741123709685478,276.0,0.489006085158305,273.0,0.489006085158305,273.0
400,0.5799507365862961,290.0,0.4622345240699034,278.0,0.4622345240699034,278.0
400,0.6896210400002076,278.0,0.5620806230655275,281.0,0.5620806230655275,281.0
400,0.7432636396580856,271.0,0.5767396087568244,289.0,0.5767396087568244,289.0
400,0.7167086280462867,292.0,0.5461741512006268,290.0,0.5461741512006268,290.0
