budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.44856145429716704,34.0,0.5719997788428922,23.0,0.5719997788428922,23.0
50,0.6223521296381024,30.0,0.6085385658142763,21.0,0.6085385658142763,21.0
50,0.6658885186475227,27.0,0.6411852772946747,19.0,0.6411852772946747,19.0
50,0.6942362456056097,29.0,0.5555250758510051,24.0,0.5555250758510051,24.0
50,0.7062322458661854,27.0,0.5318404867702293,25.0,0.5318404867702293,25.0
50,0.6169124620409425,31.0,0.6206391737726955,21.0,0.6206391737726955,21.0
50,0.6963681657663605,27.0,0.6396504201362939,19.0,0.6396504201362939,19.0
50,0.6967052666650597,22.0,0.6136382876698925,21.0,0.6136382876698925,21.0
50,0.6410974565146865,30.0,0.5712779569853417,23.0,0.5712779569853417,23.0
50,0.6611595946678671,30.0,0.480092611123273,28.0,0.480092611123273,28.0
50,0.7272778806470686,27.0,0.4564750418028301,29.0,0.4564750418028301,29.0
50,0.7049287122485217,26.0,0.7067120225490829,16.0,0.7067120225490829,16.0
50,0.640805839482989,26.0,0.5766978869162858,23.0,0.5766978869162858,23.0
50,0.5818827233883498,27.0,0.5241031376920502,25.0,0.5241031376920502,25.0
50,0.6465708378654743,28.0,0.6066525607200229,21.0,0.6066525607200229,21.0
50,0.6602173951761708,26.0,0.5599819520064315,24.0,0.5599819520064315,24.0
50,0.6811532110500864,29.0,0.5143396505527218,27.0,0.5143396505527218,27.0
50,0.6339728284983187,30.0,0.6476571585696386,19.0,0.6476571585696386,19.0
50,0.5917334360597497,28.0,0.6298449150754721,20.0,0.6298449150754721,20.0
50,0.6439208627389552,28.0,0.5607057843282788,24.0,0.5607057843282788,24.0
50,0.5134154334139576,31.0,0.5872513178696306,22.0,0.5872513178696306,22.0
50,0.5244426264843889,32.0,0.5025572979609756,27.0,0.5025572979609756,27.0
50,0.7225642043289459,26.0,0.5866690541352426,22.0,0.5866690541352426,22.0
50,0.6329182711467467,24.0,0.6446103076847938,19.0,0.6446103076847938,19.0
50,0.5901915716144766,30.0,0.6294174023094167,20.0,0.6294174023094167,20.0
50,0.6606636920907794,24.0,0.6214127930176474,20.0,0.6214127930176474,20.0
50,0.6938309123725968,25.0,0.6363820433228407,20.0,0.6363820433228407,20.0
50,0.6057200149225879,34.0,0.5913644730388667,22.0,0.5913644730388667,22.0
50,0.6665828089236882,24.0,0.6277502386513752,20.0,0.6277502386513752,20.0
50,0.7153298794742755,25.0,0.5572623400274209,24.0,0.5572623400274209,24.0
100,0.6761189654404056,55.0,0.5993508212561575,43.0,0.5993508212561575,43.0
100,0.7321354224616037,47.0,0.5066831593067285,52.0,0.5066831593067285,52.0
100,0.6837968924329072,54.0,0.5413426564509456,51.0,0.5413426564509456,51.0
100,0.6975600726479323,45.0,0.5045877256455934,52.0,0.5045877256455934,52.0
100,0.7411442505110737,45.0,0.576418399815561,45.0,0.576418399815561,45.0
100,0.6596343875616834,56.0,0.5824677855840676,44.0,0.5824677855840676,44.0
100,0.7226544790642258,46.0,0.6033576769577944,42.0,0.6033576769577944,42.0
100,0.6913443069236451,50.0,0.5490941862299031,48.0,0.5490941862299031,48.0
100,0.6087069836716013,49.0,0.5417877332107792,50.0,0.5417877332107792,50.0
100,0.6871656000373036,53.0,0.6370438546408216,37.0,0.6370438546408216,37.0
100,0.6739922662660307,55.0,0.5516629640469598,48.0,0.5516629640469598,48.0
100,0.7178272611559187,44.0,0.5663747454577808,48.0,0.5663747454577808,48.0
100,0.5858546139336921,62.0,0.5123890128968865,50.0,0.5123890128968865,50.0
100,0.6711392480854115,52.0,0.5301188058714903,50.0,0.5301188058714903,50.0
100,0.6534482696661554,49.0,0.5275095615262094,52.0,0.5275095615262094,52.0
100,0.6747609952151898,53.0,0.6576773982812352,37.0,0.6576773982812352,37.0
100,0.6744503226925176,50.0,0.5610821395247901,47.0,0.5610821395247901,47.0
100,0.661086015161241,58.0,0.5545363954840703,47.0,0.5545363954840703,47.0
100,0.6323853406784867,59.0,0.5310547421728622,50.0,0.5310547421728622,50.0
100,0.6709980143839797,51.0,0.4985014627979928,53.0,0.4985014627979928,53.0
100,0.6718171416540182,50.0,0.5421764020748534,49.0,0.5421764020748534,49.0
100,0.7052395060236315,49.0,0.5081372118305265,52.0,0.5081372118305265,52.0
100,0.7045468816142378,49.0,0.5714850203588115,46.0,0.5714850203588115,46.0
100,0.726384889637274,44.0,0.6104839997246156,43.0,0.6104839997246156,43.0
100,0.5234846613836734,58.0,0.5504136083024682,48.0,0.5504136083024682,48.0
100,0.7063630034489645,46.0,0.5299376220904588,50.0,0.5299376220904588,50.0
100,0.6615103734975899,53.0,0.5644087371741275,47.0,0.5644087371741275,47.0
100,0.6815035362353938,51.0,0.5453854773228833,48.0,0.5453854773228833,48.0
100,0.6460114738439876,55.0,0.4944912551982998,55.0,0.4944912551982998,55.0
100,0.6942136963469521,48.0,0.5439208808617524,48.0,0.5439208808617524,48.0
200,0.6844248005125241,105.0,0.6199426158146841,81.0,0.6199426158146841,81.0
200,0.6701589456793701,107.0,0.5838688390012847,90.0,0.5838688390012847,90.0
200,0.6494747821318212,107.0,0.5697527408225718,93.0,0.5697527408225718,93.0
200,0.6070183554156456,122.0,0.5784864746193725,90.0,0.5784864746193725,90.0
200,0.6192213464738936,112.0,0.556119361590028,97.0,0.556119361590028,97.0
200,0.7122461784315921,99.0,0.5790947370360457,90.0,0.5790947370360457,90.0
200,0.6713793206706753,110.0,0.5335931406988763,99.0,0.5335931406988763,99.0
200,0.7020700201712915,101.0,0.5345599946951617,101.0,0.5345599946951617,101.0
