budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.6463240695956893,37.0,0.4851756453918066,28.0,0.4851756453918066,28.0
50,0.7998328688591378,34.0,0.5700920528030577,25.0,0.5700920528030577,25.0
50,0.4990105387433652,38.0,0.6534245458669973,19.0,0.6534245458669973,19.0
50,0.5428966797304773,39.0,0.5184097246298258,26.0,0.5184097246298258,26.0
50,0.534717716951012,33.0,0.5196178812081413,26.0,0.5196178812081413,26.0
50,0.5550399433910116,30.0,0.518595264077833,27.0,0.518595264077833,27.0
50,0.6740473146447095,32.0,0.5279392812560411,26.0,0.5279392812560411,26.0
50,0.6845396144110099,34.0,0.5930548191809615,22.0,0.5930548191809615,22.0
50,0.7461150204723629,35.0,0.5350187028417948,27.0,0.5350187028417948,27.0
50,0.7967956881390461,32.0,0.6067564849787423,25.0,0.6067564849787423,25.0
50,0.6269942373686527,33.0,0.6863012275668521,18.0,0.6863012275668521,18.0
50,0.7918178755060905,30.0,0.6149514242898713,22.0,0.6149514242898713,22.0
50,0.7256035636199559,36.0,0.5184742938683145,28.0,0.5184742938683145,28.0
50,0.42640843949578,38.0,0.4622843627401126,30.0,0.4622843627401126,30.0
50,0.4195839901662686,34.0,0.5200876432092156,24.0,0.5200876432092156,24.0
50,0.7651710154286709,34.0,0.4598306635105138,29.0,0.4598306635105138,29.0
50,0.6224123627956679,37.0,0.5908816632152734,22.0,0.5908816632152734,22.0
50,0.022637862443160798,35.0,0.6021931236082056,21.0,0.6021931236082056,21.0
50,0.6961746932996968,40.0,0.6571264648068658,18.0,0.6571264648068658,18.0
50,0.6919755457545451,36.0,0.6029050354168621,22.0,0.6029050354168621,22.0
50,0.4490143924347414,35.0,0.5033782997319132,25.0,0.5033782997319132,25.0
50,0.7992483675281663,31.0,0.5789351677429241,24.0,0.5789351677429241,24.0
50,0.6338768025794599,34.0,0.5533559835506279,26.0,0.5533559835506279,26.0
50,0.6428087456315758,37.0,0.5851179306771925,22.0,0.5851179306771925,22.0
50,0.6294470976208183,36.0,0.6218770165292413,20.0,0.6218770165292413,20.0
50,0.7364704773263284,38.0,0.5705942195384213,23.0,0.5705942195384213,23.0
50,0.7396835905235644,32.0,0.5576435019420305,26.0,0.5576435019420305,26.0
50,0.5049874890509732,39.0,0.6531556304885713,20.0,0.6531556304885713,20.0
50,0.7122271293864939,36.0,0.6330499599772259,21.0,0.6330499599772259,21.0
50,0.5748423561042619,38.0,0.6072555482950017,22.0,0.6072555482950017,22.0
100,0.7006889215994592,66.0,0.570088302154651,47.0,0.570088302154651,47.0
100,0.7609953616982621,63.0,0.5892269615668824,46.0,0.5892269615668824,46.0
100,0.6019656026379135,64.0,0.5636726674183072,50.0,0.5636726674183072,50.0
100,0.6872413865274376,66.0,0.5568692048014634,47.0,0.5568692048014634,47.0
100,0.7169405770187955,67.0,0.5621525095064375,50.0,0.5621525095064375,50.0
100,0.3537449177837667,72.0,0.4820793710777983,55.0,0.4820793710777983,55.0
100,0.5607578727834005,69.0,0.5497528435930381,52.0,0.5497528435930381,52.0
100,0.6947956107207376,71.0,0.6098025845963984,43.0,0.6098025845963984,43.0
100,0.7345288667285692,78.0,0.542731878895192,54.0,0.542731878895192,54.0
100,0.6963129160441694,73.0,0.544959818639532,50.0,0.544959818639532,50.0
100,0.7702716316651854,63.0,0.5495929018133399,51.0,0.5495929018133399,51.0
100,0.5286310840682689,71.0,0.6115864113063927,46.0,0.6115864113063927,46.0
100,0.7390621797045575,77.0,0.6225149767838549,44.0,0.6225149767838549,44.0
100,0.6741228201288089,73.0,0.5428112740046629,50.0,0.5428112740046629,50.0
100,0.663867778517694,66.0,0.5769339113859826,44.0,0.5769339113859826,44.0
100,0.5945584542625373,67.0,0.5469857693790192,52.0,0.5469857693790192,52.0
100,0.6437977290122167,69.0,0.5914074687558211,46.0,0.5914074687558211,46.0
100,0.7728580712913357,60.0,0.532923913110545,57.0,0.532923913110545,57.0
100,0.6041024613897389,67.0,0.5635063446350475,49.0,0.5635063446350475,49.0
100,0.578455990678356,69.0,0.5730813335195557,48.0,0.5730813335195557,48.0
100,0.6719031471099768,59.0,0.5887774173951947,45.0,0.5887774173951947,45.0
100,0.7241822290461503,67.0,0.5817609751334808,44.0,0.5817609751334808,44.0
100,0.7346668367565488,73.0,0.6279262350928543,43.0,0.6279262350928543,43.0
100,0.6107837108627878,79.0,0.5768399737741112,48.0,0.5768399737741112,48.0
100,0.5729545760552059,62.0,0.5220809362772028,54.0,0.5220809362772028,54.0
100,0.7145894948226021,68.0,0.6113055088991228,45.0,0.6113055088991228,45.0
100,0.0,72.0,0.5813406185357951,48.0,0.5813406185357951,48.0
100,0.5419525656941679,67.0,0.6057632606885386,44.0,0.6057632606885386,44.0
100,0.6254305133534168,73.0,0.5020712059096741,57.0,0.5020712059096741,57.0
100,0.7060851967907696,72.0,0.5765249675527139,48.0,0.5765249675527139,48.0
200,0.7319404671653966,142.0,0.620051362205361,85.0,0.620051362205361,85.0
200,0.7530403043530519,141.0,0.5820259808194439,91.0,0.5820259808194439,91.0
200,0.7019629054648329,130.0,0.5671132598202271,98.0,0.5671132598202271,98.0
200,0.7286226673264231,142.0,0.5473927272453893,102.0,0.5473927272453893,102.0
200,0.7335155917994051,134.0,0.5470892428920189,100.0,0.5470892428920189,100.0
200,0.725431370180365,133.0,0.5528102789997849,102.0,0.5528102789997849,102.0
200,0.6195996393671329,139.0,0.6017187606302272,88.0,0.6017187606302272,88.0
200,0.6393166674242076,133.0,0.5698062624326277,92.0,0.5698062624326277,92.0
200,0.5941668258146889,149.0,0.5500216623816979,98.0,0.5500216623816979,98.0
200,0.6871523940164885,142.0,0.5539357767203377,99.0,0.5539357767203377,99.0
200,0.7664980398642003,129.0,0.5892559276081661,92.0,0.5892559276081661,92.0
200,0.7093814919596371,131.0,0.5660876275276723,94.0,0.5660876275276723,94.0
200,0.7524712806797177,129.0,0.5839095942348312,89.0,0.5839095942348312,89.0
200,0.5018683236495005,138.0,0.5478446125290416,97.0,0.5478446125290416,97.0
200,0.6887314014583228,141.0,0.4941789637511974,114.0,0.4941789637511974,114.0
200,0.6112077881561548,133.0,0.5880726846272069,96.0,0.5880726846272069,96.0
200,0.6423696426192174,133.0,0.4904483543076448,112.0,0.4904483543076448,112.0
200,0.6789866873630461,146.0,0.5856000483226651,92.0,0.5856000483226651,92.0
200,0.6813197939789106,133.0,0.5239980249301914,104.0,0.5239980249301914,104.0
200,0.7067505271292068,133.0,0.5424513512414484,99.0,0.5424513512414484,99.0
200,0.6376416489484602,124.0,0.5212417556651453,107.0,0.5212417556651453,107.0
200,0.7094643812727359,136.0,0.5680347641425818,97.0,0.5680347641425818,97.0
200,0.6697669511516513,137.0,0.5787750560945154,98.0,0.5787750560945154,98.0
200,0.7404593044734594,133.0,0.573755759337933,93.0,0.573755759337933,93.0
200,0.5823943651126773,139.0,0.5879113389008139,93.0,0.5879113389008139,93.0
200,0.7101107469756821,128.0,0.5544950119867808,99.0,0.5544950119867808,99.0
200,0.6833152976516463,132.0,0.5522826887408924,96.0,0.5522826887408924,96.0
200,0.6878196756947808,148.0,0.5013265049606221,103.0,0.5013265049606221,103.0
200,0.701773147846974,137.0,0.5324260677239396,106.0,0.5324260677239396,106.0
200,0.4716599625422574,132.0,0.6125029950763452,89.0,0.6125029950763452,89.0
400,0.6833269818237926,274.0,0.5879945040415702,180.0,0.5879945040415702,180.0
400,0.6820484705951577,287.0,0.5886611659130174,185.0,0.5886611659130174,185.0
400,0.6652124792150247,263.0,0.5773879561033707,189.0,0.5773879561033707,189.0
400,0.6610568062990106,278.0,0.5629464257901897,191.0,0.5629464257901897,191.0
400,0.6647798869181409,270.0,0.5373467133791034,202.0,0.5373467133791034,202.0
400,0.7242374476959447,258.0,0.5591404480510676,196.0,0.5591404480510676,196.0
400,0.6942703973434762,274.0,0.5358759974613023,204.0,0.5358759974613023,204.0
400,0.6172219484973879,287.0,0.6027749805617753,183.0,0.6027749805617753,183.0
400,0.5896045777676084,279.0,0.5669897269299922,190.0,0.5669897269299922,190.0
400,0.6654495509445932,290.0,0.6054610028688185,171.0,0.6054610028688185,171.0
400,0.7364197941938384,270.0,0.6266341819361778,168.0,0.6266341819361778,168.0
400,0.6375430915960856,285.0,0.5777919248108359,183.0,0.5777919248108359,183.0
400,0.7467028827294392,267.0,0.5657824848581698,195.0,0.5657824848581698,195.0
400,0.6934372478283257,280.0,0.5984680621436631,177.0,0.5984680621436631,177.0
400,0.6691951988788704,255.0,0.5484443464444184,197.0,0.5484443464444184,197.0
400,0.7065291207860602,276.0,0.5921336999207636,181.0,0.5921336999207636,181.0
400,0.7242729053468464,271.0,0.5510118824287941,196.0,0.5510118824287941,196.0
400,0.6324558670580561,287.0,0.5426034114863602,202.0,0.5426034114863602,202.0
400,0.7221377723707048,255.0,0.6167003382336225,172.0,0.6167003382336225,172.0
400,0.7106397187367812,264.0,0.5737379558884923,191.0,0.5737379558884923,191.0
400,0.7099821422678334,270.0,0.5637658577347622,198.0,0.5637658577347622,198.0
400,0.7262513620232129,267.0,0.5599176859800833,197.0,0.5599176859800833,197.0
400,0.5703809210056928,276.0,0.6122073157530905,177.0,0.6122073157530905,177.0
400,0.6956523991620409,271.0,0.5570812363133957,195.0,0.5570812363133957,195.0
400,0.5172942234996883,268.0,0.566106970909241,194.0,0.566106970909241,194.0
400,0.7017635652229353,265.0,0.5804300789465243,187.0,0.5804300789465243,187.0
400,0.6942756154521483,280.0,0.5678336430112432,191.0,0.5678336430112432,191.0
400,0.6909494180440175,275.0,0.5547795738559578,196.0,0.5547795738559578,196.0
400,0.6527135118905764,283.0,0.6044590276699042,182.0,0.6044590276699042,182.0
400,0.6673976194539669,260.0,0.5300481344742446,208.0,0.5300481344742446,208.0
800,0.6847296023604803,552.0,0.568543095404508,390.0,0.568543095404508,390.0
800,0.7176096024377654,550.0,0.6042404931877978,359.0,0.6042404931877978,359.0
800,0.6878449684869865,568.0,0.5482819562687274,397.0,0.5482819562687274,397.0
800,0.679159393012487,528.0,0.5645270807840959,387.0,0.5645270807840959,387.0
800,0.5219984006505143,543.0,0.5708817944986622,379.0,0.5708817944986622,379.0
800,0.7072469612241211,529.0,0.5570024759679353,393.0,0.5570024759679353,393.0
800,0.6954136576569194,524.0,0.5517359372765179,394.0,0.5517359372765179,394.0
800,0.6945543747433779,543.0,0.6022897637419663,354.0,0.6022897637419663,354.0
800,0.6443167639289442,563.0,0.5735141986958008,384.0,0.5735141986958008,384.0
800,0.7149224673384864,516.0,0.5961807610044267,366.0,0.5961807610044267,366.0
800,0.7163691553594517,523.0,0.5668671282645464,380.0,0.5668671282645464,380.0
800,0.6954783874231464,534.0,0.5793896136073329,373.0,0.5793896136073329,373.0
800,0.6867487498286027,547.0,0.5752327303215108,374.0,0.5752327303215108,374.0
800,0.6818709747163516,530.0,0.5429871059622675,405.0,0.5429871059622675,405.0
800,0.6383857610115504,542.0,0.6098613758968435,343.0,0.6098613758968435,343.0
800,0.6526469968515552,544.0,0.5617817966438792,388.0,0.5617817966438792,388.0
800,0.7133794387117518,524.0,0.5747389951656603,379.0,0.5747389951656603,379.0
800,0.6989399519611619,533.0,0.5821780615457988,369.0,0.5821780615457988,369.0
800,0.6616806729320389,547.0,0.5697206765148723,382.0,0.5697206765148723,382.0
800,0.6860656064506891,541.0,0.5707010400558185,384.0,0.5707010400558185,384.0
800,0.6727436889199351,540.0,0.5634900705982129,384.0,0.5634900705982129,384.0
800,0.4620551272369106,539.0,0.5549580776223969,385.0,0.5549580776223969,385.0
800,0.6951614606221305,530.0,0.5801562628414286,363.0,0.5801562628414286,363.0
800,0.6368944827275671,532.0,0.5788237597079313,371.0,0.5788237597079313,371.0
800,0.7325194230137406,533.0,0.5657536601630377,392.0,0.5657536601630377,392.0
800,0.7293346318635647,545.0,0.5544231147452887,397.0,0.5544231147452887,397.0
800,0.6708152635433582,551.0,0.5782390491367966,383.0,0.5782390491367966,383.0
800,0.7018588561497887,544.0,0.591331005976379,367.0,0.591331005976379,367.0
800,0.7128242289980429,552.0,0.567372060640731,382.0,0.567372060640731,382.0
800,0.6674547368101635,536.0,0.5822377747907079,372.0,0.5822377747907079,372.0
