budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.7416602772297805,27.0,0.8173883309506654,28.0,0.7078540137519396,33.0
50,0.28447606248201995,32.0,0.8410086393947589,25.0,0.30904513594369754,27.0
50,0.6568619091668273,27.0,0.8238487406165401,21.0,0.6058349292629914,31.0
50,0.623147038047856,30.0,0.8259989414714253,23.0,0.6610035408952157,33.0
50,0.5795259209362424,29.0,0.8514111258260499,21.0,0.7477865861420883,30.0
50,0.6203864324893111,30.0,0.8128485759612479,29.0,0.7838555383499318,28.0
50,0.717977035667787,25.0,0.7894521886002734,28.0,0.6479104752034854,37.0
50,0.7724198262768405,26.0,0.6875426130975579,28.0,0.8062627002048139,22.0
50,0.8178492533404018,20.0,0.777711968921607,26.0,0.7809987012725894,31.0
50,0.7590983570127234,26.0,0.8021681007938553,29.0,0.5915102759025531,36.0
50,0.6767043081764683,28.0,0.7843441763755082,28.0,0.6291201006707734,31.0
50,0.7553735902332992,24.0,0.7663458751082637,29.0,0.7570977595307455,32.0
50,0.7905829995277094,27.0,0.7832847085877143,25.0,0.7767290882085489,30.0
50,0.7512178854978385,24.0,0.8387833175390451,22.0,0.776760777287418,25.0
50,0.7517426776582813,22.0,0.7940196765708406,29.0,0.6423980699506442,33.0
50,0.6922920237432223,25.0,0.8719633044640094,19.0,0.7153768245159846,32.0
50,0.7277709215082244,26.0,0.8179775346379488,21.0,0.4397554730887743,24.0
50,0.698194068759697,25.0,0.833433492828206,25.0,0.7594205023067012,29.0
50,0.8001751909777283,21.0,0.8215698957301795,24.0,0.6637740279161252,32.0
50,0.8204445901205101,19.0,0.6650696622540806,27.0,0.7687329455546876,29.0
50,0.6778574724822846,28.0,0.8081123922230566,26.0,0.6819618517773196,29.0
50,0.7003409576709683,26.0,0.8018844122403983,24.0,0.8078749975480309,24.0
50,0.7656645986659165,24.0,0.7732685716792289,27.0,0.6953839647970453,33.0
50,0.7401996055427271,24.0,0.8053456125085975,22.0,0.7247071531701395,29.0
50,0.6896131630559391,29.0,0.6629465997564947,26.0,0.7552438549804901,29.0
50,0.6586422991509175,32.0,0.6960501133754198,28.0,0.7804422982927155,31.0
50,0.7023618189851337,25.0,0.8362773161003294,21.0,0.7961705544286627,31.0
50,0.7868701192309555,26.0,0.8485225782420571,23.0,0.5982762102968181,32.0
50,0.739404594563422,26.0,0.7373685281542337,28.0,0.6889285312023065,33.0
50,0.7583267948998679,28.0,0.8420184572358949,30.0,0.7521943405369336,30.0
