budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.7713841123948062,13.0,0.8648221697671504,9.0,0.5869999974716191,20.0
50,0.6315461813856084,17.0,0.8113732543426452,15.0,0.7559476788365228,14.0
50,0.7718364605359591,12.0,0.8676934933272786,12.0,0.6830725923769212,20.0
50,0.5888269539749342,18.0,0.8280690528549031,10.0,0.6444132479976853,19.0
50,0.7291440160322558,14.0,0.8164341446278807,13.0,0.561946018184746,24.0
50,0.7915863420605391,12.0,0.7994664537032932,13.0,0.5505083192449789,20.0
50,0.7637848773895377,11.0,0.9080462953450644,8.0,0.6606704498653609,21.0
50,0.6511958354351035,16.0,0.813911241311041,15.0,0.7242512868939031,17.0
50,0.8127590910698914,11.0,0.7702439563156457,14.0,0.6030804850366884,23.0
50,0.5824119226330777,19.0,0.7742539044418025,16.0,0.658819277418932,19.0
50,0.7951999542243906,12.0,0.7525627123372913,15.0,0.626271776940718,20.0
50,0.6880444535655383,18.0,0.82797354042179,10.0,0.5685764765810759,21.0
50,0.7979296414337186,12.0,0.7796813784856961,17.0,0.5935821693096892,23.0
50,0.5795297840617615,20.0,0.7713711541918907,13.0,0.5944138638825768,23.0
50,0.824158517839503,10.0,0.7326823634539192,20.0,0.6438178773170251,17.0
50,0.7584421856424244,13.0,0.7259917345244277,19.0,0.7110929202752582,17.0
50,0.6006500967542613,20.0,0.7266714981654734,18.0,0.6991273152840747,18.0
50,0.6187244334258597,18.0,0.8697982220533911,11.0,0.5724723562391559,22.0
50,0.686731988063499,16.0,0.7877297471181255,13.0,0.7263390502615491,19.0
50,0.6712950166230608,11.0,0.7380158858203503,15.0,0.639517264876047,17.0
50,0.8320860747611216,11.0,0.7354498211983141,16.0,0.6652454175483509,20.0
50,0.6640394229141119,16.0,0.7273039764952144,18.0,0.7467036258258921,16.0
50,0.7907761414851362,12.0,0.7817053301235762,15.0,0.7132403201828392,15.0
50,0.73922089195264,15.0,0.7307217878412521,16.0,0.6634926143224764,20.0
50,0.7767065422185687,11.0,0.8096735444834572,13.0,0.8273997586766131,11.0
50,0.8104603506739975,11.0,0.7745981369221199,13.0,0.6516728037972697,22.0
50,0.6719986917204539,16.0,0.77092127214913,14.0,0.6298340455171674,17.0
50,0.6913137001866569,15.0,0.8861233705155489,8.0,0.6271742090718941,19.0
50,0.7583506697324452,13.0,0.8033581310977014,12.0,0.5821629796244904,25.0
50,0.5673210458257161,20.0,0.8171513070760837,14.0,0.6157048855996656,20.0
100,0.7145075095879585,31.0,0.8355139192370566,21.0,0.7000786656225636,30.0
100,0.6962682923114362,31.0,0.8644585585332067,19.0,0.6285979192353712,41.0
100,0.6785605693064859,32.0,0.8344158403358596,23.0,0.6113564681753039,42.0
100,0.7070541900480941,32.0,0.7301540742172832,34.0,0.7001151852041299,33.0
100,0.7003953099832849,29.0,0.8253085775625914,22.0,0.6234434229695132,38.0
100,0.7743267620530271,28.0,0.7396192063388718,34.0,0.6271764990470088,42.0
100,0.7067986022920366,31.0,0.8328341579539125,26.0,0.6756743253314013,37.0
100,0.7367768377072081,26.0,0.8193504966035694,30.0,0.6392863206463573,38.0
100,0.7037769987420368,32.0,0.8198193761506197,25.0,0.7116654524228114,36.0
100,0.6716337494195225,32.0,0.7602660216295534,32.0,0.6047459313478083,46.0
100,0.7044873102529228,32.0,0.8089939277288847,27.0,0.6624780643676913,40.0
100,0.7343522371695739,26.0,0.8052664306533733,25.0,0.7181228289626139,29.0
100,0.6563036738606831,35.0,0.8262938720873327,23.0,0.6641286622047523,34.0
100,0.6529869326302176,31.0,0.7298612797130233,37.0,0.7249843233025108,30.0
100,0.7135675497318148,30.0,0.8146527231540206,27.0,0.6883658173678281,32.0
100,0.7457855417916932,26.0,0.7958670665164541,29.0,0.6647630797747351,39.0
100,0.7140519782751458,29.0,0.7875870235760429,27.0,0.5860582413604439,44.0
100,0.7447302679823795,30.0,0.7501183015945053,37.0,0.5579208897990835,42.0
100,0.7461177981160043,26.0,0.7947662473686665,27.0,0.6099957005688103,43.0
100,0.7699926461210014,28.0,0.7819012188130418,27.0,0.7305135102839702,31.0
100,0.8290214816976513,19.0,0.7843961675769355,29.0,0.6751549965794871,34.0
100,0.6613989565709477,34.0,0.7560068611439399,31.0,0.576180956432825,43.0
100,0.7603090596601221,27.0,0.7527913156059998,32.0,0.6451321729160578,40.0
100,0.6264865462204714,38.0,0.773517891709374,26.0,0.5969482837357553,47.0
100,0.7194036661343822,31.0,0.7586110619630624,29.0,0.6987749851911499,36.0
100,0.6632177917134761,35.0,0.848655100541967,21.0,0.6350412266950084,35.0
100,0.7700396902929791,23.0,0.8391694076611134,23.0,0.6947467122497439,30.0
100,0.8010156192054375,23.0,0.8155506204733294,24.0,0.6910794338084671,28.0
100,0.7117625224883617,34.0,0.8238348152173337,21.0,0.6570358196423683,40.0
100,0.7099536493367524,28.0,0.8459107283276901,18.0,0.6663704687002641,35.0
200,0.7405520176201718,52.0,0.7781876550752658,56.0,0.6840236691781868,64.0
200,0.6978154254115607,61.0,0.7918673669167781,58.0,0.6700372435011469,72.0
200,0.7628160767784934,48.0,0.8091046538792481,50.0,0.653724862191986,71.0
200,0.6868422311363456,66.0,0.7847660873287917,59.0,0.6448728343123873,75.0
200,0.6702659595536153,65.0,0.7446464477986887,64.0,0.6402856153100878,84.0
200,0.7501653603972595,52.0,0.8120330093731953,49.0,0.6333072313782246,79.0
200,0.665991323311619,70.0,0.7888377035202593,55.0,0.6982558825711178,66.0
200,0.7418334410515612,53.0,0.8479801886894441,42.0,0.6552134168258621,80.0
200,0.6187497431909168,79.0,0.7725054107595091,63.0,0.5370490850637559,98.0
200,0.6878810104617694,60.0,0.7555115696214347,65.0,0.6828066149777454,70.0
200,0.7256955869096601,61.0,0.7901678383888808,60.0,0.605755920706737,86.0
200,0.7010508915894842,59.0,0.7775016919963008,58.0,0.6697521408070208,77.0
200,0.7217578282837359,59.0,0.8471312057542921,42.0,0.6276458251164975,81.0
200,0.7265968048518858,56.0,0.7931780120652973,53.0,0.7136693581485236,69.0
200,0.7064501784039021,64.0,0.791261731410991,53.0,0.6429551064415416,80.0
200,0.7123044285795128,58.0,0.785374118027723,51.0,0.6246464457863029,79.0
200,0.7068137339887628,64.0,0.8440363039711625,44.0,0.6933766842987323,64.0
200,0.7055808850761154,60.0,0.8053007568640496,51.0,0.6529357686394587,68.0
200,0.7399740987572819,53.0,0.7832731453636264,58.0,0.6492377819161572,75.0
200,0.6970125269282668,65.0,0.8454981662959662,43.0,0.6898089503757451,69.0
200,0.6774360485112543,63.0,0.7867016226289152,52.0,0.6411893998472604,77.0
200,0.6578669407837252,66.0,0.8323991802799019,47.0,0.6180849841641745,76.0
200,0.6594680938127214,70.0,0.8016824583943175,56.0,0.6159907995079685,83.0
200,0.7624525130836265,49.0,0.8016369732229301,52.0,0.6558788108454545,74.0
200,0.7582434774630633,49.0,0.8234231154339948,51.0,0.6766117202161196,71.0
200,0.7408963967246396,54.0,0.7866957043850684,56.0,0.6461376800937162,78.0
200,0.736168247343365,55.0,0.7769394746509627,57.0,0.6557997345200692,71.0
200,0.6992901459643576,64.0,0.7905493041829323,52.0,0.6129801876401594,85.0
200,0.7019351032258401,65.0,0.8059889078799979,56.0,0.6848197988587306,67.0
200,0.6937725790763816,62.0,0.8026223880527801,55.0,0.6710646934589795,66.0
400,0.7678816798555508,104.0,0.7811412730352625,119.0,0.6414429626448531,156.0
400,0.7231013872929999,115.0,0.7769652244334527,116.0,0.7222093767350344,124.0
400,0.6983437712449625,125.0,0.7607099660494729,124.0,0.620064550409611,160.0
400,0.7382479586425809,101.0,0.7868303469668151,110.0,0.6811874270665869,135.0
400,0.6902364919165865,124.0,0.8206311695410748,99.0,0.6355971917731511,153.0
400,0.7378955653262042,112.0,0.7866952920774243,110.0,0.6425107964858957,163.0
400,0.7353777201432141,109.0,0.8047676172687156,103.0,0.6607774950711717,150.0
400,0.7229083746611902,119.0,0.7828237080071568,114.0,0.6747718742328667,145.0
400,0.6955773339613822,120.0,0.7488309021120795,121.0,0.6623808803460914,146.0
400,0.6755781762678015,127.0,0.8149434716722312,107.0,0.6502542065673769,143.0
400,0.6973899447447817,114.0,0.8016267861114749,102.0,0.6552991956434843,145.0
400,0.7535813263846982,106.0,0.7820230043755425,124.0,0.6759470273686372,151.0
400,0.6795364791847319,133.0,0.7945335317736466,110.0,0.668906820371914,146.0
400,0.6836384332672052,126.0,0.7439468222074688,129.0,0.6410056415741208,151.0
400,0.6808441568225843,125.0,0.8090308528786267,103.0,0.6644939271842301,147.0
400,0.7141494826642071,113.0,0.8002250526349636,108.0,0.6120563407117031,171.0
400,0.7171174151160914,120.0,0.7863965408094364,106.0,0.6950665639891416,131.0
400,0.6793347908088604,124.0,0.8159832669912496,102.0,0.6057863624380659,168.0
400,0.7321041360783409,110.0,0.8022293605249147,100.0,0.657668633935806,158.0
400,0.6982142023503817,123.0,0.7742024196122379,123.0,0.6121957353412261,159.0
400,0.7356435097360402,111.0,0.7594260328362208,127.0,0.6778075518237874,146.0
400,0.7547331559220448,104.0,0.7498960796706555,134.0,0.6780935133813397,138.0
400,0.7371978350579762,107.0,0.8262098661362203,94.0,0.6012147923767799,168.0
400,0.7645416956221082,101.0,0.7582622104594318,124.0,0.5981367977549636,171.0
400,0.7083669167490851,123.0,0.8010706598399865,112.0,0.6346004226453325,159.0
400,0.7131756673925231,120.0,0.8017146482097509,106.0,0.6659517746240755,149.0
400,0.7559869523461109,106.0,0.7748880656019262,113.0,0.6663741657026904,145.0
400,0.6563752229629447,136.0,0.7846758258451145,104.0,0.6855182299277287,142.0
400,0.7162931637431036,121.0,0.7491481501630827,131.0,0.6513076956922532,153.0
400,0.7291842328264073,108.0,0.7761084679805297,127.0,0.6502097686520454,154.0
800,0.6849252312236488,256.0,0.7844588177472723,223.0,0.6619849322251641,294.0
800,0.7480994918485169,212.0,0.7762654492260721,231.0,0.6555766532416691,299.0
800,0.7046674840852191,241.0,0.7856616140500255,214.0,0.6348228489238155,308.0
800,0.7154040104391151,238.0,0.8220776515315423,194.0,0.6384346193386063,313.0
800,0.7033095629452151,249.0,0.7699755609828054,226.0,0.6803126585799678,281.0
800,0.7057897469215199,246.0,0.7961886587058354,220.0,0.652518113463918,292.0
800,0.7307553199057775,223.0,0.7968124705418751,214.0,0.647347787723425,305.0
800,0.7420526698361958,214.0,0.7917658740848851,221.0,0.6499705298050897,299.0
800,0.7055931465396887,245.0,0.7662012902691551,248.0,0.645600988751152,297.0
800,0.6974764622554734,246.0,0.7944049396702857,214.0,0.655229766056848,304.0
800,0.7177768718882878,226.0,0.7954871600112874,221.0,0.6493286642293755,293.0
800,0.7071112070361053,238.0,0.7880073220128807,221.0,0.6589199586034473,298.0
800,0.7361547267916624,216.0,0.8034429598860577,202.0,0.6169934892510495,313.0
800,0.7304058857805085,226.0,0.7772403298443495,229.0,0.6602913365634093,282.0
800,0.6916510965120772,240.0,0.7971091371609414,215.0,0.6311748333751996,317.0
800,0.6964362101074468,252.0,0.7814799532280421,240.0,0.6621103803989609,301.0
800,0.6993621690118945,243.0,0.7847751464459654,227.0,0.6699092885044176,273.0
800,0.6986140079965231,246.0,0.7900665724545849,226.0,0.6696216324788187,273.0
800,0.6752466821564307,251.0,0.7807738898315018,226.0,0.6362573870450127,316.0
800,0.7117026883804722,241.0,0.7689326137317007,235.0,0.636076101567054,300.0
800,0.7328017384386865,226.0,0.7760752737528366,228.0,0.6414898600510489,298.0
800,0.6930131257371405,253.0,0.7690829999231996,247.0,0.6430548856192274,291.0
800,0.7273322903861809,216.0,0.7717569434971141,233.0,0.661967230793337,283.0
800,0.7308892164241306,221.0,0.7908270062549858,217.0,0.6301392888280317,308.0
800,0.7320834439303993,219.0,0.7666779949744946,244.0,0.6431753036072181,304.0
800,0.7280360461381064,232.0,0.7775253617167047,224.0,0.629741152840769,306.0
800,0.7020523151022403,238.0,0.7899176338555128,218.0,0.6375394498240865,298.0
800,0.7188246221235228,237.0,0.7842678175377509,218.0,0.6802170186313341,277.0
800,0.7095075635146091,234.0,0.7961986652026092,220.0,0.6380404253853726,302.0
800,0.7056703303575946,244.0,0.7736697126310524,237.0,0.638580424477163,311.0
