budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.9474656469771332,5.0,0.97643608808158,3.0,0.9378335906769988,7.0
50,0.9115856890158504,6.0,0.9098948406536772,7.0,0.9614438822052856,3.0
50,0.9120026878516309,8.0,0.9507304269400048,4.0,0.8927246048722667,10.0
50,0.9258042436879074,8.0,0.9755735836215004,2.0,0.9221691458651049,7.0
50,0.8844161069643107,7.0,0.922824493526086,6.0,0.9649936623679336,4.0
50,0.8487558699780016,10.0,0.9275704292508268,6.0,0.9635159814544974,4.0
50,0.9724100309706982,3.0,0.9295249305676088,4.0,0.8995716909084548,12.0
50,0.8776705100239969,7.0,0.9552251294430384,4.0,0.9722044492109346,3.0
50,0.8888755415334179,9.0,0.9144743372402728,6.0,0.936109417754579,7.0
50,0.9354989799456924,5.0,0.8914327412208056,10.0,0.9267526462902144,9.0
50,0.9289916083918236,8.0,0.9636945031240364,3.0,0.8942071916544647,11.0
50,0.9247019125279512,6.0,0.9745034411081506,3.0,0.9448315039876249,6.0
50,0.9590657346022315,4.0,0.9394003373140558,6.0,0.9161547147177508,7.0
50,0.8617015268818404,6.0,0.9216108355044338,6.0,0.9481455283145036,7.0
50,0.8760081741341776,10.0,0.8804527143727751,8.0,0.9057531848123584,10.0
50,0.9548484205289964,4.0,0.923336983449121,5.0,0.9209284373368696,7.0
50,0.9689890981122806,2.0,0.9568974212500679,3.0,0.917166352699817,9.0
50,0.8837659683820698,6.0,0.8652494819758065,9.0,0.9746797539313714,3.0
50,0.8771681557770618,9.0,0.965372094126936,3.0,0.9535387202005916,5.0
50,0.8468094585434102,11.0,0.9620754439812712,3.0,0.9551066285882712,6.0
50,0.8497963993011943,11.0,0.9581484707561174,3.0,0.9551573736372438,5.0
50,0.8051508998024691,11.0,0.899949842233744,8.0,0.9552617774760462,5.0
50,0.9290889924240501,4.0,0.9321473843513576,5.0,0.9490781668409244,5.0
50,0.9388931675139736,5.0,0.9096357359718324,6.0,0.9586632248482818,4.0
50,0.894266411327726,9.0,0.9576038534580016,3.0,0.9349739194540474,8.0
50,0.8885521571529372,9.0,0.9382989965753868,5.0,0.9187809996025608,10.0
50,0.90223103347337,6.0,0.9094305579908788,6.0,0.9142376221088668,11.0
50,0.9055259121845562,6.0,0.9725663106185316,3.0,0.9465186659080808,6.0
50,0.9473077601037376,5.0,0.9609040500964929,4.0,0.9256474116246638,8.0
50,0.8242993380289088,7.0,0.9874415438779496,2.0,0.912257837544926,10.0
100,0.8766058742291576,19.0,0.9390134937375302,10.0,0.9250274731304454,15.0
100,0.9172777557595296,11.0,0.9206203827697278,12.0,0.9219551424454012,14.0
100,0.9083303711637756,11.0,0.9521862438936312,9.0,0.9465180738412002,12.0
100,0.9120430089696174,14.0,0.927377878534652,10.0,0.9193994490146848,15.0
100,0.8948216884310733,16.0,0.9317859625066746,10.0,0.9045537330514816,20.0
100,0.9131752036150164,10.0,0.9662051326504472,5.0,0.9437213411020564,13.0
100,0.8575219774003727,18.0,0.9609360434012459,6.0,0.9343086139867142,14.0
100,0.8917028562388988,13.0,0.9603310449643976,7.0,0.9231531774613004,15.0
100,0.8751209677227022,17.0,0.9403337851887612,10.0,0.9514311912443236,10.0
100,0.8831588126148843,18.0,0.9426290013843373,11.0,0.8764070373710137,22.0
100,0.9308142042479076,10.0,0.9307056263602956,10.0,0.952836267807156,11.0
100,0.9048061812339874,13.0,0.9348796490348048,9.0,0.9368601359129256,14.0
100,0.9269330043208118,10.0,0.9504760499051548,6.0,0.9107035656798002,18.0
100,0.8937316372489883,15.0,0.9790950352311028,5.0,0.9356817754714732,14.0
100,0.8829289241510221,16.0,0.9597023366390006,9.0,0.9301989030808112,14.0
100,0.8614251901879217,23.0,0.9803255367411636,3.0,0.9452353757059336,10.0
100,0.92453016337531,12.0,0.9678927134262164,6.0,0.9469913976984304,12.0
100,0.9299536133499924,12.0,0.93765730478286,9.0,0.9180675055404471,18.0
100,0.921245857085078,11.0,0.952070217749468,7.0,0.9210591758203229,16.0
100,0.8659268991818052,14.0,0.96625140609875,6.0,0.925843955083182,16.0
100,0.9074424762444631,14.0,0.9409341802225296,9.0,0.9195859180449456,16.0
100,0.9175873496854252,13.0,0.9265351823420382,10.0,0.9302438146236308,15.0
100,0.9422300232209494,10.0,0.9435553682518224,9.0,0.9448801683147404,12.0
100,0.9178850352428805,14.0,0.973218999078066,5.0,0.9348672850242679,15.0
100,0.9411347805446704,11.0,0.9355253196980576,8.0,0.9753361339988086,6.0
100,0.9126276737927174,15.0,0.9379868754489218,11.0,0.9210227699014985,17.0
100,0.9596102304363234,8.0,0.9245915703656908,13.0,0.967350612329336,9.0
100,0.8248528555212624,19.0,0.9450559090125084,9.0,0.9263698147172548,14.0
100,0.8868435304366636,16.0,0.9546594561923878,5.0,0.9361550434170168,13.0
100,0.8672160542889421,24.0,0.9338001735899196,12.0,0.9422454455853432,12.0
200,0.8742617840812681,32.0,0.9637977328113808,14.0,0.9387339489512432,25.0
200,0.90398402022737,29.0,0.9458235087152862,20.0,0.9380647682532888,27.0
200,0.9015396387081128,30.0,0.9490423521771536,19.0,0.936076895558394,30.0
200,0.9168966435765749,23.0,0.960789240926844,14.0,0.9139563572373106,37.0
200,0.9097761655973332,28.0,0.9784725873716142,9.0,0.9403070501241324,25.0
