budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.9401530073060398,7.0,0.9299817382362612,5.0,0.9082896700455122,11.0
50,0.9331439970054628,6.0,0.9690267017257932,2.0,0.9566783855262192,8.0
50,0.9512138537543808,4.0,0.9690748647935749,2.0,0.976561272091881,6.0
50,0.8208185508908337,8.0,0.9519237869489722,5.0,0.9020172207189204,8.0
50,0.9300933803829572,4.0,0.9474280037249656,4.0,0.9494365777724334,5.0
50,0.8856064523200381,9.0,0.9792438112298892,3.0,0.8768577580807273,12.0
50,0.9133055467246416,8.0,0.9561192478249988,1.0,0.9482433350844532,8.0
50,0.8469044655347321,13.0,0.9143170734724836,10.0,0.951237125881686,7.0
50,0.9065017669898348,6.0,1.0,0.0,0.8796752956203098,13.0
50,0.9179462149303634,6.0,0.8646725504454784,12.0,0.973008737025274,3.0
50,0.8996965061051847,6.0,0.9513289638298076,5.0,0.9064158323980104,10.0
50,0.919210867727454,8.0,0.9724607679564292,3.0,0.9243413982678572,8.0
50,0.8992916760928555,8.0,0.9261042570190404,5.0,0.9594649789410994,4.0
50,0.9224419599117624,6.0,0.9036441527943464,7.0,0.9155937487073263,11.0
50,0.9274402645385272,8.0,0.9400637394437876,7.0,0.913656696139787,8.0
50,0.9134935565021042,6.0,0.928701954232202,6.0,0.9210669332213912,12.0
50,0.927613867117682,5.0,0.9342817974605928,7.0,0.9194131254450209,10.0
50,0.8321976979677009,12.0,0.9253132785038071,4.0,0.9607771998086936,5.0
50,0.8869977896419841,8.0,0.98229151893162,2.0,0.926357988997652,9.0
50,0.9042648017839592,10.0,0.9715870303698044,3.0,0.9381109247269256,6.0
50,0.8854299458177961,8.0,0.921982696233111,7.0,0.9215272647518544,8.0
50,0.9175044452045792,6.0,0.9711021259365114,3.0,0.9202972643480596,9.0
50,0.901688128410972,8.0,0.9337060928668104,5.0,0.9449929380144796,6.0
50,0.9248685503157564,6.0,0.8924941920834198,8.0,0.9405122571772424,8.0
50,0.97922643179391,3.0,0.9017637990822946,8.0,0.9476122491328092,6.0
50,0.8410160226497487,11.0,0.9891595036842432,2.0,0.9017224474290642,8.0
50,0.7897772051961367,11.0,0.9502706580653152,3.0,0.9567682945168386,7.0
50,0.9249924061106396,4.0,0.9849879288437564,2.0,0.9072050726702666,7.0
50,0.9067990350035704,9.0,0.9564095712472992,2.0,0.9164276529806576,10.0
50,0.8444599780595783,12.0,0.9218684016205476,6.0,0.945232003773308,6.0
100,0.9108992170803409,15.0,0.9254536558896826,10.0,0.9227824002377478,16.0
100,0.9057300866221408,13.0,0.9745952141036858,5.0,0.9590460977924448,11.0
100,0.9319251228410608,11.0,0.9308683818244572,10.0,0.9384478869674548,16.0
100,0.8647058100126411,20.0,0.9280284241290186,9.0,0.9315034387197292,16.0
100,0.8728064583549553,20.0,0.9161354749753676,13.0,0.9321378349279988,14.0
100,0.8801806478737761,15.0,0.933776820680382,11.0,0.900372634902311,15.0
100,0.9026252803492196,16.0,0.9293968090903404,10.0,0.9674099220476816,6.0
100,0.9094248709514184,11.0,0.9699720932265988,7.0,0.9306043163086436,15.0
100,0.8742285149179363,19.0,0.9449170650861848,8.0,0.9370154161249368,16.0
100,0.933078684445466,13.0,0.9566083377071644,8.0,0.9052322803220552,19.0
100,0.9126909749975732,13.0,0.9785534190498996,4.0,0.949552659625577,11.0
100,0.9216036739717656,11.0,0.972460743646206,4.0,0.9190047812732096,17.0
100,0.9189485352045792,12.0,0.926553241954472,13.0,0.967102647933918,6.0
100,0.8727589176997258,17.0,0.9612805346037008,7.0,0.9413898600438728,15.0
100,0.9289792294933384,12.0,0.979302998028732,5.0,0.9271038197738216,14.0
100,0.8516162134217321,23.0,0.9184734098021924,13.0,0.9394969836432584,15.0
100,0.8802194436160815,17.0,0.9269963799633438,13.0,0.9448774884216548,13.0
100,0.8576868532067671,19.0,0.9481280801574784,11.0,0.9394698329934262,17.0
100,0.9119686363735356,16.0,0.9431925216773656,8.0,0.9391933034056884,12.0
100,0.9097453729285284,12.0,0.964212490870052,8.0,0.9167635292849082,15.0
100,0.9196151911152642,11.0,0.9451477405038452,11.0,0.9474566187622064,13.0
100,0.8727274048605167,17.0,0.9558233403469828,10.0,0.9321737004372764,17.0
100,0.9550742167392772,9.0,0.9544034317633344,9.0,0.9509345370919999,14.0
100,0.8775765562056975,18.0,0.9513164655029612,9.0,0.9548979846606904,13.0
100,0.8849651633853419,19.0,0.9576830696916596,9.0,0.9276331849316424,14.0
100,0.8557374238486839,21.0,0.9060102003770268,16.0,0.9053374394793509,20.0
100,0.93073849721266,12.0,0.9391633527277736,9.0,0.940989303074382,12.0
100,0.9196718244304174,13.0,0.9319707709036912,10.0,0.955045296968606,11.0
100,0.8510459402183983,23.0,0.9575907027263648,8.0,0.9376120667602504,15.0
100,0.9549177921067916,7.0,0.9403607877669056,10.0,0.912733536460112,18.0
200,0.8581927760829446,42.0,0.971195361659524,12.0,0.94810883359635,26.0
200,0.8832467522219033,32.0,0.9566543053684936,10.0,0.9322469874562817,28.0
200,0.922125780505134,24.0,0.9640350097979744,12.0,0.9317694455926774,34.0
200,0.9057330916823784,27.0,0.9339092974259314,20.0,0.9288396165985936,33.0
200,0.9096765403141056,26.0,0.9373618774424568,24.0,0.939974656255988,28.0
200,0.8990561582240263,31.0,0.9481886298429922,17.0,0.9304685499900334,30.0
200,0.9300496972323272,24.0,0.9688132168562484,13.0,0.9361844810734046,30.0
200,0.924126821502106,25.0,0.9391413504171914,21.0,0.9291410609463776,32.0
200,0.8960188874687095,32.0,0.9444443399395424,20.0,0.9315535246863416,30.0
200,0.8967651109008438,29.0,0.9465214382077464,21.0,0.9297136412868552,30.0
200,0.9203687044035398,25.0,0.9695579324116124,10.0,0.9247450671256106,33.0
200,0.9276517294963206,21.0,0.9536956496432608,18.0,0.9316377198149616,29.0
200,0.9294720297332908,23.0,0.9302754955801916,20.0,0.9415779334208644,29.0
200,0.9005266586093238,32.0,0.9579473132619613,16.0,0.9234599219150956,29.0
200,0.8777695390286328,34.0,0.9530599062405004,17.0,0.9323613967526629,31.0
200,0.904340152968482,27.0,0.929222525837477,22.0,0.9213123295480004,32.0
200,0.9491010416311021,18.0,0.9585061092445356,17.0,0.918218815842334,40.0
200,0.8936103457618495,31.0,0.9498309570081348,17.0,0.935268876497974,31.0
200,0.9006161508498134,32.0,0.9601830950975581,16.0,0.9341915662314412,28.0
200,0.918715942329834,27.0,0.9172471700865378,24.0,0.9474525978996476,30.0
200,0.8741644140658402,35.0,0.9403594594259229,18.0,0.9456730672663344,26.0
200,0.9036277010375278,35.0,0.9484719666194114,17.0,0.9366603669466109,27.0
200,0.9018869255443124,30.0,0.9498747881397536,16.0,0.9420728173709448,27.0
200,0.9216879706591792,25.0,0.9486332672134432,17.0,0.936624616451896,28.0
200,0.9198007453669018,29.0,0.9247917224317892,25.0,0.9436398850354426,24.0
200,0.8945044408982491,30.0,0.9677423688742572,11.0,0.9278349909069512,32.0
200,0.8825408847054389,32.0,0.9685802226554426,16.0,0.9374377635125296,32.0
200,0.9040462933092912,33.0,0.9314805110424276,21.0,0.922803330336078,36.0
200,0.9234541282783876,28.0,0.9461340298249804,19.0,0.9317170163641716,31.0
200,0.9232989490849024,26.0,0.9588168578311514,13.0,0.9145744143034544,35.0
400,0.9105456156181856,54.0,0.9451374551754111,36.0,0.9499787585835016,47.0
400,0.9046164499628132,59.0,0.9438043457047608,37.0,0.9266312846705828,60.0
400,0.9008331677238196,56.0,0.9482410714559988,31.0,0.9272506649458848,67.0
400,0.8897007368928556,60.0,0.9409289952655226,43.0,0.9292625308967641,62.0
400,0.9090007390970508,56.0,0.955029631265048,29.0,0.9274035354899796,64.0
400,0.912049915432562,53.0,0.9527899421230512,30.0,0.9268200220768098,68.0
400,0.9031037413697228,48.0,0.9430981468478294,33.0,0.9201473738307512,66.0
400,0.889119964361453,62.0,0.9464310762714973,36.0,0.9377286487591584,57.0
400,0.9327726327047946,49.0,0.9368540992158652,37.0,0.9315326530818906,60.0
400,0.8914362427962124,69.0,0.9582039145548236,32.0,0.9223676323024871,66.0
400,0.8949150386282064,62.0,0.9613491427852796,28.0,0.9333432910129708,63.0
400,0.8799895069485713,74.0,0.9598750451863494,27.0,0.932806930630134,58.0
400,0.9188518118651736,52.0,0.9432253593297272,38.0,0.937048164740762,54.0
400,0.9089630879776718,52.0,0.9449978199051644,36.0,0.9411419701584356,55.0
400,0.9062232072385864,49.0,0.9515572142124286,29.0,0.9372752925125301,54.0
400,0.9080762161585996,55.0,0.952293707540272,34.0,0.9354074768358348,57.0
400,0.8959290993445415,58.0,0.9576860624540487,29.0,0.9341813531163472,60.0
400,0.9003978047746375,56.0,0.9395896776309552,42.0,0.9449433877896,56.0
400,0.9137204384004944,52.0,0.9520758433779384,33.0,0.94183528344898,54.0
400,0.9203248801933444,44.0,0.9668071465640652,23.0,0.9404814023512592,49.0
400,0.8983891341029019,57.0,0.9485404666528234,39.0,0.9096278376395592,78.0
400,0.8766485195219783,71.0,0.9497856766424524,36.0,0.9407629501824476,61.0
400,0.9025034523080566,64.0,0.9503884265040112,32.0,0.9491602003215082,47.0
400,0.9009406178471075,63.0,0.95356186536717,32.0,0.936732101132842,59.0
400,0.8936484900519416,62.0,0.9363254763674048,42.0,0.9454373227178072,52.0
400,0.8982836618282977,67.0,0.9646722273751978,24.0,0.9246663360264761,64.0
400,0.9162944346760588,53.0,0.9540438897613004,30.0,0.923928298377768,64.0
400,0.876492411830976,73.0,0.9484543767774508,36.0,0.9509862109493395,41.0
400,0.9243993294092472,54.0,0.9537657097165926,30.0,0.9326613513793516,62.0
400,0.859563333247212,75.0,0.9439856886789292,43.0,0.9229116619297352,65.0
800,0.8821375092354906,146.0,0.9559544093380772,56.0,0.9356145304147732,118.0
800,0.9196038068646876,106.0,0.9489043613522702,70.0,0.9323140586191532,114.0
800,0.8974669602906796,121.0,0.9609024107721033,56.0,0.9286082170769272,133.0
800,0.9029767062702464,118.0,0.9489982792640056,66.0,0.9301227992745212,129.0
800,0.9072815728357758,111.0,0.9472554952200742,69.0,0.936870916718358,111.0
800,0.9134413169276088,116.0,0.955478231509451,58.0,0.9408487720292412,109.0
800,0.9184907710067621,104.0,0.9462421826981396,71.0,0.9344726425602188,114.0
800,0.8858527370770805,131.0,0.9535985511255741,63.0,0.939301559919,113.0
800,0.9288467726973221,93.0,0.9508538970285004,61.0,0.9294875304947292,122.0
800,0.9064440837537924,107.0,0.9373679383080892,82.0,0.94234641179102,104.0
800,0.8973747767485827,121.0,0.9550633182368364,67.0,0.9271635516949712,121.0
800,0.9078194524088344,118.0,0.9403151640233396,81.0,0.9317279879994116,122.0
800,0.8912606769670871,126.0,0.9412559736836316,79.0,0.9382021164393834,112.0
800,0.9013466336709312,122.0,0.9559403763944012,56.0,0.9314906732679265,122.0
800,0.8885196110837934,140.0,0.9541801668428748,65.0,0.9240970597491964,128.0
800,0.9232541434492632,97.0,0.9487181798777116,71.0,0.9326810031927334,118.0
800,0.8918022471255153,120.0,0.9278473734683388,89.0,0.9281407925695572,129.0
800,0.9054493301644984,111.0,0.9451389885218712,77.0,0.937710615433512,121.0
800,0.904680877939958,121.0,0.9547659744433072,54.0,0.9348562229140748,117.0
800,0.9022634587481072,110.0,0.9265490753829936,89.0,0.939552989239048,111.0
800,0.8925995489711824,123.0,0.9500845062790982,65.0,0.9300736033672422,123.0
800,0.8890124313913891,121.0,0.9510517142138004,68.0,0.9325075026000124,117.0
800,0.9124521987935952,113.0,0.942119092661419,71.0,0.935244616953972,114.0
800,0.900983799426964,121.0,0.9441776872507424,74.0,0.9294260376943398,126.0
800,0.9007047134344656,117.0,0.9369507145547908,77.0,0.9391995876966804,113.0
800,0.9113686328038814,110.0,0.9585210862057704,55.0,0.9292863980711541,126.0
800,0.9021679654770458,115.0,0.9507693734126814,66.0,0.9229115619111964,135.0
800,0.8880194102617893,128.0,0.9470199652103868,68.0,0.9287838444425988,126.0
800,0.8991645083795713,117.0,0.9500920143076864,71.0,0.9505870899892132,98.0
800,0.9062601027084668,109.0,0.9459009684865894,75.0,0.9177290192736804,137.0
