budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.62,19,0.5,25,0.56,22
50,0.64,18,0.54,23,0.54,23
50,0.56,22,0.48,26,0.54,23
50,0.58,21,0.42,29,0.52,24
50,0.6,20,0.42,29,0.5,25
50,0.5,25,0.38,31,0.4,30
50,0.7,15,0.62,19,0.64,18
50,0.72,14,0.6,20,0.56,22
50,0.66,17,0.5,25,0.56,22
50,0.66,17,0.56,22,0.38,31
50,0.64,18,0.54,23,0.54,23
50,0.6,20,0.48,26,0.6,20
50,0.62,19,0.54,23,0.54,23
50,0.6,20,0.48,26,0.52,24
50,0.44,28,0.5,25,0.52,24
50,0.66,17,0.66,17,0.62,19
50,0.66,17,0.54,23,0.58,21
50,0.78,11,0.56,22,0.62,19
50,0.72,14,0.56,22,0.64,18
50,0.64,18,0.52,24,0.5,25
50,0.66,17,0.58,21,0.6,20
50,0.7,15,0.52,24,0.66,17
50,0.66,17,0.56,22,0.62,19
50,0.68,16,0.56,22,0.58,21
50,0.7,15,0.64,18,0.72,14
50,0.66,17,0.5,25,0.5,25
50,0.68,16,0.58,21,0.66,17
50,0.52,24,0.46,27,0.46,27
50,0.84,8,0.68,16,0.72,14
50,0.8,10,0.6,20,0.56,22
100,0.65,35,0.56,44,0.62,38
100,0.65,35,0.56,44,0.56,44
100,0.64,36,0.56,44,0.57,43
100,0.65,35,0.51,49,0.57,43
100,0.63,37,0.46,54,0.51,49
100,0.58,42,0.51,49,0.55,45
100,0.74,26,0.65,35,0.67,33
100,0.68,32,0.61,39,0.62,38
100,0.61,39,0.54,46,0.53,47
100,0.6,40,0.54,46,0.49,51
100,0.65,35,0.59,41,0.57,43
100,0.66,34,0.54,46,0.61,39
100,0.65,35,0.52,48,0.56,44
100,0.64,36,0.55,45,0.58,42
100,0.59,41,0.6,40,0.62,38
100,0.74,26,0.72,28,0.66,34
100,0.58,42,0.47,53,0.53,47
100,0.67,33,0.51,49,0.54,46
100,0.69,31,0.54,46,0.63,37
100,0.71,29,0.61,39,0.62,38
100,0.62,38,0.48,52,0.48,52
100,0.67,33,0.56,44,0.59,41
100,0.67,33,0.54,46,0.62,38
100,0.75,25,0.56,44,0.6,40
100,0.67,33,0.69,31,0.7,30
100,0.68,32,0.56,44,0.55,45
100,0.66,34,0.61,39,0.64,36
100,0.58,42,0.55,45,0.57,43
100,0.67,33,0.55,45,0.57,43
100,0.72,28,0.56,44,0.54,46
200,0.675,65,0.555,89,0.6,80
200,0.68,64,0.565,87,0.595,81
200,0.62,76,0.535,93,0.57,86
200,0.625,75,0.525,95,0.565,87
200,0.63,74,0.47,10,0.545,91
200,0.615,77,0.55,90,0.59,82
200,0.74,52,0.66,68,0.65,70
200,0.685,63,0.6,80,0.615,77
200,0.68,64,0.61,78,0.59,82
200,0.605,79,0.525,95,0.48,104
200,0.645,71,0.595,81,0.62,76
200,0.62,76,0.515,97,0.56,88
200,0.68,64,0.575,85,0.575,85
200,0.69,62,0.585,83,0.59,82
200,0.605,79,0.585,83,0.58,84
200,0.685,63,0.625,75,0.63,74
200,0.615,77,0.505,99,0.56,88
200,0.655,69,0.555,89,0.57,86
200,0.63,74,0.565,87,0.56,88
200,0.705,59,0.64,72,0.605,79
200,0.62,76,0.55,90,0.53,94
200,0.67,66,0.59,82,0.58,84
200,0.66,68,0.585,83,0.6,80
200,0.74,52,0.58,84,0.6,80
200,0.69,62,0.65,70,0.655,69
200,0.67,66,0.56,88,0.575,85
200,0.69,62,0.56,88,0.63,74
200,0.62,76,0.565,87,0.57,86
200,0.64,72,0.55,90,0.595,81
200,0.695,61,0.58,84,0.55,90
400,0.6625,135,0.58,168,0.5875,165
400,0.64,144,0.5175,193,0.5725,171
400,0.6475,141,0.5825,167,0.5975,161
