budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.74,13,0.78,11,0.68,16
50,0.7,15,0.9,5,0.64,18
50,0.76,12,0.78,11,0.62,19
50,0.74,13,0.76,12,0.74,13
50,0.78,11,0.76,12,0.6,20
50,0.82,9,0.76,12,0.72,14
50,0.74,13,0.84,8,0.72,14
50,0.7,15,0.76,12,0.62,19
50,0.76,12,0.84,8,0.78,11
50,0.68,16,0.68,16,0.64,18
50,0.68,16,0.8,10,0.66,17
50,0.68,16,0.86,7,0.62,19
50,0.6,20,0.78,11,0.64,18
50,0.62,19,0.66,17,0.56,22
50,0.58,21,0.6,20,0.7,15
50,0.7,15,0.72,14,0.7,15
50,0.78,11,0.82,9,0.68,16
50,0.76,12,0.84,8,0.62,19
50,0.76,12,0.7,15,0.62,19
50,0.72,14,0.78,11,0.74,13
50,0.64,18,0.84,8,0.8,10
50,0.84,8,0.82,9,0.8,10
50,0.76,12,0.82,9,0.74,13
50,0.68,16,0.76,12,0.6,20
50,0.7,15,0.8,10,0.58,21
50,0.78,11,0.86,7,0.62,19
50,0.78,11,0.86,7,0.82,9
50,0.66,17,0.74,13,0.62,19
50,0.7,15,0.78,11,0.58,21
50,0.68,16,0.74,13,0.68,16
100,0.75,25,0.83,17,0.72,28
100,0.76,24,0.89,11,0.69,31
100,0.77,23,0.81,19,0.66,34
100,0.75,25,0.8,20,0.7,30
100,0.76,24,0.79,21,0.6,40
100,0.74,26,0.73,27,0.66,34
100,0.72,28,0.81,19,0.72,28
100,0.71,29,0.75,25,0.6,40
100,0.72,28,0.8,20,0.71,29
100,0.59,41,0.73,27,0.62,38
100,0.73,27,0.79,21,0.66,34
100,0.64,36,0.78,22,0.6,40
100,0.65,35,0.79,21,0.65,35
100,0.71,29,0.76,24,0.62,38
100,0.58,42,0.69,31,0.66,34
100,0.7,30,0.77,23,0.67,33
100,0.72,28,0.78,22,0.66,34
100,0.71,29,0.83,17,0.57,43
100,0.76,24,0.72,28,0.59,41
100,0.71,29,0.8,20,0.72,28
100,0.7,30,0.85,15,0.74,26
100,0.77,23,0.84,16,0.75,25
100,0.73,27,0.8,20,0.72,28
100,0.68,32,0.72,28,0.63,37
100,0.65,35,0.77,23,0.63,37
100,0.76,24,0.8,20,0.62,38
100,0.69,31,0.79,21,0.75,25
100,0.68,32,0.77,23,0.59,41
100,0.72,28,0.76,24,0.62,38
100,0.73,27,0.78,22,0.72,28
200,0.705,59,0.795,41,0.65,70
200,0.78,44,0.85,30,0.66,68
200,0.74,52,0.81,38,0.64,72
200,0.74,52,0.785,43,0.685,63
200,0.77,46,0.8,40,0.625,75
200,0.71,58,0.75,50,0.63,74
200,0.71,58,0.825,35,0.685,63
200,0.685,63,0.775,45,0.64,72
200,0.72,56,0.815,37,0.715,57
200,0.605,79,0.76,48,0.62,76
200,0.71,58,0.785,43,0.62,76
200,0.705,59,0.83,34,0.645,71
200,0.685,63,0.78,44,0.625,75
200,0.69,62,0.74,52,0.615,77
200,0.7,60,0.745,51,0.655,69
200,0.7,60,0.785,43,0.67,66
200,0.7,60,0.765,47,0.58,84
200,0.685,63,0.79,42,0.59,82
200,0.74,52,0.765,47,0.635,73
200,0.69,62,0.78,44,0.71,58
200,0.7,60,0.82,36,0.675,65
200,0.75,50,0.815,37,0.72,56
200,0.715,57,0.8,40,0.67,66
200,0.695,61,0.765,47,0.615,77
200,0.645,71,0.765,47,0.645,71
200,0.755,49,0.785,43,0.64,72
200,0.68,64,0.765,47,0.67,66
200,0.685,63,0.79,42,0.605,79
200,0.735,53,0.8,40,0.655,69
200,0.69,62,0.73,54,0.62,76
400,0.7025,119,0.785,86,0.67,132
400,0.755,98,0.815,74,0.67,132
400,0.72,112,0.7925,83,0.6475,141
400,0.7225,111,0.7875,85,0.6575,137
400,0.7375,105,0.8025,79,0.6475,141
400,0.6775,129,0.735,106,0.62,152
400,0.6975,121,0.8175,73,0.6725,131
400,0.7075,117,0.7775,89,0.6275,149
400,0.7275,109,0.81,76,0.665,134
400,0.645,142,0.7425,103,0.6025,159
400,0.715,114,0.7825,87,0.6275,149
400,0.715,114,0.825,70,0.66,136
400,0.69,124,0.7675,93,0.6275,149
400,0.7125,115,0.7825,87,0.63,148
400,0.6925,123,0.7825,87,0.6825,127
400,0.73,108,0.79,84,0.6775,129
400,0.7425,103,0.775,90,0.63,148
400,0.72,112,0.78,88,0.625,150
400,0.715,114,0.765,94,0.6175,153
400,0.7125,115,0.7925,83,0.675,130
400,0.7075,117,0.79,84,0.6775,129
400,0.765,94,0.81,76,0.6775,129
400,0.71,116,0.7925,83,0.6925,123
400,0.7125,115,0.78,88,0.6425,143
400,0.6625,135,0.755,98,0.62,152
400,0.7375,105,0.7725,91,0.655,138
400,0.685,126,0.7525,99,0.62,152
400,0.705,118,0.7825,87,0.63,148
400,0.7275,109,0.785,86,0.6525,139
400,0.6975,121,0.7825,87,0.625,150
