budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.94,3,0.98,1,0.96,2
50,0.82,9,0.94,3,0.88,6
50,0.92,4,0.94,3,0.96,2
50,0.88,6,0.94,3,0.94,3
50,0.88,6,0.98,1,0.9,5
50,0.94,3,1.0,0,0.96,2
50,0.88,6,0.98,1,0.92,4
50,0.9,5,0.94,3,0.94,3
50,0.9,5,0.96,2,0.86,7
50,0.94,3,0.94,3,0.9,5
50,0.88,6,0.98,1,0.88,6
50,0.94,3,0.96,2,0.96,2
50,0.98,1,0.96,2,0.98,1
50,0.92,4,0.96,2,0.92,4
50,0.84,8,0.98,1,0.82,9
50,0.88,6,0.94,3,0.92,4
50,0.92,4,0.92,4,0.92,4
50,0.88,6,0.94,3,0.92,4
50,0.94,3,0.92,4,0.92,4
50,0.96,2,0.94,3,0.94,3
50,0.86,7,0.98,1,0.92,4
50,0.86,7,0.98,1,0.9,5
50,0.9,5,0.92,4,0.92,4
50,0.92,4,0.94,3,0.94,3
50,0.86,7,0.96,2,0.88,6
50,0.9,5,0.98,1,0.9,5
50,0.96,2,0.94,3,0.94,3
50,0.94,3,0.96,2,0.88,6
50,0.82,9,0.92,4,0.88,6
50,0.9,5,0.96,2,0.96,2
100,0.92,8,0.98,2,0.94,6
100,0.9,10,0.94,6,0.91,9
100,0.93,7,0.95,5,0.96,4
100,0.88,12,0.94,6,0.9,10
100,0.88,12,0.96,4,0.9,10
100,0.91,9,0.97,3,0.94,6
100,0.89,11,0.97,3,0.92,8
100,0.93,7,0.94,6,0.94,6
100,0.9,10,0.96,4,0.92,8
100,0.87,13,0.94,6,0.91,9
100,0.9,10,0.94,6,0.94,6
100,0.92,8,0.95,5,0.96,4
100,0.94,6,0.95,5,0.97,3
100,0.93,7,0.97,3,0.92,8
100,0.89,11,0.95,5,0.9,10
100,0.88,12,0.93,7,0.92,8
100,0.94,6,0.92,8,0.94,6
100,0.87,13,0.92,8,0.94,6
100,0.91,9,0.96,4,0.93,7
100,0.87,13,0.95,5,0.93,7
100,0.89,11,0.97,3,0.93,7
100,0.85,15,0.96,4,0.91,9
100,0.89,11,0.95,5,0.95,5
100,0.9,10,0.95,5,0.95,5
100,0.9,10,0.97,3,0.92,8
100,0.91,9,0.95,5,0.92,8
100,0.96,4,0.94,6,0.96,4
100,0.93,7,0.96,4,0.93,7
100,0.84,16,0.96,4,0.89,11
100,0.9,10,0.96,4,0.93,7
200,0.94,12,0.95,10,0.95,10
200,0.875,25,0.94,12,0.91,18
200,0.92,16,0.945,11,0.94,12
200,0.855,29,0.94,12,0.905,19
200,0.86,28,0.945,11,0.92,16
200,0.895,21,0.985,3,0.93,14
200,0.895,21,0.94,12,0.935,13
200,0.925,15,0.94,12,0.94,12
200,0.885,23,0.95,10,0.93,14
200,0.89,22,0.94,12,0.935,13
200,0.87,26,0.945,11,0.915,17
200,0.905,19,0.955,9,0.95,10
200,0.93,14,0.93,14,0.94,12
200,0.925,15,0.96,8,0.935,13
200,0.88,24,0.965,7,0.915,17
200,0.875,25,0.935,13,0.915,17
