budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.7314361904761905,23.0,0.6587866666666666,24.0,0.6587866666666666,24.0
50,0.7433847619047619,25.0,0.5405599999999999,28.0,0.5405599999999999,28.0
50,0.6376457142857141,24.0,0.61324,25.0,0.61324,25.0
50,0.7013780952380952,27.0,0.6116866666666667,25.0,0.6116866666666667,25.0
50,0.6467476190476191,26.0,0.5555866666666667,27.0,0.5555866666666667,27.0
50,0.6772628571428572,26.0,0.4597733333333333,32.0,0.4597733333333333,32.0
50,0.5600790476190476,30.0,0.5446899999999999,31.0,0.5446899999999999,31.0
50,0.6053609523809523,31.0,0.6218,27.0,0.6218,27.0
50,0.5294057142857143,33.0,0.5752633333333333,28.0,0.5752633333333333,28.0
50,0.719302857142857,22.0,0.54087,28.0,0.54087,28.0
50,0.6095323809523809,27.0,0.52308,29.0,0.52308,29.0
50,0.7098047619047618,27.0,0.3871266666666667,36.0,0.3871266666666667,36.0
50,0.6593761904761904,28.0,0.6297566666666666,24.0,0.6297566666666666,24.0
50,0.5871657142857143,29.0,0.6083633333333334,27.0,0.6083633333333334,27.0
50,0.6869095238095237,27.0,0.5319333333333334,29.0,0.5319333333333334,29.0
50,0.7575980952380952,24.0,0.51961,31.0,0.51961,31.0
50,0.5846057142857144,29.0,0.5860733333333333,26.0,0.5860733333333333,26.0
50,0.7010495238095238,25.0,0.37414,37.0,0.37414,37.0
50,0.7185533333333333,30.0,0.5679366666666666,29.0,0.5679366666666666,29.0
50,0.6382095238095238,31.0,0.5959533333333333,28.0,0.5959533333333333,28.0
50,0.7156047619047619,27.0,0.59424,28.0,0.59424,28.0
50,0.7367314285714286,25.0,0.5419666666666667,28.0,0.5419666666666667,28.0
50,0.6337561904761905,31.0,0.5369733333333333,32.0,0.5369733333333333,32.0
50,0.5941342857142857,32.0,0.4854000000000001,32.0,0.4854000000000001,32.0
50,0.4957533333333334,26.0,0.6143733333333334,27.0,0.6143733333333334,27.0
50,0.6604895238095239,30.0,0.6618066666666667,24.0,0.6618066666666667,24.0
50,0.5812542857142857,32.0,0.4807933333333333,33.0,0.4807933333333333,33.0
50,0.7701466666666666,25.0,0.46133,31.0,0.46133,31.0
