budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.7022230158730158,26.0,0.6031474603174604,21.0,0.6031474603174604,21.0
50,0.6805142857142857,24.0,0.5905453968253969,20.0,0.5905453968253969,20.0
50,0.7150476190476192,25.0,0.5256495238095238,24.0,0.5256495238095238,24.0
50,0.6713214285714286,27.0,0.4160007936507937,28.0,0.4160007936507937,28.0
50,0.6931809523809525,26.0,0.498392380952381,26.0,0.498392380952381,26.0
50,0.6317087301587302,28.0,0.5076914285714286,24.0,0.5076914285714286,24.0
50,0.6710992063492063,25.0,0.7507492063492064,15.0,0.7507492063492064,15.0
50,0.6995023809523809,26.0,0.5743638095238095,23.0,0.5743638095238095,23.0
50,0.6207436507936508,26.0,0.5438807936507937,23.0,0.5438807936507937,23.0
50,0.7359333333333333,22.0,0.5289187301587301,21.0,0.5289187301587301,21.0
50,0.7528396825396826,22.0,0.6600273015873016,20.0,0.6600273015873016,20.0
50,0.6714595238095238,27.0,0.6249161904761904,21.0,0.6249161904761904,21.0
50,0.622652380952381,27.0,0.6452546031746031,19.0,0.6452546031746031,19.0
50,0.6192285714285715,29.0,0.5296812698412698,24.0,0.5296812698412698,24.0
50,0.6382619047619047,29.0,0.6474736507936508,19.0,0.6474736507936508,19.0
50,0.7420642857142857,23.0,0.7015955555555555,17.0,0.7015955555555555,17.0
50,0.7556285714285714,24.0,0.5024495238095238,26.0,0.5024495238095238,26.0
50,0.6476579365079365,27.0,0.6358495238095239,18.0,0.6358495238095239,18.0
50,0.6097976190476191,24.0,0.6467042857142857,20.0,0.6467042857142857,20.0
50,0.7240436507936507,19.0,0.7773212698412698,14.0,0.7773212698412698,14.0
50,0.5809492063492063,29.0,0.5240273015873016,25.0,0.5240273015873016,25.0
50,0.6328158730158729,26.0,0.5458612698412699,22.0,0.5458612698412699,22.0
50,0.7286642857142858,26.0,0.6427879365079365,19.0,0.6427879365079365,19.0
50,0.6490523809523809,26.0,0.5008546031746032,25.0,0.5008546031746032,25.0
50,0.5714896825396826,29.0,0.6850442857142858,18.0,0.6850442857142858,18.0
50,0.7467325396825397,22.0,0.5927714285714285,23.0,0.5927714285714285,23.0
50,0.6952714285714285,25.0,0.5219961904761905,24.0,0.5219961904761905,24.0
50,0.7159571428571428,25.0,0.5414985714285714,23.0,0.5414985714285714,23.0
50,0.6285023809523809,30.0,0.6401987301587302,18.0,0.6401987301587302,18.0
50,0.6644063492063492,25.0,0.6410750793650793,18.0,0.6410750793650793,18.0
100,0.6717550865800865,55.0,0.5401482539682539,45.0,0.5401482539682539,45.0
100,0.6480005411255412,54.0,0.5882355555555556,44.0,0.5882355555555556,44.0
100,0.7409746753246753,46.0,0.5804292063492065,45.0,0.5804292063492065,45.0
100,0.7734165584415584,45.0,0.6004025396825396,42.0,0.6004025396825396,42.0
100,0.608087987012987,59.0,0.6875180952380953,33.0,0.6875180952380953,33.0
100,0.6629487012987013,52.0,0.575111746031746,44.0,0.575111746031746,44.0
100,0.7136120129870129,47.0,0.6183450793650793,40.0,0.6183450793650793,40.0
100,0.547734632034632,63.0,0.5947457142857142,43.0,0.5947457142857142,43.0
100,0.6378703463203463,55.0,0.562167619047619,45.0,0.562167619047619,45.0
100,0.7006426406926407,55.0,0.6337739682539683,38.0,0.6337739682539683,38.0
100,0.6320324675324676,56.0,0.5845368253968253,43.0,0.5845368253968253,43.0
100,0.5952588744588745,58.0,0.6533495238095238,36.0,0.6533495238095238,36.0
100,0.6363027056277055,54.0,0.5972060317460317,40.0,0.5972060317460317,40.0
100,0.6711300865800865,54.0,0.5843387301587302,43.0,0.5843387301587302,43.0
100,0.6342772727272727,55.0,0.6061320634920635,39.0,0.6061320634920635,39.0
100,0.6138143939393939,55.0,0.620168253968254,39.0,0.620168253968254,39.0
100,0.7385586580086579,45.0,0.6010215873015873,40.0,0.6010215873015873,40.0
100,0.6929153679653679,50.0,0.6025184126984127,39.0,0.6025184126984127,39.0
100,0.6826386363636364,54.0,0.5034492063492063,49.0,0.5034492063492063,49.0
100,0.6175658008658008,59.0,0.5390663492063492,45.0,0.5390663492063492,45.0
100,0.6744967532467532,56.0,0.5389342857142857,45.0,0.5389342857142857,45.0
100,0.6602550865800866,52.0,0.6763307936507936,34.0,0.6763307936507936,34.0
100,0.6954451298701299,52.0,0.5192755555555555,50.0,0.5192755555555555,50.0
100,0.6909179653679653,49.0,0.6290828571428572,38.0,0.6290828571428572,38.0
100,0.6783191558441558,49.0,0.6086434920634921,41.0,0.6086434920634921,41.0
100,0.6477346320346321,56.0,0.6005247619047619,43.0,0.6005247619047619,43.0
100,0.6891322510822511,51.0,0.5988142857142857,42.0,0.5988142857142857,42.0
