budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.7337434257285005,14.0,0.7892093698175788,14.0,0.5677904761904762,24.0
50,0.5532032693674485,21.0,0.7168706467661692,15.0,0.6941972992181948,16.0
50,0.7674584221748401,12.0,0.6367089552238806,17.0,0.6920653873489695,15.0
50,0.7236901208244492,14.0,0.7561413764510779,13.0,0.681147974413646,17.0
50,0.6598324093816632,17.0,0.7419191542288557,15.0,0.721272210376688,16.0
50,0.6219921819474059,19.0,0.7035381426202322,17.0,0.6515175550817343,19.0
50,0.7715259417199716,12.0,0.8208225538971807,11.0,0.6652579957356077,19.0
50,0.748776830135039,13.0,0.7206828358208955,15.0,0.6147118692253021,19.0
50,0.6902416488983654,15.0,0.8019394693200663,11.0,0.6257481165600569,17.0
50,0.687467945984364,16.0,0.8643308457711443,8.0,0.686883866382374,17.0
50,0.6244137882018479,17.0,0.7628374792703151,14.0,0.7895152807391613,13.0
50,0.7708018479033405,12.0,0.8201148424543947,11.0,0.6456017057569297,17.0
50,0.6918345415778251,17.0,0.7111372305140962,18.0,0.6423525230987918,19.0
50,0.7026746268656717,16.0,0.8185389718076286,11.0,0.6711963041933191,19.0
50,0.8123661691542289,10.0,0.8212267827529022,13.0,0.6513543710021321,18.0
50,0.8236972281449894,10.0,0.8341815920398009,10.0,0.6699738450604122,17.0
50,0.5690875621890548,22.0,0.8169087893864013,12.0,0.6949225302061123,17.0
50,0.6962339729921819,16.0,0.7728909618573798,14.0,0.7310291400142146,14.0
50,0.7518466240227435,13.0,0.8476281094527364,11.0,0.5914979388770434,22.0
50,0.6731323383084578,18.0,0.8155878938640133,12.0,0.6135309168443497,21.0
50,0.7568780383795309,12.0,0.8491774461028192,9.0,0.7084901208244492,16.0
50,0.6652311300639661,17.0,0.8476086235489221,12.0,0.5657882018479033,21.0
50,0.6239361762615494,18.0,0.746778192371476,14.0,0.659134328358209,17.0
50,0.7251599147121535,15.0,0.8058503316749586,11.0,0.7232048329779673,16.0
50,0.8196348258706467,10.0,0.849740464344942,10.0,0.5849108742004264,23.0
50,0.6369289267945986,18.0,0.7639096185737977,13.0,0.6694595593461266,18.0
50,0.6637735607675906,19.0,0.8088909618573797,10.0,0.6258092395167023,20.0
50,0.734221037668799,13.0,0.6965186567164179,18.0,0.7002564321250888,17.0
50,0.7527327647476901,14.0,0.7610634328358209,11.0,0.6543047619047621,19.0
50,0.7907270788912579,9.0,0.7803739635157545,14.0,0.651633262260128,17.0
100,0.5675613510867242,42.0,0.7424333333333334,27.0,0.7015982286370346,29.0
100,0.7311751353124487,29.0,0.80280228026534,24.0,0.6946127603739545,32.0
100,0.7517405380688963,26.0,0.8528220149253731,18.0,0.6307663113006396,39.0
100,0.7362490822610226,26.0,0.8231184494195688,23.0,0.6805156415723579,33.0
100,0.7684716407970139,24.0,0.7345882669983417,30.0,0.6725526652452026,34.0
100,0.6707615419406464,31.0,0.7626345771144278,28.0,0.5894703187359904,44.0
100,0.7514211400539759,26.0,0.8120252487562192,24.0,0.6622520802580504,36.0
100,0.7752927172330157,22.0,0.8246156301824212,20.0,0.5893976600513914,41.0
100,0.740475905189338,26.0,0.8002614427860697,26.0,0.7531923240938165,27.0
100,0.6919081157648321,30.0,0.7373179104477612,32.0,0.6480894319610737,36.0
100,0.6892653207489028,30.0,0.7567199004975125,28.0,0.6320036192663059,40.0
100,0.6948191231653917,32.0,0.8065299751243781,24.0,0.6597731015253403,37.0
100,0.7137565230789111,30.0,0.8280492537313433,22.0,0.6397814553605599,37.0
100,0.737593519912923,26.0,0.7503618159203981,26.0,0.5725021814006888,45.0
100,0.7473448293000533,27.0,0.7831890132669983,22.0,0.6551985676015527,36.0
100,0.6998716398029831,30.0,0.8185655472636816,23.0,0.6930124979498113,32.0
100,0.780688194392672,23.0,0.8459864427860696,21.0,0.734084620851785,28.0
100,0.6843031843778112,31.0,0.7494269900497512,30.0,0.6014415942266689,40.0
100,0.7249106366270546,30.0,0.8020187396351576,24.0,0.719195331037122,29.0
