budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.902498347107438,12.0,0.8855895316804407,11.0,0.9367272727272729,7.0
50,0.8894242424242425,14.0,0.9682561983471074,9.0,0.9506776859504132,6.0
50,0.923413223140496,11.0,0.9279449035812672,16.0,0.9269917355371899,8.0
50,0.906681818181818,12.0,0.9567107438016528,10.0,0.9182066115702479,9.0
50,0.9199702479338844,10.0,0.8946749311294766,15.0,0.9448140495867768,6.0
50,0.8805465564738292,14.0,0.9250743801652892,10.0,0.9060165289256198,9.0
50,0.928457300275482,8.0,0.9506997245179064,12.0,0.9110537190082644,8.0
50,0.9189247933884296,11.0,0.930214876033058,9.0,0.9109793388429752,9.0
50,0.8922355371900826,13.0,0.9638898071625344,9.0,0.9323570247933884,6.0
50,0.8987661157024793,12.0,0.8611294765840221,15.0,0.9426446280991736,6.0
50,0.9092388429752066,12.0,0.9433195592286502,12.0,0.9162735537190084,8.0
50,0.884899173553719,14.0,0.95800826446281,11.0,0.9428471074380164,6.0
50,0.8713626827717736,12.0,0.937038567493113,13.0,0.9310578512396694,7.0
50,0.9367272727272729,8.0,0.9457741046831956,11.0,0.94048347107438,6.0
50,0.9183705234159779,10.0,0.9570110192837464,11.0,0.9722479338842976,3.0
50,0.8711685950413224,16.0,0.945435261707989,14.0,0.9457644628099172,5.0
50,0.8847750794659885,9.0,0.9655509641873278,8.0,0.9294181818181818,7.0
50,0.9383719008264464,10.0,0.9059146005509642,14.0,0.9152107438016528,9.0
50,0.9020734265734266,9.0,0.946870523415978,13.0,0.9544793388429752,4.0
50,0.9240479338842976,8.0,0.9548071625344352,11.0,0.9700867768595042,3.0
50,0.9003250688705234,13.0,0.9426584022038568,13.0,0.9165495867768596,9.0
50,0.9311685950413224,9.0,0.9705482093663912,7.0,0.9215876033057852,7.0
50,0.8856019283746557,15.0,0.9068815426997244,14.0,0.9781652892561984,2.0
50,0.9092429752066116,11.0,0.9534517906336089,11.0,0.9055041322314048,9.0
50,0.8918374655647383,14.0,0.9590523415977962,11.0,0.9297363636363636,7.0
50,0.8673701207883027,13.0,0.9129559228650138,13.0,0.925918181818182,7.0
50,0.9109074380165291,11.0,0.946396694214876,12.0,0.9437892561983472,6.0
50,0.908309917355372,13.0,0.9040247933884298,14.0,0.9192314049586776,8.0
50,0.916396694214876,11.0,0.9597906336088154,10.0,0.9213223140495868,8.0
50,0.8995570247933884,13.0,0.9678181818181818,8.0,0.9083264462809916,7.0
100,0.8791660914842733,28.0,0.9451454545454544,23.0,0.9354358699152088,13.0
100,0.9252731208185754,20.0,0.9648341597796144,18.0,0.9196860684769776,17.0
100,0.945775383707202,16.0,0.939701569607278,21.0,0.9253840023612749,16.0
100,0.8879422622831714,23.0,0.9461619834710744,24.0,0.9147100944510036,17.0
100,0.9020965171192444,21.0,0.9503030303030304,21.0,0.9247585005903188,15.0
100,0.909052439984258,22.0,0.9238519828304184,26.0,0.9372396694214876,14.0
100,0.9238800669027942,20.0,0.9440585944006664,18.0,0.930090318772137,15.0
100,0.9167951593860684,20.0,0.9361351784227048,22.0,0.9210534238488784,17.0
100,0.9372138921684376,16.0,0.96740826446281,17.0,0.9529703069657616,10.0
100,0.8686153089334907,29.0,0.9526942148760329,21.0,0.9513355962219598,11.0
100,0.9096183740501922,17.0,0.9548683195592288,22.0,0.9425017709563164,12.0
100,0.912646792601338,22.0,0.9627531680440772,18.0,0.9560569657615112,10.0
100,0.9238528138528138,18.0,0.9515322314049588,23.0,0.9056628689492324,19.0
100,0.8769532815669179,26.0,0.9327583189185726,23.0,0.9193920092304391,15.0
100,0.9184289649744196,23.0,0.9441366391184574,22.0,0.9330289435082824,12.0
100,0.8954190279417552,25.0,0.9380870523415978,26.0,0.9422250295159386,13.0
100,0.9019324085005904,25.0,0.9405698891665064,21.0,0.9517898465171192,11.0
100,0.9224840613931524,17.0,0.9016753155230957,30.0,0.9288152302243212,14.0
100,0.9026669618260528,24.0,0.9613234159779614,20.0,0.9374096812278632,13.0
100,0.9024089925226288,26.0,0.936856390543917,21.0,0.960206611570248,9.0
100,0.9290968122786304,19.0,0.9285803574860656,27.0,0.8971273317591499,20.0
100,0.8608357097448007,28.0,0.9358365558331732,18.0,0.9150564935064937,17.0
100,0.9202716450216449,21.0,0.962813223140496,16.0,0.9475619834710745,13.0
100,0.9133284140102322,22.0,0.9385610737395093,21.0,0.9469790436835892,11.0
100,0.8881312626767173,24.0,0.9354641040425395,23.0,0.9379814049586775,14.0
100,0.8509013335149699,30.0,0.9642699724517908,19.0,0.9245922077922076,15.0
