budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.7727504044751291,35.0,0.7039474878407843,32.0,0.7039474878407843,32.0
50,0.7382297311553804,37.0,0.1679098092438318,41.0,0.1679098092438318,41.0
50,0.7767664181533587,35.0,0.6042590759398463,40.0,0.6042590759398463,40.0
50,0.8042918155552722,37.0,0.449047607964724,34.0,0.449047607964724,34.0
50,0.7308319558263193,36.0,0.6384107130565477,32.0,0.6384107130565477,32.0
50,0.7873204662777904,32.0,0.3724995055273868,33.0,0.3724995055273868,33.0
50,0.7516668165029206,40.0,0.6537194563850037,32.0,0.6537194563850037,32.0
50,0.7028631674020247,34.0,0.6298968252281167,38.0,0.6298968252281167,38.0
50,0.8075847847661017,37.0,0.6063074887264135,35.0,0.6063074887264135,35.0
50,0.780654280271578,34.0,0.676480928375385,35.0,0.676480928375385,35.0
50,0.6661211622079624,38.0,0.6793049499069967,32.0,0.6793049499069967,32.0
50,0.7117553604488664,39.0,0.6434759590178847,33.0,0.6434759590178847,33.0
50,0.6988400186847057,35.0,0.5074891595614169,32.0,0.5074891595614169,32.0
50,0.7803774028445967,37.0,0.5915076636681709,38.0,0.5915076636681709,38.0
50,0.7808995985786996,34.0,0.5574829357140729,39.0,0.5574829357140729,39.0
50,0.8040759351296998,38.0,0.5226557045799418,37.0,0.5226557045799418,37.0
50,0.6810988349193288,39.0,0.6198522653771135,37.0,0.6198522653771135,37.0
50,0.7855288221091623,38.0,0.6847333724686218,36.0,0.6847333724686218,36.0
50,0.4831968783789658,36.0,0.7053667843007511,31.0,0.7053667843007511,31.0
50,0.7939940672145572,37.0,0.6097700476109746,34.0,0.6097700476109746,34.0
50,0.7544445930333752,38.0,0.6883064591541592,34.0,0.6883064591541592,34.0
50,0.8431981801072488,37.0,0.7033685125158866,29.0,0.7033685125158866,29.0
50,0.7405040376669825,35.0,0.6594948220171815,33.0,0.6594948220171815,33.0
50,0.7886091929339231,33.0,0.6914734291089714,32.0,0.6914734291089714,32.0
50,0.6443466271497548,40.0,0.5890279295973164,40.0,0.5890279295973164,40.0
50,0.8039486852647807,36.0,0.5419506315454745,35.0,0.5419506315454745,35.0
50,0.589795158037395,37.0,0.668677423124335,30.0,0.668677423124335,30.0
50,0.7270966116786616,35.0,0.5667979015373048,35.0,0.5667979015373048,35.0
50,0.6260968055594947,35.0,0.4900455381583694,37.0,0.4900455381583694,37.0
50,0.7664349271295804,33.0,0.6739708239510809,35.0,0.6739708239510809,35.0
100,0.6244240523029909,66.0,0.5769786875991412,74.0,0.5769786875991412,74.0
100,0.5928574086603486,78.0,0.5647161325005277,71.0,0.5647161325005277,71.0
100,0.5302872581834333,70.0,0.6187581234384752,73.0,0.6187581234384752,73.0
100,0.7603064526093893,72.0,0.5719155145169335,80.0,0.5719155145169335,80.0
100,0.479279025696275,67.0,0.5518018407843481,73.0,0.5518018407843481,73.0
100,0.7801505369730269,65.0,0.6041905149300513,73.0,0.6041905149300513,73.0
100,0.7017490207252468,72.0,0.6451232424707231,67.0,0.6451232424707231,67.0
100,0.6628909859914902,71.0,0.4860698321293231,74.0,0.4860698321293231,74.0
100,0.4079132207598492,78.0,0.6483840794296416,65.0,0.6483840794296416,65.0
100,0.5868838452444649,81.0,0.6223893829095133,72.0,0.6223893829095133,72.0
100,0.5991990394535568,73.0,0.5783449285484917,78.0,0.5783449285484917,78.0
100,0.7475139962956423,67.0,0.5838101952142625,70.0,0.5838101952142625,70.0
100,0.8116422200524109,76.0,0.6328824287340828,71.0,0.6328824287340828,71.0
100,0.4933486685251367,77.0,0.6621614531903177,69.0,0.6621614531903177,69.0
100,0.7839088202007973,76.0,0.6726718003286545,72.0,0.6726718003286545,72.0
100,0.7629158615924836,75.0,0.5546724187690523,73.0,0.5546724187690523,73.0
100,0.7381949263450789,67.0,0.4980091619464894,68.0,0.4980091619464894,68.0
100,0.8028252148173911,72.0,0.5852866533626663,71.0,0.5852866533626663,71.0
100,0.33990931772313704,67.0,0.565582798186965,71.0,0.565582798186965,71.0
100,0.7539719238696729,74.0,0.5630419121736497,68.0,0.5630419121736497,68.0
100,0.6764966171634665,65.0,0.7059653873992595,68.0,0.7059653873992595,68.0
100,0.7842844514170866,75.0,0.6524132060279261,69.0,0.6524132060279261,69.0
100,0.7365318580248186,73.0,0.5938439745031308,73.0,0.5938439745031308,73.0
100,0.7633448529032307,71.0,0.6191481786572167,68.0,0.6191481786572167,68.0
100,0.6217631398924366,75.0,0.5662926944837383,71.0,0.5662926944837383,71.0
100,0.7536373246488508,77.0,0.6124373710738664,70.0,0.6124373710738664,70.0
100,0.7337267839008079,75.0,0.5365627342308614,74.0,0.5365627342308614,74.0
100,0.3772059123392071,67.0,0.5600861859635359,69.0,0.5600861859635359,69.0
100,0.7305558793191411,79.0,0.5862459001945222,72.0,0.5862459001945222,72.0
100,0.773898073629009,68.0,0.4913795375447593,72.0,0.4913795375447593,72.0
200,0.7473620974643389,144.0,0.5590774009939801,145.0,0.5590774009939801,145.0
200,0.7519275953874249,149.0,0.6127979596233764,146.0,0.6127979596233764,146.0
200,0.7264738693360558,148.0,0.39138156337352026,145.0,0.39138156337352026,145.0
200,0.7522055560722672,148.0,0.583095749020184,142.0,0.583095749020184,142.0
200,0.7864742990396576,146.0,0.5694065144810694,138.0,0.5694065144810694,138.0
