budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.6374194306941486,31.0,0.5693445798357106,23.0,0.5693445798357106,23.0
50,0.6926164151708705,27.0,0.5906218517487971,22.0,0.5906218517487971,22.0
50,0.5767588477399537,33.0,0.4801577910394054,27.0,0.4801577910394054,27.0
50,0.6997984641104481,25.0,0.6686396838200713,18.0,0.6686396838200713,18.0
50,0.6871661759252317,25.0,0.3975339660057648,32.0,0.3975339660057648,32.0
50,0.7085865953841235,25.0,0.6030131602872433,21.0,0.6030131602872433,21.0
50,0.6227459030114018,29.0,0.5895365495082365,22.0,0.5895365495082365,22.0
50,0.7060930707356798,23.0,0.5731414265061772,23.0,0.5731414265061772,23.0
50,0.6926495558287498,25.0,0.6391800400225072,19.0,0.6391800400225072,19.0
50,0.7275677422138129,28.0,0.732220428736417,14.0,0.732220428736417,14.0
50,0.6480239421998026,29.0,0.6275995017051397,20.0,0.6275995017051397,20.0
50,0.6936374699867754,27.0,0.6346201444588516,20.0,0.6346201444588516,20.0
50,0.6258431038538662,23.0,0.4857987783232773,27.0,0.4857987783232773,27.0
50,0.7112271462079014,21.0,0.5937275052429051,22.0,0.5937275052429051,22.0
50,0.6067738227274717,31.0,0.511557459729137,26.0,0.511557459729137,26.0
50,0.6644134588476043,26.0,0.7050729181703664,16.0,0.7050729181703664,16.0
50,0.6566919333003391,24.0,0.5231633153269694,26.0,0.5231633153269694,26.0
50,0.5726830796262394,31.0,0.6234676953569966,21.0,0.6234676953569966,21.0
50,0.6742281143208988,29.0,0.6641293753474367,18.0,0.6641293753474367,18.0
50,0.6879915356007844,25.0,0.5437754782764812,25.0,0.5437754782764812,25.0
50,0.5981992949822166,30.0,0.5720003417905741,23.0,0.5720003417905741,23.0
50,0.6434397328653712,33.0,0.6480808197119553,18.0,0.6480808197119553,18.0
50,0.6100715904711935,32.0,0.652371866425702,19.0,0.652371866425702,19.0
50,0.7078465365496659,22.0,0.5082261813372999,27.0,0.5082261813372999,27.0
50,0.6859662521498773,28.0,0.593072669171996,22.0,0.593072669171996,22.0
50,0.6698756394078427,24.0,0.6136315250277682,21.0,0.6136315250277682,21.0
50,0.6375643418188657,33.0,0.5990643362908361,22.0,0.5990643362908361,22.0
50,0.74613334708315,24.0,0.4420549654527728,30.0,0.4420549654527728,30.0
50,0.6335706768047122,30.0,0.5698387871313876,23.0,0.5698387871313876,23.0
50,0.7493003746866043,22.0,0.7204957158500214,15.0,0.7204957158500214,15.0
100,0.7178571395889767,48.0,0.5668135781402108,46.0,0.5668135781402108,46.0
100,0.6643251076538994,59.0,0.5480675815440603,48.0,0.5480675815440603,48.0
100,0.6767237946105683,51.0,0.6508166325128834,37.0,0.6508166325128834,37.0
100,0.6546907662057451,52.0,0.5852107624989584,44.0,0.5852107624989584,44.0
100,0.6867486084600392,52.0,0.6589402149033132,37.0,0.6589402149033132,37.0
100,0.6761900009914169,51.0,0.5752754113824298,47.0,0.5752754113824298,47.0
100,0.631643207899681,56.0,0.5942787609171847,44.0,0.5942787609171847,44.0
100,0.6247488631146149,56.0,0.6005279416007987,44.0,0.6005279416007987,44.0
100,0.6695945785010424,60.0,0.5726502019613877,47.0,0.5726502019613877,47.0
100,0.6335953841808191,55.0,0.6316603679057853,38.0,0.6316603679057853,38.0
100,0.6848155144816992,50.0,0.6304104096788339,39.0,0.6304104096788339,39.0
100,0.7086764095740423,47.0,0.5819734762856124,45.0,0.5819734762856124,45.0
100,0.7070344702300011,51.0,0.6324396631491129,40.0,0.6324396631491129,40.0
100,0.6360512097368185,61.0,0.5078442415716975,50.0,0.5078442415716975,50.0
100,0.6254200671199869,60.0,0.5852985243784585,45.0,0.5852985243784585,45.0
100,0.6615026225152609,51.0,0.5944177350141837,44.0,0.5944177350141837,44.0
100,0.6848943845704305,49.0,0.6522930180011373,38.0,0.6522930180011373,38.0
100,0.6893688221351398,52.0,0.6439862694130289,39.0,0.6439862694130289,39.0
100,0.7251029700587048,48.0,0.5794784205983456,46.0,0.5794784205983456,46.0
100,0.6558568129466824,58.0,0.5704906629435802,47.0,0.5704906629435802,47.0
100,0.6222414962943821,55.0,0.5803471503505685,45.0,0.5803471503505685,45.0
100,0.6958039027935508,51.0,0.589810968921214,44.0,0.589810968921214,44.0
100,0.6611432088594612,56.0,0.5595566868614072,48.0,0.5595566868614072,48.0
100,0.6633316090370002,58.0,0.629655967105718,40.0,0.629655967105718,40.0
100,0.650026556964711,56.0,0.5002443249302218,53.0,0.5002443249302218,53.0
100,0.6583907083737384,56.0,0.5298910738843006,51.0,0.5298910738843006,51.0
100,0.7150068163096527,50.0,0.5898003327912413,44.0,0.5898003327912413,44.0
100,0.6753337374439659,54.0,0.6054199088109775,42.0,0.6054199088109775,42.0
100,0.6665932640224124,54.0,0.5655828103359064,47.0,0.5655828103359064,47.0
100,0.6782728047827569,53.0,0.5815310261967568,45.0,0.5815310261967568,45.0
200,0.7048362508878732,108.0,0.5581320633545523,97.0,0.5581320633545523,97.0
200,0.6440893780061385,116.0,0.5513350689741541,96.0,0.5513350689741541,96.0
200,0.6464636396737671,114.0,0.5730813563763325,92.0,0.5730813563763325,92.0
200,0.6415350645661051,107.0,0.5905722394644395,88.0,0.5905722394644395,88.0
200,0.6667035599887985,101.0,0.5546573361089808,95.0,0.5546573361089808,95.0
200,0.6055071164430565,122.0,0.5676298003012783,93.0,0.5676298003012783,93.0
200,0.6658324690037692,99.0,0.5574067958713154,95.0,0.5574067958713154,95.0
200,0.6896295578612079,99.0,0.5955604786560025,87.0,0.5955604786560025,87.0
200,0.6010512322215092,112.0,0.5692120157571512,93.0,0.5692120157571512,93.0
200,0.6358587244795709,112.0,0.5458522173555628,98.0,0.5458522173555628,98.0
200,0.6815884431458384,103.0,0.6013922839241389,87.0,0.6013922839241389,87.0
200,0.6919997736720468,99.0,0.5408626263857117,98.0,0.5408626263857117,98.0
200,0.68859662361091,105.0,0.6044588389171468,87.0,0.6044588389171468,87.0
200,0.7260102350688046,103.0,0.5858814265913436,89.0,0.5858814265913436,89.0
200,0.6661624545733179,113.0,0.6429253438309002,77.0,0.6429253438309002,77.0
200,0.6798027213709197,104.0,0.5710062873122597,94.0,0.5710062873122597,94.0
200,0.6357942824174405,111.0,0.5729557243157615,91.0,0.5729557243157615,91.0
200,0.5548309393481108,127.0,0.5879962909866987,89.0,0.5879962909866987,89.0
200,0.6476124716786089,109.0,0.5583730825832592,96.0,0.5583730825832592,96.0
200,0.6673265999567897,114.0,0.5474312954793363,100.0,0.5474312954793363,100.0
200,0.6660102707721127,100.0,0.543328809617827,97.0,0.543328809617827,97.0
200,0.6723700231851948,98.0,0.5935128690174454,85.0,0.5935128690174454,85.0
200,0.6427219344776178,112.0,0.5076123409141748,107.0,0.5076123409141748,107.0
200,0.6362170385617028,110.0,0.5482710791599839,98.0,0.5482710791599839,98.0
200,0.6401246442117887,111.0,0.5644709305620472,94.0,0.5644709305620472,94.0
200,0.6448920179004529,113.0,0.5853566412546825,88.0,0.5853566412546825,88.0
200,0.6308224256480286,122.0,0.6186785236075925,84.0,0.6186785236075925,84.0
200,0.7119822802374336,96.0,0.6438067411475489,76.0,0.6438067411475489,76.0
200,0.6712138120403801,105.0,0.5615369059905944,94.0,0.5615369059905944,94.0
200,0.6560684901560898,114.0,0.6131689413597212,83.0,0.6131689413597212,83.0
400,0.6561086495412489,221.0,0.5864607512750737,175.0,0.5864607512750737,175.0
400,0.658065242600803,216.0,0.5734332620673264,181.0,0.5734332620673264,181.0
400,0.6501198704688782,225.0,0.5626157306240384,186.0,0.5626157306240384,186.0
400,0.6777146375166132,207.0,0.5885496034220898,180.0,0.5885496034220898,180.0
400,0.6886883916549803,200.0,0.5715699674889603,184.0,0.5715699674889603,184.0
400,0.6456500480282181,216.0,0.5655866345960017,188.0,0.5655866345960017,188.0
400,0.6732579461242787,221.0,0.5404463002710842,198.0,0.5404463002710842,198.0
400,0.6680996282922311,202.0,0.5341964052140245,201.0,0.5341964052140245,201.0
400,0.6351131554340901,241.0,0.6077126586093571,171.0,0.6077126586093571,171.0
400,0.6467380466757371,223.0,0.5562956948889471,192.0,0.5562956948889471,192.0
400,0.6894825072083097,211.0,0.5947320956516764,174.0,0.5947320956516764,174.0
400,0.6456618973557415,220.0,0.5726080032501599,184.0,0.5726080032501599,184.0
400,0.6699841903262664,214.0,0.578831998602183,180.0,0.578831998602183,180.0
400,0.6558696710424274,217.0,0.5711340324549601,185.0,0.5711340324549601,185.0
400,0.6463951819326266,223.0,0.5882683293921362,177.0,0.5882683293921362,177.0
400,0.6782691877096898,209.0,0.5992544595817608,174.0,0.5992544595817608,174.0
400,0.6874112376554347,198.0,0.5628345282772611,188.0,0.5628345282772611,188.0
400,0.6770116439802536,202.0,0.5221876226629256,205.0,0.5221876226629256,205.0
400,0.6473899019212557,222.0,0.5729682236201601,184.0,0.5729682236201601,184.0
400,0.6844127851864737,209.0,0.5907861833149085,177.0,0.5907861833149085,177.0
400,0.6596973876601455,221.0,0.5687368527908757,187.0,0.5687368527908757,187.0
400,0.6830689728393289,209.0,0.5623045856663638,188.0,0.5623045856663638,188.0
400,0.6516199747094241,219.0,0.5564382276177761,191.0,0.5564382276177761,191.0
400,0.6937228696213339,212.0,0.5648530205856593,187.0,0.5648530205856593,187.0
400,0.681732889154286,208.0,0.5952878429674419,176.0,0.5952878429674419,176.0
400,0.6460193995496597,224.0,0.5612535712420192,191.0,0.5612535712420192,191.0
400,0.6291508359869098,217.0,0.572389893561813,181.0,0.572389893561813,181.0
400,0.6833296104892056,205.0,0.5971751281437201,174.0,0.5971751281437201,174.0
400,0.6715416213745125,215.0,0.5839314864425216,179.0,0.5839314864425216,179.0
400,0.6357794037101379,226.0,0.5266988009837801,206.0,0.5266988009837801,206.0
800,0.6619240187580189,429.0,0.580141340050481,365.0,0.580141340050481,365.0
800,0.6671848034937136,427.0,0.6011172309398238,343.0,0.6011172309398238,343.0
800,0.67883545671288,419.0,0.5569906755444636,381.0,0.5569906755444636,381.0
800,0.6526704718144973,442.0,0.5871435728512528,357.0,0.5871435728512528,357.0
800,0.6439540480839571,449.0,0.5859995328113583,357.0,0.5859995328113583,357.0
800,0.6688429266065146,420.0,0.5705085866761945,370.0,0.5705085866761945,370.0
800,0.6627892971538349,423.0,0.5678312733519746,373.0,0.5678312733519746,373.0
800,0.6622268278022385,438.0,0.580948704897777,361.0,0.580948704897777,361.0
800,0.6770518861810405,416.0,0.5436315856609795,392.0,0.5436315856609795,392.0
800,0.6644072599911526,425.0,0.5796494679613577,362.0,0.5796494679613577,362.0
800,0.6712953081401909,424.0,0.5763102347804687,364.0,0.5763102347804687,364.0
800,0.6758746678036285,415.0,0.5733010506356526,366.0,0.5733010506356526,366.0
800,0.6655855537451275,410.0,0.577905089789432,363.0,0.577905089789432,363.0
800,0.6598208219556253,452.0,0.5458598452481079,388.0,0.5458598452481079,388.0
800,0.6557545749605791,435.0,0.5453363058993639,393.0,0.5453363058993639,393.0
800,0.6665461727136919,451.0,0.578008178451689,365.0,0.578008178451689,365.0
800,0.6502679631757976,438.0,0.5708060759293654,366.0,0.5708060759293654,366.0
800,0.6585843204046287,442.0,0.5605436282054579,377.0,0.5605436282054579,377.0
800,0.6681093242250002,444.0,0.5848217280420869,355.0,0.5848217280420869,355.0
800,0.6606779743958164,436.0,0.5575925642096371,382.0,0.5575925642096371,382.0
800,0.6754481594120931,432.0,0.6002215690981597,346.0,0.6002215690981597,346.0
800,0.6642984488963993,424.0,0.5439593320819095,390.0,0.5439593320819095,390.0
800,0.6644856081056775,410.0,0.5558498337368474,381.0,0.5558498337368474,381.0
800,0.6816361598712142,436.0,0.5667284862740734,372.0,0.5667284862740734,372.0
800,0.6736077402055383,423.0,0.5560245582025694,377.0,0.5560245582025694,377.0
800,0.6580589579983572,437.0,0.5677218315640973,376.0,0.5677218315640973,376.0
800,0.6577249935069093,440.0,0.5728280984426749,369.0,0.5728280984426749,369.0
800,0.6644487154777896,432.0,0.5682258370141338,374.0,0.5682258370141338,374.0
800,0.6353650350114795,456.0,0.5848720145914822,356.0,0.5848720145914822,356.0
800,0.6887014153504314,414.0,0.5962336944980773,348.0,0.5962336944980773,348.0
