budget,accuracy_G,failures_G,accuracy_H,failures_H,accuracy_I,failures_I
50,0.7642574121383843,36.0,0.6125857048375629,22.0,0.6125857048375629,22.0
50,0.4609198566950407,37.0,0.6886511363833567,18.0,0.6886511363833567,18.0
50,0.5723534623078386,41.0,0.3421975401875165,33.0,0.3421975401875165,33.0
50,0.7147453657824466,39.0,0.4693094554655546,28.0,0.4693094554655546,28.0
50,0.72900600547088,39.0,0.6435988218821759,20.0,0.6435988218821759,20.0
50,0.7291332274664473,33.0,0.4960374302261612,27.0,0.4960374302261612,27.0
50,0.7618767349982825,36.0,0.6357598163504312,21.0,0.6357598163504312,21.0
50,0.6970150547913012,36.0,0.6507331793873085,20.0,0.6507331793873085,20.0
50,0.7154681125858031,32.0,0.5845733746199719,24.0,0.5845733746199719,24.0
50,0.6476260415429884,38.0,0.5369741696832674,25.0,0.5369741696832674,25.0
50,0.7989224072503324,29.0,0.5045624279546583,28.0,0.5045624279546583,28.0
50,0.7070129451292135,37.0,0.6120206704967173,21.0,0.6120206704967173,21.0
50,0.6622500648631724,36.0,0.5331758655584673,25.0,0.5331758655584673,25.0
50,0.7634177288386866,28.0,0.6841933717164884,19.0,0.6841933717164884,19.0
50,0.7128519614725999,36.0,0.5139490457949021,27.0,0.5139490457949021,27.0
50,0.6725766411382144,36.0,0.7158447834763983,16.0,0.7158447834763983,16.0
50,0.7091545044940802,33.0,0.5953138576595045,22.0,0.5953138576595045,22.0
50,0.6087422704393668,36.0,0.676573316684306,20.0,0.676573316684306,20.0
50,0.7108654050363987,35.0,0.5732002017462031,21.0,0.5732002017462031,21.0
50,0.7389005973211387,32.0,0.6034781087922982,23.0,0.6034781087922982,23.0
50,0.6213140358800769,38.0,0.6394429348191015,22.0,0.6394429348191015,22.0
50,0.6845167893843171,39.0,0.5419569055589064,27.0,0.5419569055589064,27.0
50,0.7663594398575053,34.0,0.5643132454897989,24.0,0.5643132454897989,24.0
50,0.4827754678893672,36.0,0.6176001424304262,22.0,0.6176001424304262,22.0
50,0.43680139751554825,35.0,0.6456764971319817,21.0,0.6456764971319817,21.0
50,0.7601088161537516,36.0,0.5612311453810448,25.0,0.5612311453810448,25.0
50,0.7006932020627707,33.0,0.5915866285534821,24.0,0.5915866285534821,24.0
50,0.6248132379482028,30.0,0.5616929479998345,26.0,0.5616929479998345,26.0
50,0.7120598582148423,37.0,0.5045760243252888,28.0,0.5045760243252888,28.0
50,0.7451622374318231,32.0,0.55925399099736,25.0,0.55925399099736,25.0
100,0.5309133701637669,67.0,0.5592219720940711,48.0,0.5592219720940711,48.0
100,0.7645985530524508,73.0,0.5238972929174059,53.0,0.5238972929174059,53.0
100,0.6559727689519546,76.0,0.5465960480990171,55.0,0.5465960480990171,55.0
