budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.7760116044351557,25.0,0.8331425614725609,25.0,0.5887642267466069,32.0
50,0.6630223931276653,28.0,0.7919408045991738,28.0,0.7556748519612255,28.0
50,0.7684547508561436,22.0,0.7997636521621527,24.0,0.6599291378958779,30.0
50,0.6669614867295737,25.0,0.8843350327104826,21.0,0.7391187012411977,30.0
50,0.7149516224702701,25.0,0.7712277523896595,28.0,0.5459981250544295,31.0
50,0.6911358944879249,34.0,0.7794854490568551,22.0,0.6883862747331773,29.0
50,0.6926358468453502,22.0,0.7855930250661338,23.0,0.5328282843969059,31.0
50,0.7901393513573988,23.0,0.8174177967745202,26.0,0.6889040132053676,33.0
50,0.7631005665039058,24.0,0.7971764339688399,30.0,0.7119155833726675,32.0
50,0.7561088214277718,25.0,0.7247393144366896,28.0,0.7084414983544567,24.0
50,0.8155432840782324,24.0,0.7658799557605096,28.0,0.7175628650650124,27.0
50,0.5463256939046561,34.0,0.6908354215317271,30.0,0.6809120966983722,27.0
50,0.7710684043876406,25.0,0.7191173982286638,27.0,0.6861814355921569,36.0
50,0.6819624809965574,26.0,0.8546157058702991,23.0,0.7087516965455134,33.0
50,0.8060445053671823,23.0,0.7155810024385925,29.0,0.7620634599003366,29.0
50,0.8514937508725969,16.0,0.81611375618231,22.0,0.7102311766289141,29.0
50,0.752150622164803,22.0,0.7668176396489573,30.0,0.8078976454230794,25.0
50,0.6714859387865182,26.0,0.7765014094580721,26.0,0.6777743928465823,37.0
50,0.7287252413315146,23.0,0.8485340597772053,21.0,0.7542483309430559,32.0
50,0.7060655457715028,23.0,0.8643808506138904,20.0,0.6841514760118836,31.0
50,0.8002937995265603,18.0,0.7680447667102437,28.0,0.8166109325728607,25.0
50,0.7658243327526659,24.0,0.7907231408000251,28.0,0.6973296183927429,31.0
50,0.7642296110235872,25.0,0.8454935752413281,24.0,0.7993625593769057,31.0
50,0.6846959947881281,28.0,0.73712278906408,30.0,0.7577900690384255,25.0
50,0.7773053422108775,24.0,0.7891476798817244,25.0,0.7667975649765992,30.0
50,0.5780110606240396,30.0,0.8585232046566311,21.0,0.7761015830256635,33.0
50,0.7076956663555436,25.0,0.8213654897455175,24.0,0.5166615525216105,30.0
50,0.7801257215074459,25.0,0.8049952194760759,29.0,0.6591769211027642,31.0
50,0.7788437349506889,22.0,0.8393557180734084,23.0,0.7751326198359051,25.0
50,0.6995732516255343,30.0,0.9130205336854018,15.0,0.7226014109155171,32.0
100,0.6444971134207206,52.0,0.6788770185644147,52.0,0.7787761926432641,59.0
100,0.7357543454290574,54.0,0.8350636725745892,51.0,0.630954260870074,56.0
100,0.6465768040553111,52.0,0.796284758138378,53.0,0.7176025374564241,57.0
100,0.725368723862907,52.0,0.8246151858785105,52.0,0.7044034689419336,57.0
100,0.6305470822290196,60.0,0.8170533910824358,49.0,0.5600445780362574,65.0
100,0.7334195285789131,55.0,0.8125373656901442,46.0,0.7087960198057344,60.0
100,0.7733364207733054,50.0,0.8260815107219295,52.0,0.6654723122347023,55.0
100,0.7579796589790574,48.0,0.7999180410092862,53.0,0.7588214321652722,66.0
100,0.6084860600423798,61.0,0.7045566091277256,53.0,0.5056451347760179,65.0
100,0.6982175265772858,58.0,0.7977231602598185,55.0,0.5853569067323798,61.0
100,0.7140642694671445,58.0,0.7082143390472073,60.0,0.7440424579498499,63.0
100,0.7501264846729023,50.0,0.7346512327078117,63.0,0.6327614793215257,59.0
100,0.7550477640195707,36.0,0.7819977682019634,52.0,0.7258143001672245,59.0
100,0.6764542333546609,59.0,0.8390999885739614,49.0,0.5266488489612691,55.0
100,0.787584939622861,48.0,0.7999785787589271,50.0,0.7816251622359951,62.0
100,0.7731600762845454,46.0,0.7363838492524549,51.0,0.7160994274016276,59.0
100,0.7122235925059772,58.0,0.6907518389949038,52.0,0.814940821113365,55.0
100,0.7314914841527812,55.0,0.7398244003371575,53.0,0.7010269538603744,64.0
100,0.5579619706586527,65.0,0.8352845058283839,43.0,0.7092034074956122,63.0
100,0.7766456127806279,49.0,0.7781988972931877,60.0,0.6921535474345857,59.0
100,0.7815181887871098,48.0,0.7813931135394698,57.0,0.7126788367969149,58.0
100,0.6480758067303365,56.0,0.7784117936811334,47.0,0.6414518301362224,56.0
100,0.7517244531524913,54.0,0.8457652262062649,50.0,0.6117118386076554,61.0
100,0.6096905753586167,48.0,0.8278685458762041,46.0,0.7575605972442719,67.0
100,0.7581843704669039,50.0,0.7670689660836932,50.0,0.7639677656720733,56.0
100,0.7940770335243315,47.0,0.7737121935033966,43.0,0.6574963206868324,54.0
100,0.5995914937170389,47.0,0.7733967722507884,50.0,0.6749183083932666,60.0
100,0.7440856657954961,50.0,0.7986510833132142,52.0,0.7765043418352559,58.0
100,0.7055587438309879,51.0,0.8418265078604712,49.0,0.7165508254324195,68.0
100,0.7500562219483291,53.0,0.7819655046757368,53.0,0.7183759157454788,62.0
200,0.7415265686020455,96.0,0.812731442701943,99.0,0.7743322450876244,107.0
200,0.7210694576666126,103.0,0.8360146843049409,92.0,0.6679342247127549,120.0
200,0.6663096438307847,111.0,0.7838026979105674,103.0,0.5926257407969502,129.0
200,0.7327772168479663,99.0,0.8134933622912213,99.0,0.5884946751382047,123.0
200,0.7354276881475099,102.0,0.8296480630016057,83.0,0.6887121659067331,132.0
200,0.7804137522257587,88.0,0.7263855438633826,101.0,0.6714751389474043,113.0
200,0.6704248262867631,109.0,0.652555231659421,93.0,0.6660218176787307,127.0
200,0.6749180190331405,97.0,0.8068878210560181,109.0,0.663736654335874,113.0
200,0.7394959921395352,99.0,0.8308875992693177,94.0,0.6927621272252815,122.0
200,0.8012002878817055,91.0,0.7530173718164033,101.0,0.7262456844170201,121.0
200,0.7382442473783835,99.0,0.7854850762551796,95.0,0.4461605791220723,117.0
200,0.7370485527054611,99.0,0.7524051996132909,115.0,0.7130107492048712,121.0
200,0.7486802106089071,99.0,0.7517069352584286,98.0,0.6964967750269275,124.0
200,0.7474318381064513,88.0,0.8047104315343088,91.0,0.6577445468981993,121.0
200,0.7467541021574768,107.0,0.7668164416039179,113.0,0.5913412174800681,117.0
200,0.7397903553581822,107.0,0.8309835703685996,93.0,0.728184890228954,114.0
200,0.7371846471805372,107.0,0.7538730995284828,102.0,0.5987763836139948,134.0
200,0.7820402482058959,88.0,0.7743152391405984,100.0,0.6989652765441123,136.0
200,0.6971102490087185,111.0,0.8232856473265494,94.0,0.7342021080204315,107.0
200,0.7346923485648629,102.0,0.8057931628549858,98.0,0.7051614127312817,124.0
200,0.757745380721657,101.0,0.8035166703225275,104.0,0.5928167455254132,125.0
200,0.7105974594284998,107.0,0.8040853556708649,87.0,0.6949266002626796,118.0
200,0.7232051751383607,101.0,0.8153125637401025,90.0,0.7490937416577532,118.0
200,0.6936995881865184,99.0,0.7913963638422602,107.0,0.7563843103766537,116.0
200,0.6564205283881126,105.0,0.8119082642835567,95.0,0.7435079812999976,114.0
