budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.9034342954719428,22.0,0.9677419018052204,19.0,0.9283925462124486,16.0
50,0.8381554589603794,23.0,0.9364792076966628,27.0,0.9699974657613104,6.0
50,0.9352817254812352,15.0,0.9673410519242605,20.0,0.9071695796846336,15.0
50,0.9025882601398312,17.0,0.9627566721022688,22.0,0.932504929957601,15.0
50,0.9424413967947451,13.0,0.9554565927762276,16.0,0.9527259154073427,10.0
50,0.9229236932790336,19.0,0.9403752263612071,24.0,0.9428960603955956,12.0
50,0.9357727458904408,16.0,0.9560327997560674,20.0,0.9462651953178056,12.0
50,0.8498833679943666,25.0,0.9283151216776779,29.0,0.8691231168881209,17.0
50,0.8668057569106853,22.0,0.942654015248264,23.0,0.9527242828116382,10.0
50,0.9125221717507008,23.0,0.959583781907569,27.0,0.8889850370051178,22.0
50,0.8911704567967269,17.0,0.9579896940993796,16.0,0.9422435946333956,9.0
50,0.9022875497999434,18.0,0.945464057601424,26.0,0.9435235378571312,11.0
50,0.9384603456569662,16.0,0.968006288623006,20.0,0.9356152300749271,12.0
50,0.9110119025376732,23.0,0.9648693496284038,17.0,0.902226414142052,11.0
50,0.8962977925611256,24.0,0.9690483867929812,23.0,0.9462909681781694,10.0
50,0.9041165045782176,21.0,0.9456627024553752,22.0,0.9014112611721552,16.0
50,0.8779440844471399,20.0,0.948407830752365,22.0,0.925623640562772,14.0
50,0.8977064352999596,27.0,0.9285614461987864,18.0,0.9349104366056598,12.0
50,0.7650132162121447,25.0,0.951680581341278,21.0,0.9178152583913324,11.0
50,0.920763716162164,19.0,0.9574745079669784,20.0,0.9343463665651812,14.0
50,0.9051211505912156,24.0,0.9666121267392824,17.0,0.9333413715718356,15.0
50,0.9408934225884305,17.0,0.9407713505232356,24.0,0.950553374069102,11.0
50,0.9391868160727262,12.0,0.9612849496757188,24.0,0.936978362801943,13.0
50,0.9560750926189496,13.0,0.9579523458928298,17.0,0.9298739301338618,13.0
50,0.9074770201142851,21.0,0.9485632340659929,27.0,0.9318443774825784,12.0
50,0.9323222325233746,17.0,0.9683249303385796,23.0,0.9402511709671184,12.0
50,0.9600834684778596,10.0,0.8938095935594516,25.0,0.9472987235689354,11.0
50,0.9431231655701086,12.0,0.8380327048737961,22.0,0.9649875439158924,8.0
50,0.9236219742769156,18.0,0.9698851595131944,19.0,0.5815949433124747,9.0
50,0.5084397263166699,21.0,0.9625375920888628,21.0,0.9301085255076056,13.0
100,0.9056112921982178,39.0,0.9598062273843264,37.0,0.9440231314227256,20.0
100,0.9042145710725528,36.0,0.955299178264173,43.0,0.9241550985011576,27.0
100,0.9141091461570346,40.0,0.9576892938296814,44.0,0.9293948283138188,28.0
100,0.9184607399261026,38.0,0.9687736180908512,36.0,0.9240482343464996,27.0
100,0.9198275823312488,36.0,0.9622340011134122,37.0,0.9267899281270288,27.0
100,0.9245622596609796,35.0,0.9471772117428212,50.0,0.9281571767612312,27.0
100,0.9149850690670072,30.0,0.9523058577688864,45.0,0.9334847228758412,24.0
100,0.9099530019059059,40.0,0.953850079919054,43.0,0.9564233431512912,18.0
100,0.8729716191278173,43.0,0.9595964046651038,41.0,0.9342035670927772,21.0
100,0.9246343622337594,40.0,0.9597160985734812,42.0,0.93365181078181,24.0
