budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.9242065578312408,6.0,0.9614104553072348,3.0,0.9120512476776436,9.0
50,0.8647062333774844,10.0,0.977938152936322,3.0,0.9490885530235424,5.0
50,0.878872386499675,10.0,0.9178657587045872,7.0,0.9253721309893266,6.0
50,0.9024929523950416,7.0,0.976935968649746,2.0,0.9497367508087828,5.0
50,0.962523361664968,4.0,0.9175515375588306,6.0,0.9250189654677988,8.0
50,0.8741783282060086,10.0,0.9703743886515244,4.0,0.946224914188653,8.0
50,0.9418811578502192,5.0,0.9871597583684188,1.0,0.9130391887549308,7.0
50,0.9113114711513892,8.0,0.942546917136058,3.0,0.9666704300387328,6.0
50,0.920479292612362,7.0,0.9720469416216406,3.0,0.9334822278006384,9.0
50,0.922911050310033,8.0,0.9643634088261712,3.0,0.955788484041966,5.0
50,0.915338017099084,7.0,0.8680545603880179,10.0,0.923771552795548,8.0
50,0.9623965167600238,4.0,0.9438501314286007,5.0,0.9709367390565546,5.0
50,0.954554013752816,4.0,0.9433444928632492,6.0,0.9511962688581924,7.0
50,0.8780689303464828,9.0,0.91913630823644,6.0,0.948659087939718,5.0
50,0.999039281607276,1.0,0.908101411991971,8.0,0.9488733135710744,7.0
50,0.9717445394629995,3.0,0.9044724662911692,6.0,0.9642973601652204,5.0
50,0.9456496567745988,6.0,0.9756485676477528,3.0,0.974652892042396,4.0
50,0.9074203670931296,8.0,0.9505145879153534,4.0,0.9601702227835844,4.0
50,0.8795372334455377,8.0,0.9641142294993408,5.0,0.8897049583712798,11.0
50,0.8083253063797505,11.0,1.0,0.0,0.9674446497756424,6.0
50,0.9324640546126132,4.0,0.926894043709662,6.0,0.9763787119149652,4.0
50,0.938515505803608,5.0,0.9287223607469546,5.0,0.9672429735654912,6.0
50,0.8692165370504767,10.0,0.9392582049218056,4.0,0.9297871174396758,6.0
50,0.9447403605174436,8.0,0.934919978170302,7.0,0.9529940774136396,5.0
50,0.8736534905079738,7.0,0.9047563390837114,7.0,0.9034401260852509,8.0
50,0.897895583601577,8.0,0.9563121406841713,3.0,0.8995108032566919,13.0
50,0.9030470591893014,5.0,0.9756308628724626,2.0,0.9301546215353927,7.0
50,0.8587203793790821,10.0,0.9279840222508235,6.0,0.9461208782288112,9.0
50,0.8313955424727556,13.0,0.9371972901953508,4.0,0.9337076578281026,6.0
50,0.8957970139698355,9.0,0.9326961454201576,7.0,0.8983745364959803,11.0
100,0.9323467918465244,9.0,0.9640186256206784,6.0,0.9413434504179722,15.0
100,0.902446149776902,14.0,0.9427052373811404,10.0,0.9163654810429404,17.0
100,0.8236890643334589,19.0,0.9536639489698636,9.0,0.9633651827527564,10.0
100,0.8905830164249763,18.0,0.9194430994390544,13.0,0.9268992063428464,15.0
100,0.9512879659284844,8.0,0.9203776345727936,13.0,0.9171326028416744,17.0
100,0.8918035127967008,16.0,0.9319821943515052,13.0,0.9540489760629852,11.0
100,0.9281691424091622,12.0,0.9365236003022608,11.0,0.9442792418963988,13.0
100,0.8969907419969915,11.0,0.9399894144848036,10.0,0.9546576202525024,10.0
100,0.903407511735688,16.0,0.9516161381641108,7.0,0.9377645568851364,13.0
100,0.9006032745788939,14.0,0.9548023416376532,8.0,0.9480413972479688,12.0
100,0.88024911978162,17.0,0.9231814638939934,11.0,0.9472817211654349,14.0
100,0.897722577382648,14.0,0.9504711550688404,9.0,0.9448752177914336,13.0
100,0.8808407593409819,16.0,0.916576398165925,14.0,0.9440071089011688,17.0
100,0.9137185303903416,20.0,0.9404428944155806,8.0,0.9389227274759782,15.0
100,0.8773527146783437,17.0,0.9679064221855798,7.0,0.9356563120120384,15.0
100,0.8958821404501857,18.0,0.9545129515304409,8.0,0.9502092795370352,10.0
100,0.8761619108301524,17.0,0.9309125402281364,11.0,0.9291635488404896,17.0
100,0.9092134981140602,16.0,0.9553569560335626,6.0,0.9330770498069416,18.0
100,0.9083288412120986,15.0,0.9395426126720604,12.0,0.9358728849279284,13.0
100,0.8646819092998403,17.0,0.9389819422549954,10.0,0.9558434453114144,11.0
100,0.8587241622961522,18.0,0.9253322667788481,12.0,0.939578345958097,16.0
100,0.9248607380120568,17.0,0.9913015784923592,2.0,0.9099401111356852,18.0
100,0.8588517563021102,20.0,0.9522654452530388,10.0,0.9112163247836512,20.0
100,0.924077944465672,13.0,0.9591803311952358,8.0,0.9144877124419454,16.0
100,0.8857727549183826,16.0,0.9765447393515144,6.0,0.9304402223134324,16.0
100,0.8828381218119801,19.0,0.9769503539483722,5.0,0.913743889864502,17.0
100,0.9539905168451712,7.0,0.9594074502750454,7.0,0.9475271408635924,13.0
100,0.9222907004533136,14.0,0.9519708031508868,9.0,0.9176443521278076,17.0
