budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.06841027061355495,34,19,15,10,4,2,0,0,0,0,0.102047802190289,43,36,19,10,6,2,2,2,1,0
50,0.15195777795706109,41,27,19,11,7,7,2,1,1,0,0.0933746401223829,43,32,22,13,9,2,2,1,1,1
50,0.157124260563713,41,28,24,13,8,3,2,1,1,0,0.07310295007671297,41,32,27,16,12,8,6,5,3,1
50,0.10143286885207912,36,26,18,12,7,5,4,1,1,1,0.0665555200864745,38,29,20,11,7,3,2,0,0,0
50,0.08574744424860661,38,29,16,11,5,3,2,1,1,0,0.10937710161998067,42,33,24,17,9,7,5,4,1,1
50,0.21510455721902075,42,25,19,12,5,4,3,2,0,0,0.10214692487973252,38,23,17,9,8,5,5,3,1,0
50,0.1525945088241817,36,28,20,15,12,8,5,3,3,1,0.09325076511640648,38,29,23,15,8,5,2,0,0,0
50,0.11410623223726025,36,28,22,14,10,4,3,3,2,0,0.0849987103006439,42,35,20,13,7,3,1,1,0,0
50,0.1044194333357616,33,24,15,8,3,3,1,0,0,0,0.09297439395184012,39,26,18,11,8,6,4,0,0,0
50,0.13791690658641145,41,28,20,14,8,7,4,3,2,1,0.06883226401371302,36,24,17,9,4,3,1,1,1,1
50,0.13090597989404995,33,23,18,12,6,3,2,2,0,0,0.07178702571889882,39,30,21,12,6,4,2,0,0,0
50,0.125320711318221,38,29,23,14,8,3,3,2,1,0,0.09313488857116743,41,30,24,11,4,3,3,1,1,0
50,0.11459719436125465,39,32,21,12,2,1,0,0,0,0,0.10891507781074453,40,31,25,21,10,8,4,2,2,1
50,0.09659191012112102,42,34,24,14,8,6,4,1,1,1,0.14768677595536292,40,33,23,18,9,4,3,3,2,2
50,0.16396656808035426,37,31,20,13,10,8,5,3,3,2,0.11217108348542336,37,28,18,11,8,6,6,5,3,1
50,0.1006526701848248,39,26,21,16,9,7,3,2,2,2,0.07424977376432945,31,24,13,7,4,2,1,1,0,0
50,0.14074939712477288,39,27,21,12,9,6,5,3,2,2,0.09033010240521323,42,30,18,6,2,1,1,0,0,0
50,0.14611896712529754,40,29,20,13,10,9,3,3,1,1,0.09760561933785372,43,33,19,13,9,5,3,2,0,0
50,0.11416568418850255,37,28,20,11,7,4,2,1,1,1,0.13075790949137464,41,32,18,11,7,4,1,1,1,1
50,0.1369573599018424,39,35,27,17,9,7,5,2,1,1,0.15788013814559146,43,32,25,11,6,4,2,2,1,1
50,0.09657094821371373,41,30,24,14,10,7,2,0,0,0,0.0913178796934245,40,27,23,10,6,4,1,1,1,1
50,0.10758567700257704,35,23,15,10,6,3,1,0,0,0,0.09236343647239956,43,30,22,15,13,11,10,3,1,1
50,0.13780675925487842,38,28,22,15,10,5,2,1,0,0,0.08775358937628902,40,35,22,14,9,6,4,3,2,1
50,0.10595140233796156,38,27,20,16,10,4,2,2,2,1,0.11453584649982385,40,29,18,10,5,4,4,3,3,1
50,0.10887063021219803,35,24,17,10,7,3,2,2,1,0,0.10287151110724753,40,28,21,12,6,3,0,0,0,0
50,0.14265746078320593,39,32,22,11,4,3,1,0,0,0,0.1006690616471048,40,25,17,9,8,5,3,1,0,0
50,0.0975004756664655,38,21,18,15,12,6,4,3,2,0,0.09328929296821004,44,30,17,11,6,5,1,1,1,0
50,0.13611483695787652,38,31,17,9,3,0,0,0,0,0,0.07562948503465207,41,30,18,11,4,4,2,2,2,1
50,0.1156664304158127,43,32,22,18,10,7,3,2,1,0,0.12383351512143635,45,37,24,17,10,7,7,4,2,1
50,0.18028522316495066,43,34,23,14,11,9,4,1,1,1,0.08957552661339559,44,28,21,10,5,2,1,1,1,1
100,0.12617166825892798,76,54,45,29,15,6,5,1,1,1,0.08988865471937944,74,53,39,27,19,11,9,3,2,1
100,0.1164960287726021,78,55,40,28,18,10,3,1,1,0,0.1043901296712222,78,67,45,29,21,12,6,4,2,1
100,0.1798422118896711,84,64,46,31,18,11,6,2,1,0,0.1089059191470846,85,66,48,27,19,12,10,4,2,1
100,0.1231827980614076,74,59,40,27,21,13,5,3,3,3,0.1037321244748306,81,55,36,22,14,11,7,6,3,1
100,0.14323646977396354,78,58,46,32,20,12,7,3,1,1,0.12217462775567328,84,59,42,26,13,8,5,3,2,2
100,0.12830995487058072,75,55,44,29,23,16,11,5,3,1,0.11452899325519345,85,64,41,32,24,18,14,9,8,5
100,0.11955186453419375,67,51,38,26,14,8,3,2,1,1,0.07978429875395404,74,52,34,21,14,9,5,2,2,1
100,0.18184502786337928,79,58,40,27,15,8,5,4,4,3,0.1026816548320179,82,60,40,26,16,12,8,3,0,0
100,0.15325450768129706,81,65,40,22,13,7,5,3,3,1,0.0939795186946298,80,63,42,24,15,9,6,2,2,0
100,0.1544747862823046,81,59,43,26,17,6,3,1,1,0,0.08420385189173593,83,63,41,26,19,17,11,5,2,0
100,0.13304185797551427,73,53,38,22,19,7,2,0,0,0,0.07234423106286635,68,48,27,20,15,11,6,3,2,1
100,0.13087244956182933,71,50,36,21,9,5,3,2,0,0,0.10301524357276752,81,63,40,22,14,9,5,3,3,2
100,0.1661046471647502,75,58,45,28,17,10,5,3,1,1,0.09785118546742916,76,47,32,20,14,7,6,2,2,0
100,0.11924139904178352,75,54,41,29,15,5,3,3,2,1,0.104941201721037,79,64,48,37,21,15,10,7,3,3
100,0.11807645550393217,72,56,34,20,10,6,3,2,2,0,0.09390720608892343,76,55,33,25,15,10,4,3,2,2
100,0.15914763737475074,75,53,34,26,12,9,6,4,2,1,0.09391321693152783,84,59,39,21,15,8,6,2,1,1
100,0.10810608060092827,79,57,45,30,14,8,4,4,2,1,0.08592176415708236,75,62,39,28,19,13,8,7,4,2
100,0.11862746910705015,84,67,44,29,16,5,3,3,2,2,0.13309564886248054,80,67,53,33,19,11,6,5,2,1
100,0.1518135406418224,79,62,43,29,17,9,3,2,1,1,0.08618784207436493,72,57,34,25,18,12,5,3,2,1
100,0.13321133976487665,79,60,41,22,11,5,4,3,1,0,0.08885420562541806,85,61,42,22,18,9,5,4,2,0
100,0.11020794386373334,80,62,44,28,13,7,3,1,1,0,0.09747901774042378,74,58,37,23,11,9,5,3,2,0
100,0.16666949661037758,82,58,49,26,15,12,6,3,3,3,0.12344436000614985,83,63,46,27,16,13,9,5,5,4
100,0.1180459218980332,79,56,35,23,15,6,5,1,1,1,0.11345739013430002,89,67,47,25,15,10,9,3,2,1
100,0.14721982005163894,75,51,38,25,13,7,5,3,0,0,0.08120026209386265,78,59,40,24,18,10,6,2,1,0
100,0.10636924234304618,72,55,38,28,18,9,3,3,3,2,0.10682661820467312,88,65,39,24,16,11,7,6,2,1
100,0.10363773832512553,81,61,44,24,16,9,6,2,0,0,0.11160007693599204,72,54,41,27,21,13,7,6,4,2
100,0.1207480409515856,70,54,42,28,16,8,4,4,2,1,0.12342971810944288,81,67,53,30,25,18,13,10,7,6
100,0.11682273878607652,74,57,43,25,19,8,5,1,1,0,0.1283638089674993,80,62,46,31,19,14,9,6,3,2
100,0.10032075492987348,71,53,32,20,13,7,5,1,1,0,0.11236943568102478,91,71,42,25,16,10,6,4,3,1
100,0.15082802442162993,79,58,42,28,18,9,4,2,0,0,0.14980468724078808,79,56,36,20,19,12,8,3,2,2
200,0.14416601863014322,157,116,88,57,32,19,8,3,3,1,0.0900384086367197,156,111,69,50,25,20,11,4,2,1
