budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.06541014691686793,34,21,11,6,2,1,1,1,1,0,0.05584545594604101,39,24,13,5,2,0,0,0,0,0
50,0.06400618212782316,37,24,14,7,4,2,0,0,0,0,0.08310326572228259,37,28,15,5,4,3,2,1,1,0
50,0.14003412976460175,38,29,21,10,8,4,1,1,1,1,0.07195749566988098,37,25,13,5,1,1,0,0,0,0
50,0.10866663556533844,41,29,16,10,5,3,2,2,1,0,0.07003685754909998,36,26,14,4,2,2,1,1,1,0
50,0.060563656561733285,37,22,12,5,2,2,1,0,0,0,0.07015696478473903,40,31,14,5,2,1,0,0,0,0
50,0.10815360006264006,43,33,20,10,3,2,2,2,0,0,0.06751104069651136,39,25,14,3,1,1,1,0,0,0
50,0.10936566857009626,39,31,21,14,7,6,1,0,0,0,0.10960496312635908,36,26,18,5,2,1,1,1,1,1
50,0.1804874028851558,40,30,21,13,6,3,3,3,1,1,0.09175685039010524,36,23,16,9,6,3,1,0,0,0
50,0.05200024404845522,35,21,11,6,0,0,0,0,0,0,0.08088024710378812,36,21,15,5,1,1,0,0,0,0
50,0.10266763892768067,36,29,21,10,7,3,1,1,1,1,0.1019851194366338,35,29,13,7,1,1,1,1,1,1
50,0.08697808592319667,28,22,15,11,8,5,3,0,0,0,0.07152259775064322,45,33,16,1,0,0,0,0,0,0
50,0.13452900540743434,44,29,18,14,10,4,0,0,0,0,0.09997181968700876,37,29,17,6,3,2,0,0,0,0
50,0.10179515331895504,37,30,16,10,5,5,3,2,1,0,0.11583421358917215,41,26,14,5,3,2,2,2,1,1
50,0.07554610450528218,38,30,18,8,4,2,0,0,0,0,0.07062392017769853,41,25,15,4,1,0,0,0,0,0
50,0.06863795847484051,37,22,13,5,2,1,0,0,0,0,0.1460123333779224,43,31,18,6,3,2,2,2,1,1
50,0.08894025301738992,37,30,20,15,6,4,1,1,0,0,0.11869505709780115,37,27,15,8,5,3,1,1,1,1
50,0.12872721790860828,41,24,18,12,7,4,2,2,1,1,0.092147684697499,39,29,17,8,4,2,1,1,1,0
50,0.09389828913226178,39,28,20,13,6,4,1,1,0,0,0.04987780587685894,37,21,11,2,0,0,0,0,0,0
50,0.07565445467416318,43,27,17,7,3,2,0,0,0,0,0.07929256694755893,36,22,13,2,1,1,0,0,0,0
50,0.1408171053092364,37,27,20,10,6,4,3,3,3,2,0.09377687895529724,35,26,15,6,2,0,0,0,0,0
50,0.1328405540838956,39,24,20,9,5,4,2,0,0,0,0.07063842765344684,35,26,12,3,1,0,0,0,0,0
50,0.1093427318200106,39,30,22,12,4,3,2,2,0,0,0.06363940513199133,35,21,12,4,2,1,0,0,0,0
50,0.11100376468942542,40,29,16,7,4,3,2,1,1,1,0.0717801861520269,33,22,14,5,2,2,0,0,0,0
50,0.046906570368836366,32,18,12,8,2,0,0,0,0,0,0.0791417947747214,41,29,16,3,0,0,0,0,0,0
50,0.07562316916439575,36,24,14,11,2,1,0,0,0,0,0.08242446262387959,41,28,13,4,2,1,0,0,0,0
50,0.08879475880585216,41,30,17,10,5,2,1,0,0,0,0.06557554902034601,39,27,18,7,3,0,0,0,0,0
50,0.09234695550521753,41,29,22,11,3,2,0,0,0,0,0.09905305663767296,41,32,20,9,3,1,0,0,0,0
50,0.14670496658718712,38,28,19,13,6,5,5,4,2,0,0.1103220843506621,39,27,21,12,4,1,0,0,0,0
50,0.10877175402806724,42,31,19,10,3,2,1,1,0,0,0.051275875947133814,33,25,10,2,0,0,0,0,0,0
50,0.08487337291098769,40,25,15,5,1,1,1,0,0,0,0.0925605207282339,40,31,20,9,5,4,3,2,0,0
100,0.07856105488923616,69,45,32,10,7,4,3,3,2,1,0.11073221783536412,76,53,30,10,8,5,2,1,1,0
100,0.1320753725983599,70,50,29,17,9,6,3,0,0,0,0.09385902238528276,69,51,28,13,5,3,1,1,1,0
100,0.0847765355441454,74,55,36,19,7,3,0,0,0,0,0.15007904751425552,76,51,34,15,8,3,3,1,1,1
100,0.1162523155874818,70,53,38,22,8,5,2,0,0,0,0.10097225044666716,73,53,29,15,7,4,1,1,1,1
100,0.08790832071837666,77,52,30,16,8,4,2,1,0,0,0.06561649787013324,76,43,22,7,3,2,2,0,0,0
100,0.05558002519616537,76,51,24,9,4,2,1,0,0,0,0.1038605189993367,86,57,33,15,5,3,2,1,1,1
100,0.11939322006892647,67,51,39,26,12,7,4,2,2,2,0.05653638839578085,73,43,22,7,2,1,1,0,0,0
100,0.08842718215174249,83,61,36,24,12,2,0,0,0,0,0.07258993568999905,73,51,32,10,6,2,2,0,0,0
100,0.08343655854897057,73,50,29,13,8,2,1,1,0,0,0.11148014217014113,78,54,27,9,4,3,3,3,2,1
100,0.0918934580475786,74,56,34,17,6,3,1,1,0,0,0.07233942726578771,79,56,31,18,5,3,2,1,0,0
100,0.0763451961460513,73,53,33,15,4,3,2,0,0,0,0.08650137931965833,76,56,36,14,4,0,0,0,0,0
100,0.07776224774322926,82,53,36,15,6,3,1,1,0,0,0.08833148523335999,78,50,30,11,5,3,1,1,1,1
100,0.13447609308182648,72,52,37,26,16,6,3,2,1,0,0.0992208129958689,71,51,27,14,6,4,2,0,0,0
100,0.09339992954272716,73,57,32,16,7,4,1,1,1,1,0.0749745261795834,75,50,29,11,5,2,0,0,0,0
100,0.07620715864613682,71,47,33,19,7,3,1,0,0,0,0.1194772363504248,76,51,29,14,6,4,4,3,1,1
100,0.09808788071951346,79,59,45,21,5,1,1,1,1,0,0.08331157234339573,71,47,33,16,7,3,1,1,1,0
100,0.10515688915951897,72,53,38,22,10,6,6,4,2,1,0.08753434464728439,81,54,35,12,5,5,3,2,2,0
100,0.06277673528522328,73,50,31,15,6,1,0,0,0,0,0.10543936019994346,71,51,30,11,7,4,3,3,2,1
100,0.10521035928995172,76,52,33,19,11,5,2,1,1,0,0.058855227973979365,73,49,24,7,1,0,0,0,0,0
100,0.08944643649971372,73,50,33,15,6,5,5,2,1,1,0.12098344411418074,87,65,32,16,9,7,4,3,2,1
100,0.11618002148491725,81,62,37,20,15,10,4,2,1,1,0.14802856612232462,75,53,37,20,10,8,5,2,2,0
100,0.11307892179942775,81,55,39,17,8,4,3,2,1,1,0.048349702907932834,79,53,24,6,3,1,0,0,0,0
100,0.08850444635815558,77,52,35,17,8,5,2,1,1,0,0.15044711166946065,75,59,31,16,9,5,4,2,1,0
100,0.08224150167199666,72,58,35,17,5,3,0,0,0,0,0.1230284243709878,78,51,31,16,10,7,4,3,2,1
100,0.10906936736726423,67,48,34,20,11,2,1,1,1,1,0.09404620244398214,72,47,22,10,7,4,3,3,0,0
100,0.11784093744975732,77,60,38,22,9,7,3,2,2,2,0.12160858243682432,74,52,32,15,7,4,3,1,0,0
100,0.0936649527224946,80,54,33,19,15,7,4,0,0,0,0.07617358964674999,76,54,29,8,6,2,1,0,0,0
100,0.0966794710769432,81,54,35,15,12,6,3,0,0,0,0.09638842580036212,73,57,33,15,9,5,4,1,0,0
100,0.09861587965181846,74,55,36,22,11,3,2,1,0,0,0.10018024744174496,76,49,33,15,8,5,4,2,1,0
100,0.10567461306698346,78,58,35,21,10,7,3,2,2,1,0.059946504746195416,68,47,20,7,6,3,1,1,0,0
200,0.07939842513688111,160,108,69,35,18,10,6,2,1,0,0.12336639513994545,151,122,71,32,16,9,7,4,4,2
200,0.08366774333862541,156,100,68,34,17,7,4,2,0,0,0.10058688336288628,160,114,70,26,14,9,4,2,1,1
200,0.08398242540315064,148,105,72,36,16,7,4,2,1,1,0.0793935642417771,147,102,60,20,13,9,4,2,1,0
200,0.13154569739202698,155,121,77,47,27,16,11,4,3,2,0.0942886988427986,157,111,58,21,7,3,2,1,1,1
200,0.10394425749674954,152,106,68,34,16,9,5,2,2,2,0.1258396145334123,153,100,59,30,11,9,8,6,3,1
200,0.09397745730486748,150,108,64,33,21,12,7,3,1,1,0.06753427734635102,138,85,42,14,5,3,2,2,0,0
200,0.09162125951018184,149,99,70,33,21,12,5,1,1,1,0.10318269008898363,145,96,65,25,7,4,4,3,1,1
