budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.07810120194833163,34,26,19,9,3,0,0,0,0,0,0.057619992203043535,34.0,23,10,3,0,0,0,0,0,0
50,0.1011510249897836,33,28,19,12,6,2,1,1,0,0,0.0665953290572099,36.0,20,12,3,2,1,1,0,0,0
50,0.06643027607748514,35,25,11,5,3,0,0,0,0,0,0.06904969803098153,32.0,24,17,6,1,1,0,0,0,0
50,0.10141213570590027,35,28,18,11,6,2,0,0,0,0,0.08500086526341975,36.0,22,15,6,4,2,1,0,0,0
50,0.11672405722878512,32,23,19,13,5,2,1,1,1,1,0.08628602447223355,29.0,21,8,6,2,2,2,2,0,0
50,0.10836737856125116,36,23,18,9,6,3,3,1,1,1,0.0679516252004176,37.0,28,16,3,0,0,0,0,0,0
50,0.08394075816020401,34,27,11,6,2,2,0,0,0,0,0.054987325971587904,32.0,22,12,1,0,0,0,0,0,0
50,0.104238418298018,35,22,15,11,4,3,1,1,1,0,0.06743564012747806,35.0,22,12,6,2,1,1,0,0,0
50,0.08724484388373202,36,26,16,8,3,1,0,0,0,0,0.091515735215604,33.0,27,18,6,3,2,1,1,1,0
50,0.08920191124793214,35,27,18,8,5,1,1,1,0,0,0.0653364578001246,30.0,23,14,5,3,0,0,0,0,0
50,0.10491357656747187,39,28,21,13,4,1,0,0,0,0,0.10869470523820277,39.0,34,23,7,3,3,0,0,0,0
50,0.08498273310669968,33,25,23,6,3,0,0,0,0,0,0.0958925271549873,35.0,27,16,9,5,4,1,0,0,0
50,0.08957641230845886,32,22,14,7,5,3,1,0,0,0,0.10625780777145824,40.0,27,18,6,4,2,2,1,1,0
50,0.09230441187688586,34,25,14,5,3,1,1,1,1,0,0.09120901081790812,38.0,31,22,10,3,0,0,0,0,0
50,0.08590519572560698,30,24,13,8,3,2,2,1,1,0,0.07175825649816386,27.0,20,13,6,3,2,1,0,0,0
50,0.1011777776824252,36,25,14,8,5,2,1,1,1,0,0.07642135217901172,33.0,25,11,5,2,1,1,0,0,0
50,0.06149665924475159,32,21,14,5,1,0,0,0,0,0,0.06816012805141884,31.0,21,12,6,4,2,0,0,0,0
50,0.09786823730625917,38,30,16,7,5,3,2,0,0,0,0.0690494140056431,31.0,18,9,4,2,1,0,0,0,0
50,0.07865660076808095,31,20,9,4,2,2,1,1,0,0,0.05128609830936488,29.0,19,11,2,0,0,0,0,0,0
50,0.0793570150685792,36,23,12,6,3,2,2,0,0,0,0.07855999517468834,37.0,23,12,6,3,1,1,0,0,0
50,0.13170469352757447,36,28,22,13,6,2,2,2,2,2,0.08753689823043477,34.0,28,18,6,3,2,2,0,0,0
50,0.1060698462356755,35,24,17,8,4,2,1,1,1,1,0.07226428029571648,36.0,24,12,8,2,1,0,0,0,0
50,0.11227584251288672,34,25,18,11,4,3,2,1,1,1,0.10920921339338216,37.0,30,18,8,2,2,2,1,1,1
50,0.08978106049992228,35,25,16,7,4,2,1,0,0,0,0.08977998537687921,37.0,23,15,7,3,2,2,1,0,0
50,0.11790858783972614,35,22,17,8,3,2,1,1,1,1,0.09052883313643703,35.0,26,13,9,5,2,1,0,0,0
50,0.09107173907634054,35,27,17,7,6,4,2,0,0,0,0.0688123733956309,36.0,26,11,4,1,1,1,0,0,0
50,0.10555908810473913,33,27,18,9,4,1,1,1,1,0,0.05625552710826618,31.0,19,11,3,1,0,0,0,0,0
50,0.11033771824830804,34,20,12,7,4,4,2,1,1,1,0.06973694325124423,35.0,23,9,4,2,1,1,0,0,0
50,0.06391920345136518,33,20,9,5,2,1,0,0,0,0,0.06759468138699581,32.0,19,11,6,1,0,0,0,0,0
50,0.11239920009171142,32,23,17,10,5,2,2,2,1,1,0.0919082221091105,35.0,30,16,7,2,1,1,1,1,0
100,0.100041689387543,71,55,36,19,9,3,2,1,1,1,0.05921369637731536,73.0,51,23,6,1,1,0,0,0,0
100,0.10991704070768388,70,54,35,23,13,6,4,2,0,0,0.06300582889917895,68.0,43,22,8,3,1,1,0,0,0
100,0.09442680345873544,70,51,31,12,7,3,3,2,1,1,0.07024373648730231,71.0,51,30,10,2,1,0,0,0,0
100,0.08899080631867172,72,54,37,18,8,3,0,0,0,0,0.07314283571151513,73.0,48,26,10,4,2,1,0,0,0
100,0.1058001453019807,74,52,38,21,10,4,1,1,1,1,0.08213924934118733,66.0,51,25,15,5,4,2,2,0,0
100,0.09170225166477022,73,46,31,15,9,5,3,1,1,1,0.08294508640221114,81.0,58,32,11,6,3,1,0,0,0
100,0.09017954921400433,73,57,32,14,8,4,1,0,0,0,0.06999275741053096,73.0,51,29,8,1,1,0,0,0,0
100,0.08847742379271133,74,49,30,19,6,3,1,1,1,0,0.06992390256545501,70.0,48,21,9,3,2,2,0,0,0
100,0.08720641962810205,72,54,31,16,8,5,0,0,0,0,0.08714279103276575,75.0,56,36,14,7,2,1,1,1,0
100,0.0968199909754989,74,55,32,17,10,4,3,2,0,0,0.07070238185759936,68.0,47,30,10,5,1,1,0,0,0
100,0.10872630337119353,81,62,46,23,9,3,1,0,0,0,0.09424218311265573,79.0,62,38,16,7,6,1,0,0,0
100,0.09837167150061604,70,49,41,16,8,4,3,0,0,0,0.08806601964115096,75.0,52,30,14,8,6,2,0,0,0
100,0.09832904484675498,73,51,36,20,9,6,1,0,0,0,0.08961895490475358,78.0,55,41,15,5,2,2,1,1,0
