budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.09149381325161876,41,31,28,19,11,7,2,2,1,1,0.12033374514965968,43,34,20,13,8,4,1,0,0,0
50,0.12833438751176088,36,29,21,16,8,5,3,1,0,0,0.12290011318551153,41,29,20,8,5,3,2,1,0,0
50,0.18171789446631667,37,29,23,14,9,6,5,2,2,2,0.1200938902501944,37,27,19,11,9,6,4,3,3,1
50,0.09941690999051092,36,27,16,7,6,3,1,0,0,0,0.09516063378569553,40,28,21,9,3,1,0,0,0,0
50,0.06729183451702975,36,19,15,10,4,2,1,0,0,0,0.13756893672762924,41,34,22,13,7,7,4,3,3,3
50,0.1237244451754795,40,29,19,14,10,5,4,2,1,1,0.0815506271622951,40,29,19,12,7,6,1,1,0,0
50,0.18797727555822996,40,32,21,8,5,3,2,2,2,2,0.11524277025289978,32,25,16,9,5,3,3,3,3,1
50,0.08796211910719055,33,23,17,8,5,2,2,1,1,0,0.15506873335586904,39,24,18,12,6,5,5,3,3,1
50,0.06357808274256185,40,32,20,11,8,4,2,0,0,0,0.07483987672982688,36,22,11,2,1,1,1,1,0,0
50,0.11651706696615816,44,32,23,15,10,5,1,0,0,0,0.08766830342119425,42,26,16,8,4,3,2,2,1,1
50,0.1317969820493016,41,30,23,17,10,5,3,1,1,1,0.09215996670964678,33,26,14,10,6,5,2,1,1,1
50,0.11703185276454026,37,30,21,13,6,3,1,1,1,1,0.08916083434866771,39,27,16,10,6,3,2,1,1,1
50,0.09566129278591233,33,28,19,15,10,6,3,3,0,0,0.13933624574135398,39,30,17,9,6,3,2,2,1,0
50,0.12319599136665765,39,34,25,19,11,6,4,2,2,1,0.09594760359975542,45,33,19,12,4,2,2,1,0,0
50,0.12871916884807813,38,31,21,12,7,4,2,1,1,1,0.11727715164720805,37,28,23,9,5,4,1,1,1,1
50,0.16113300799660107,47,35,24,18,12,6,5,2,1,1,0.10435803174845557,35,27,15,9,8,5,4,2,2,1
50,0.1618736030060383,42,29,22,16,6,4,3,1,1,0,0.12121254706884706,41,34,20,10,8,4,2,0,0,0
50,0.12947373090027545,36,25,16,11,9,8,3,0,0,0,0.1020637979296184,39,28,19,9,6,2,1,0,0,0
50,0.0944257142783342,44,28,21,14,2,1,1,1,1,0,0.16605843604312512,39,28,19,13,11,7,5,5,3,1
50,0.10778218016959744,33,25,16,10,5,3,2,1,0,0,0.12238844444437574,40,28,15,10,7,5,2,1,1,1
50,0.1523826454288244,40,28,24,19,8,4,2,2,1,1,0.1162671084192798,41,27,22,11,6,3,2,1,1,1
50,0.11211617443656577,36,26,17,13,6,1,1,1,1,0,0.09034902594609157,39,34,24,19,9,6,1,0,0,0
50,0.12400194551814525,41,32,19,12,7,4,1,1,1,1,0.12992364964915298,45,36,20,13,7,5,2,1,1,0
50,0.1020360588354228,42,31,21,13,10,2,0,0,0,0,0.11927169003862508,37,24,17,9,7,3,3,3,1,1
50,0.0819558059510667,40,29,21,12,5,1,1,0,0,0,0.1288527510332557,40,31,22,15,7,4,3,2,1,1
50,0.08144104739528367,38,29,20,15,5,1,1,1,0,0,0.09946300182775313,34,26,17,6,2,2,2,1,0,0
50,0.10423797729865092,35,27,19,16,10,5,4,1,1,1,0.10830937184138924,45,35,25,10,4,1,1,0,0,0
50,0.09154970100961754,43,28,19,12,6,4,1,1,1,1,0.11369678771717233,36,29,19,10,7,5,2,2,1,0
50,0.09390079857724028,37,24,20,13,9,4,2,1,1,1,0.1796769259636253,41,31,22,9,6,5,4,3,0,0
50,0.0648404456021052,37,26,15,11,3,1,0,0,0,0,0.07808794688853875,37,27,21,10,7,4,2,2,0,0
