budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.05749941197909291,35,27,16,8,4,2,2,0,0,0,0.060896930801091965,39,26,16,2,1,0,0,0,0,0
50,0.0646954128936289,41,22,13,6,4,2,1,0,0,0,0.08134081269450029,43,30,20,7,3,0,0,0,0,0
50,0.0738335635429677,34,20,11,8,3,0,0,0,0,0,0.05227498279851666,34,22,10,2,1,0,0,0,0,0
50,0.09040152346553178,41,30,19,9,3,1,1,1,1,1,0.08877480632895454,37,23,15,6,1,1,0,0,0,0
50,0.093000015247773,33,22,12,10,8,4,2,1,0,0,0.06075339415596157,39,29,16,7,2,2,0,0,0,0
50,0.0960651958239304,34,25,18,13,7,5,2,1,0,0,0.044913492763228015,36,19,10,4,2,0,0,0,0,0
50,0.09147428553239367,44,26,18,10,5,2,1,1,0,0,0.0942657090424239,34,27,17,6,1,1,1,0,0,0
50,0.047575998991308883,34,24,15,5,2,1,0,0,0,0,0.06586415952968973,39,26,12,7,3,1,1,0,0,0
50,0.14022462667259986,43,30,21,15,9,5,1,0,0,0,0.07406261752338203,36,27,19,7,4,1,1,0,0,0
50,0.08896790227810472,37,29,23,11,5,3,1,0,0,0,0.13568467074591134,44,31,20,10,4,4,1,1,0,0
50,0.06372807727104728,42,27,16,7,5,1,0,0,0,0,0.06178114110826832,36,25,13,4,2,0,0,0,0,0
50,0.09168836921074906,40,24,14,10,8,4,1,1,0,0,0.07143514136801249,39,22,15,6,1,1,0,0,0,0
50,0.06863918654607105,39,29,16,5,2,0,0,0,0,0,0.05849675603205572,35,20,12,4,3,2,1,0,0,0
50,0.07488132066101254,32,21,10,3,1,0,0,0,0,0,0.2205129673181836,37,29,18,8,4,4,2,1,1,1
50,0.10602619706835206,37,28,19,10,6,4,1,0,0,0,0.07326082423562859,40,31,22,3,2,0,0,0,0,0
50,0.14990305028310633,43,33,21,12,8,5,1,1,0,0,0.03806710747369831,34,21,10,1,1,1,1,0,0,0
50,0.0531881504275083,39,22,13,9,1,0,0,0,0,0,0.1010378022792433,37,25,16,8,2,2,0,0,0,0
50,0.08890768493923318,38,25,16,6,2,1,1,0,0,0,0.09497302621074427,38,27,15,7,3,2,2,2,1,0
50,0.07142768403056682,40,26,16,9,6,3,0,0,0,0,0.04641499233014745,37,24,13,6,3,2,2,2,0,0
50,0.11745732930333495,35,25,18,11,8,2,1,1,0,0,0.09673237770329916,38,30,18,7,2,1,1,0,0,0
50,0.05201768732602202,33,19,8,2,0,0,0,0,0,0,0.05003099183188348,38,22,13,2,1,0,0,0,0,0
50,0.09487024446375224,40,29,21,11,7,3,1,0,0,0,0.09458569080583988,38,23,11,8,5,3,2,1,0,0
50,0.12155287338828935,42,27,19,12,5,4,2,1,0,0,0.08595558716610302,42,27,17,7,3,3,2,1,1,0
50,0.07510786489119392,34,25,14,8,5,1,0,0,0,0,0.09512427926964603,33,22,14,8,2,2,0,0,0,0
50,0.1089552373472676,42,34,20,10,6,4,3,0,0,0,0.12809805940391986,42,31,24,5,2,2,2,1,1,0
50,0.12736583438142493,40,30,22,8,3,2,2,2,2,0,0.08295020975638404,39,27,12,7,3,2,0,0,0,0
50,0.1072695512911064,34,23,18,10,7,3,1,1,0,0,0.048201717040457934,34,20,11,6,0,0,0,0,0,0
50,0.08127664194425456,37,25,16,9,5,3,1,0,0,0,0.061025528402107274,39,25,16,8,3,0,0,0,0,0
50,0.10186753328644099,36,28,20,12,7,3,0,0,0,0,0.07926393887686503,41,31,17,6,2,2,0,0,0,0
50,0.05422731392392437,31,22,16,7,2,1,0,0,0,0,0.10135760606119756,33,24,11,7,4,3,3,3,3,2
100,0.10342121279214596,78,64,42,23,12,5,2,0,0,0,0.14307739097361188,75,61,36,17,9,6,5,3,1,1
100,0.07311345025427612,78,55,38,19,10,6,2,0,0,0,0.0685531523275845,82,57,26,13,4,2,1,0,0,0
100,0.11873422038740568,80,60,39,25,11,7,2,2,2,2,0.07082847765262243,76,52,32,7,3,0,0,0,0,0
100,0.09104310253631327,81,48,28,13,7,6,3,3,1,0,0.0659236131708722,80,58,29,14,5,3,3,1,1,1
100,0.06633799630085582,74,48,32,11,4,2,1,1,1,1,0.07729009153142616,70,53,32,14,6,3,1,0,0,0
100,0.09360272427941252,72,52,34,19,7,4,1,0,0,0,0.08195027270449151,79,55,38,16,7,3,2,1,0,0
100,0.08642689434543567,76,60,40,15,8,6,0,0,0,0,0.09538058010089652,83,61,36,12,6,6,3,1,0,0
100,0.07545991330152381,80,56,32,22,12,5,3,0,0,0,0.07630140629008589,71,49,29,14,6,5,3,2,2,1
100,0.07477837108304172,73,52,31,13,4,3,2,1,1,1,0.07202352551457084,75,56,30,10,4,1,1,1,0,0
100,0.08696873425517195,77,52,32,19,5,1,1,0,0,0,0.0839939552543728,78,53,28,14,5,4,4,0,0,0
100,0.1123325993083824,74,60,41,24,12,6,1,1,1,1,0.07971813028482183,70,48,31,13,5,4,1,0,0,0
100,0.10374837965206003,74,45,32,17,9,4,2,1,0,0,0.08541406049409782,79,55,33,20,10,8,2,1,0,0
100,0.10721245893916796,80,55,35,14,8,5,1,0,0,0,0.08940264845296242,74,54,26,15,5,3,1,1,1,0
100,0.07300354320201975,74,52,30,14,6,3,1,1,0,0,0.07932411478788254,69,46,27,13,7,3,1,1,0,0
100,0.07531980652519757,74,48,29,16,9,5,1,1,1,1,0.07924921939812755,70,55,35,19,10,6,1,1,1,1
100,0.09745553639296628,77,54,41,23,10,6,3,2,0,0,0.06632968562198541,73,52,31,19,4,1,0,0,0,0
100,0.08443868236277863,78,57,37,21,7,4,2,0,0,0,0.06983136258121124,77,53,29,16,9,5,2,0,0,0
100,0.06497612737216382,74,48,30,13,7,3,1,1,0,0,0.07055019239189353,73,50,28,9,3,0,0,0,0,0
100,0.06362594063040777,73,46,29,15,3,1,0,0,0,0,0.13262375060462436,76,53,34,15,7,3,2,2,2,1
100,0.08792075710413301,77,50,35,20,8,3,1,0,0,0,0.06694949298014746,78,57,33,11,3,2,2,1,0,0
100,0.1030508588847054,81,55,36,18,11,3,3,2,1,1,0.08886666059244616,73,53,32,18,8,6,5,3,0,0
100,0.08020488343156787,81,60,39,13,4,2,0,0,0,0,0.07727931306378287,69,51,28,12,6,4,3,2,2,1
100,0.05961051978255031,68,45,31,19,6,2,0,0,0,0,0.07810339802381679,75,46,28,14,9,6,4,2,1,0
100,0.10887725780941286,76,61,41,20,12,4,2,1,0,0,0.09294916816382948,73,49,32,14,9,4,3,3,2,1
100,0.10761804104099107,82,59,37,16,9,4,3,2,2,1,0.07847941863024999,73,51,27,15,10,7,4,0,0,0
100,0.0974238646815556,81,61,44,19,9,5,2,1,1,1,0.07973707784877737,82,57,29,14,8,4,3,2,2,1
100,0.12846691972383442,74,54,33,16,8,4,3,1,1,1,0.0832398225694943,83,59,27,13,5,1,0,0,0,0
100,0.07460313880412996,72,44,27,14,8,3,1,0,0,0,0.08789497768281054,80,53,33,18,5,2,1,1,0,0
100,0.09323316959278226,77,52,37,17,9,7,3,1,1,1,0.09211882256459268,75,51,35,18,8,6,4,2,2,0
100,0.12190192327764172,69,51,34,18,12,6,3,2,1,1,0.07289306010532286,78,57,34,13,6,3,2,1,1,1
200,0.07565846089687972,149,95,63,30,12,7,3,0,0,0,0.09140715384551218,154,112,65,31,18,12,9,4,2,1
200,0.0917685757063086,156,107,61,26,17,9,4,2,1,0,0.08336464357216625,152,112,61,21,12,7,7,3,1,1
200,0.110663089720626,156,125,87,42,26,18,11,6,4,3,0.07404002164653889,138,98,55,17,8,4,2,0,0,0
200,0.09256672445265303,148,97,65,29,13,9,5,3,2,1,0.08196295474102358,149,105,59,26,15,10,5,2,1,1
200,0.07976537025894395,153,103,72,38,17,5,3,3,2,1,0.12531048202451586,149,100,54,22,12,10,6,5,3,2
200,0.11487889085493533,162,119,73,34,21,8,4,1,1,0,0.07167294774166615,152,109,62,23,11,5,4,3,1,1
200,0.09294780698749563,148,100,67,45,23,7,5,3,1,0,0.07698736558292821,148,106,55,25,13,10,8,4,3,1
200,0.08630522598041551,161,112,62,28,14,7,1,1,1,1,0.10817064229823517,157,113,68,30,14,13,10,4,2,2
200,0.08658642528509879,152,96,63,31,16,10,5,1,0,0,0.07477686419151533,154,107,57,25,8,4,2,1,1,0
200,0.09318885522801962,158,115,78,33,17,8,4,3,2,1,0.08098518111253157,148,107,68,28,13,6,3,2,2,0
200,0.09027196091293714,152,114,76,42,18,8,3,1,1,0,0.0726435642791894,145,106,59,28,10,7,3,1,1,0
200,0.09232369406929483,145,101,70,37,23,11,7,3,2,2,0.06980306488601344,158,108,50,18,10,4,1,0,0,0
200,0.0960101369414528,149,111,80,42,25,9,4,3,1,1,0.06292216057775983,149,99,51,19,10,7,4,2,0,0
200,0.09568921934405676,149,109,75,39,24,12,4,2,2,1,0.06940280460019413,152,102,55,27,11,6,2,1,0,0
200,0.12797157717429367,146,102,57,33,17,10,7,6,3,3,0.09225741206334953,154,112,67,30,12,5,3,2,1,0
200,0.10604615395766644,157,107,80,44,22,12,6,3,2,1,0.08761987795698807,147,91,54,27,14,12,9,5,1,0
200,0.10208530108852032,148,109,71,37,23,14,7,3,3,1,0.0803940002252992,153,100,61,28,15,6,3,1,1,1
200,0.08460871904691727,135,96,65,35,19,10,5,2,2,1,0.0873358050329033,154,109,66,23,12,6,3,2,2,2
200,0.10238841136005553,154,108,63,38,22,14,9,5,4,3,0.07813769529994485,148,98,57,22,10,7,5,2,1,0
200,0.1079945897869416,151,109,73,43,17,8,6,3,3,3,0.08767592207816761,159,107,62,29,15,8,4,4,1,0
200,0.10091391628402392,155,109,68,32,20,9,4,2,1,1,0.07980716322660711,161,106,56,23,12,7,6,2,1,1
200,0.08604855794466124,150,108,77,37,23,11,3,1,0,0,0.07109359929120015,157,104,63,26,14,7,4,2,1,1
200,0.11306981243328194,149,106,72,32,19,12,7,6,5,3,0.09692003293318084,153,109,56,20,13,8,7,5,2,1
200,0.07882826437970636,148,106,68,32,17,10,2,1,0,0,0.08653204621087125,150,98,57,25,11,7,4,2,2,2
200,0.11039461087963696,151,114,69,42,21,8,4,2,2,1,0.06597532255420156,147,108,48,15,8,4,2,2,1,0
200,0.07754071322161829,147,98,54,27,18,10,2,0,0,0,0.0747692742490339,148,95,54,25,13,8,3,2,1,0
200,0.09025747210468077,157,110,73,42,18,9,3,2,1,1,0.08630964274691208,149,106,54,27,10,7,2,1,1,1
