budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.10095641419919826,37,27,20,13,6,3,0,0,0,0,0.08134277712198164,36,25,17,5,1,1,1,0,0,0
50,0.06503057445436547,39,27,15,5,1,1,0,0,0,0,0.050964467916739406,39,22,8,3,1,1,1,1,0,0
50,0.06847924471033502,36,24,19,5,1,0,0,0,0,0,0.08028084015349182,35,24,17,9,2,1,1,0,0,0
50,0.0724561493043213,37,25,19,8,4,1,1,0,0,0,0.1174215788654407,41,27,18,8,6,5,2,2,2,1
50,0.08085555288595768,39,26,15,9,4,1,0,0,0,0,0.12019720861558625,40,30,18,8,6,3,2,1,1,0
50,0.11213829538375844,35,23,20,12,8,4,1,1,1,0,0.1033824903451796,37,29,18,9,6,3,3,2,2,2
50,0.13527958658812114,43,32,22,14,6,4,3,1,0,0,0.04836557455011262,38,28,12,5,3,2,2,0,0,0
50,0.0659907333532916,40,26,15,5,1,1,0,0,0,0,0.05843507684756415,35,22,14,4,1,1,0,0,0,0
50,0.09188365318681742,41,26,16,7,3,1,1,1,1,0,0.054554219631205964,31,21,14,6,1,0,0,0,0,0
50,0.11576066295733192,37,21,16,9,5,4,1,1,1,1,0.08893451200906585,39,23,15,10,7,1,0,0,0,0
50,0.08518745111549687,35,24,17,9,3,2,2,1,1,1,0.0831918395229649,41,33,16,5,4,2,2,0,0,0
50,0.09166899380381108,40,28,18,11,4,2,1,0,0,0,0.09803741190176768,40,27,15,6,3,3,2,1,1,1
50,0.051484363484256536,36,20,11,4,4,3,1,1,1,1,0.06287235985492634,38,26,14,5,2,0,0,0,0,0
50,0.06245332541492659,39,24,13,6,4,2,1,1,0,0,0.0741994710970081,37,28,20,7,2,2,1,1,1,0
50,0.04928321594560441,38,24,13,7,1,1,0,0,0,0,0.07084685245369032,46,34,18,4,1,0,0,0,0,0
50,0.08919387806107115,35,24,14,11,6,5,1,0,0,0,0.12506065563371538,38,32,16,6,4,3,3,1,1,1
50,0.09995075700169953,39,31,21,14,7,3,1,0,0,0,0.04035878807483048,39,21,14,6,2,1,1,0,0,0
50,0.0951280268555336,38,25,17,7,2,1,1,0,0,0,0.11367744129759474,42,34,22,8,5,3,2,2,0,0
50,0.06190403051816909,35,25,16,10,3,1,0,0,0,0,0.08084979146201493,40,25,15,7,2,2,2,1,0,0
50,0.1016871448554894,38,26,14,10,5,3,3,1,1,1,0.10505125094900704,36,23,13,6,2,2,1,0,0,0
50,0.09447422550815768,38,27,18,9,2,1,0,0,0,0,0.07414179180663559,38,27,16,6,2,1,1,1,1,1
50,0.13450854398196554,44,37,25,12,6,4,3,0,0,0,0.09918763376927743,42,30,18,7,2,2,1,0,0,0
50,0.1075991138018245,41,27,18,10,5,3,2,0,0,0,0.07939078175390044,41,30,18,7,2,0,0,0,0,0
50,0.10477637619006283,43,31,21,13,8,4,0,0,0,0,0.0939047670461856,41,33,19,8,5,2,1,0,0,0
50,0.21484370038047396,34,25,17,14,10,6,2,1,1,1,0.05964009474970448,34,22,13,5,2,1,1,0,0,0
50,0.10102360873966522,35,28,22,13,6,4,2,1,1,1,0.08153521859720668,40,28,17,5,2,1,1,0,0,0
50,0.1158467678359904,38,26,20,10,4,3,3,2,2,0,0.05420246136771285,38,26,16,5,1,0,0,0,0,0
50,0.14697494169235356,41,27,19,14,6,4,1,1,1,1,0.12394873560007018,45,30,20,9,4,3,2,1,1,1
50,0.07701845602134226,41,28,21,10,2,1,1,0,0,0,0.04193358731560329,37,24,8,5,0,0,0,0,0,0
50,0.113776507459884,35,24,18,12,5,2,2,0,0,0,0.08009429718208355,38,31,22,7,4,3,0,0,0,0
100,0.09341017378892756,68,49,32,15,8,2,0,0,0,0,0.0994443761939904,82,59,29,12,5,4,2,2,1,0
100,0.09346993312321088,74,43,31,20,11,8,3,2,0,0,0.0874596756099004,73,57,35,12,6,5,3,0,0,0
100,0.11448918899212013,70,53,33,20,8,3,2,1,0,0,0.06275614279910642,78,54,32,4,3,2,0,0,0,0
