budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.05920643535323442,39,24,15,8,3,2,1,1,1,1,0.04791315537446407,40,27,14,7,3,1,1,0,0,0
50,0.08131833443270556,45,29,21,10,6,1,1,0,0,0,0.056118462046528594,38,29,19,9,7,3,2,2,1,1
50,0.06532879532437755,41,33,15,7,3,2,1,0,0,0,0.08320659224726469,45,29,16,10,6,4,2,0,0,0
50,0.07692542756629897,38,31,21,10,7,3,1,0,0,0,0.060652710204953726,39,28,12,7,2,2,1,1,1,1
50,0.08335028453898714,38,31,18,8,6,3,1,1,1,1,0.05557297651135715,36,27,16,8,4,2,0,0,0,0
50,0.07889544960839279,38,25,15,10,5,4,2,2,2,1,0.03945157227674217,34,21,15,10,4,2,2,2,0,0
50,0.09809555882853288,39,29,18,16,9,3,2,1,0,0,0.0596451061076148,35,27,13,7,4,2,2,1,1,0
50,0.05974228097041519,36,30,18,4,3,1,1,1,0,0,0.057920346973130414,36,30,14,6,3,2,2,1,1,1
50,0.052509366897634864,31,18,11,8,4,2,2,1,0,0,0.05266082032819013,36,24,15,6,2,2,0,0,0,0
50,0.07802392254754345,39,26,20,11,7,2,1,1,1,0,0.05284010646688635,36,24,10,5,3,2,2,1,0,0
50,0.08356512122788254,39,27,20,9,5,4,2,1,1,1,0.05537751513788774,32,25,18,8,4,1,0,0,0,0
50,0.09340068135387762,38,27,21,11,6,4,1,1,1,1,0.04491269748682287,32,24,8,4,3,2,2,1,0,0
50,0.06561999264892095,34,25,17,12,7,3,2,0,0,0,0.046870968880960526,39,23,14,4,2,1,1,1,1,1
50,0.04471537468857841,36,26,18,5,3,2,1,0,0,0,0.043722444818565666,36,21,9,6,5,3,2,1,0,0
50,0.06948864853991092,35,27,20,6,4,1,1,1,1,0,0.0602676064003348,37,28,18,8,3,1,1,1,0,0
50,0.07594703814002883,38,27,21,9,4,1,0,0,0,0,0.04459574227122708,32,25,14,7,5,3,1,0,0,0
50,0.06518735221892939,40,28,22,6,3,1,0,0,0,0,0.059974676158897226,41,29,16,5,3,3,2,1,0,0
50,0.04289943255886521,38,30,16,6,4,3,2,0,0,0,0.05927966780148969,39,32,20,7,3,1,1,1,0,0
50,0.08886456728224665,39,29,23,8,6,2,1,1,1,1,0.04907381935608802,37,25,14,6,2,2,1,1,0,0
50,0.08903650603984789,37,29,21,11,5,3,3,1,1,0,0.03690742841551287,34,20,11,3,2,0,0,0,0,0
50,0.08533263336139613,37,28,19,7,5,4,3,0,0,0,0.0608499512872499,42,28,16,8,5,3,1,0,0,0
50,0.05911791269563131,41,29,16,5,3,1,0,0,0,0,0.04826963143299709,36,26,10,7,3,3,3,1,1,0
50,0.08316988388611614,40,28,22,11,7,5,3,2,1,0,0.06585923779506793,36,24,19,12,3,1,1,1,0,0
50,0.08330488496560763,37,28,21,16,8,3,1,1,0,0,0.04716149983957185,37,27,15,6,2,1,1,1,0,0
50,0.06717048372784977,35,25,17,7,3,1,1,1,1,1,0.05876805708973765,34,27,13,8,4,2,1,1,1,0
50,0.07089872209920325,42,26,12,10,4,3,1,1,0,0,0.05410779628414592,33,22,15,7,5,4,1,0,0,0
50,0.07923986457764466,38,29,18,13,6,4,1,1,0,0,0.051527198317171334,37,23,15,7,4,2,1,1,1,1
50,0.04687644244059912,33,21,12,5,3,1,1,1,0,0,0.04411379012387523,36,26,18,3,1,1,1,1,0,0
50,0.04897171076699152,38,30,12,5,3,1,0,0,0,0,0.06465835208459109,40,25,14,8,5,4,1,1,1,1
50,0.09257128248608427,35,27,20,14,7,3,2,2,2,1,0.06162322146296007,40,27,15,7,4,3,2,1,0,0
100,0.08461925383594672,71,52,25,10,8,7,5,3,1,1,0.08543971541919561,86,66,36,13,3,1,1,1,0,0
100,0.09822386167638468,76,51,31,15,7,5,2,2,1,1,0.070153401741677,80,62,33,12,7,4,3,1,1,1
100,0.07583071512939453,73,42,27,14,8,5,3,2,1,1,0.0765550773621038,79,56,30,14,7,6,3,2,0,0
100,0.09915027724919596,79,51,31,15,7,6,3,3,2,1,0.04648201474858153,74,46,26,7,4,3,2,2,1,1
100,0.06683338005470646,76,46,27,6,4,4,2,1,1,0,0.0878087814468852,86,58,44,16,5,2,2,1,1,0
100,0.10063438653373598,71,54,39,19,13,7,3,1,0,0,0.07537463772741111,77,47,30,11,9,5,3,1,1,0
100,0.055733995324728704,77,55,33,13,6,3,2,1,1,1,0.054266421721444066,79,49,26,10,3,2,0,0,0,0
100,0.08061231243693308,72,53,33,13,8,5,2,1,1,1,0.0633585495971641,74,47,25,14,6,4,0,0,0,0
100,0.07848284092628052,73,49,26,10,6,4,3,2,1,0,0.06793498862207324,76,54,28,11,6,3,3,1,1,0
100,0.06796784850691648,72,50,34,17,5,5,3,2,2,0,0.0941693101872948,77,51,27,14,7,5,4,2,2,1
100,0.07925828118542012,76,48,28,13,7,5,2,1,1,1,0.053670651987990425,70,50,23,7,2,2,2,1,1,1
100,0.07603330997288911,75,47,34,16,10,5,1,0,0,0,0.08913171736217261,73,57,32,12,8,6,4,3,2,0
100,0.06997120537691617,75,46,27,18,6,4,1,1,1,0,0.0789930070579478,76,56,26,11,8,5,2,0,0,0
100,0.08235809888324107,75,52,30,14,6,6,3,3,3,1,0.07518558471059444,80,55,34,16,9,7,2,2,1,1
100,0.0986012599121202,74,58,37,18,10,6,3,2,1,1,0.07489129741939664,72,52,35,12,6,2,2,1,0,0
100,0.07869400487043718,78,53,34,16,6,3,2,0,0,0,0.07615196899148408,78,53,37,14,7,4,2,1,0,0
100,0.06621577054090581,78,55,33,13,6,4,1,0,0,0,0.06119077934151682,72,50,23,11,6,4,3,1,0,0
100,0.08890445226554132,76,51,28,14,6,2,2,1,1,0,0.08490158967915498,71,55,33,17,9,3,3,1,0,0
100,0.07413414335684493,76,53,34,16,8,6,2,0,0,0,0.06012304983121311,73,50,27,11,5,3,2,1,1,1
100,0.08723091855796287,74,49,32,16,10,6,4,1,1,1,0.06541556866417388,78,55,29,13,2,2,0,0,0,0
100,0.05837369854291592,77,51,35,9,4,4,3,1,0,0,0.07213384185900126,66,54,32,13,5,1,1,1,1,0
100,0.08028461901175482,77,52,30,15,7,2,1,1,1,1,0.06369509450647985,79,51,26,10,5,2,2,1,1,1
100,0.0949310420148645,81,55,35,14,7,4,2,2,1,1,0.0690268363365106,77,55,28,13,3,3,3,1,0,0
100,0.07580527001033695,72,51,29,14,7,3,2,2,1,1,0.05940813874743678,77,56,33,10,3,3,2,1,1,1
100,0.08954648366100575,71,51,31,14,7,3,2,1,1,1,0.05101649674271255,75,53,27,8,3,0,0,0,0,0
100,0.07269869755085655,74,52,29,12,5,5,3,0,0,0,0.07936434325566273,81,55,30,12,6,5,3,1,1,1
100,0.09440114184055902,74,54,35,16,9,8,3,3,0,0,0.07555948856911968,71,51,24,12,4,4,3,2,1,1
100,0.10166097609295988,78,56,37,18,10,7,4,2,0,0,0.05805486063318197,71,46,27,12,2,2,2,1,0,0
100,0.07635963133748669,75,52,32,13,6,4,3,2,1,1,0.08543043937255812,81,61,38,16,6,3,3,1,1,0
100,0.0739923026262662,75,51,28,11,5,2,1,1,1,0,0.06876301024295396,72,48,31,10,3,2,2,1,1,1
200,0.09610898899638083,150,102,62,19,10,5,4,1,1,1,0.07595867057158437,137,92,49,18,7,5,5,2,2,1
200,0.11240546373376564,160,112,64,25,9,5,3,1,1,1,0.085243573459225,142,97,56,18,9,7,4,2,2,1
