budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.09509698293201384,38,26,16,10,4,2,2,1,0,0,0.05002713971078837,39,28,14,9,4,1,0,0,0,0
50,0.06937540091953327,31,20,11,7,6,4,2,1,1,1,0.03474529941570341,35,28,8,5,1,0,0,0,0,0
50,0.11372337639435624,37,32,24,16,11,5,2,2,1,0,0.04563404470247786,37,26,16,6,2,1,0,0,0,0
50,0.13908304466400742,37,25,19,14,8,5,3,2,2,1,0.06517330569813208,36,27,11,7,4,3,3,0,0,0
50,0.04219625375339235,40,18,11,7,2,1,0,0,0,0,0.06620925213821535,36,27,16,8,3,3,1,1,1,1
50,0.10817441931563104,42,33,25,11,10,3,2,1,1,1,0.061643546066526764,40,28,19,5,3,2,0,0,0,0
50,0.07920325646735556,37,26,18,9,8,2,0,0,0,0,0.06658810558341903,40,29,18,6,3,2,2,0,0,0
50,0.07427887983485057,37,24,19,11,6,4,3,2,1,0,0.05653787822952749,35,26,17,8,5,3,2,2,1,1
50,0.15234816029784132,41,27,15,7,3,2,2,2,2,2,0.029815434932943082,32,20,8,3,1,1,0,0,0,0
50,0.06708023516861089,39,27,18,9,4,4,3,2,0,0,0.08891935770726969,36,27,16,5,2,2,2,2,1,1
50,0.06353908546656872,43,26,14,8,4,2,1,1,1,0,0.0804741039025357,35,26,19,10,7,4,3,0,0,0
50,0.05876411589306231,42,27,16,3,2,1,1,0,0,0,0.062111995325919725,42,29,14,8,3,2,0,0,0,0
50,0.09018542182618944,40,31,19,8,3,2,1,1,0,0,0.06761829341782392,39,26,18,4,4,2,1,0,0,0
50,0.0652006384797419,38,27,16,10,5,3,0,0,0,0,0.06262240672058735,43,27,16,5,1,1,1,0,0,0
50,0.08649401137027303,44,32,19,10,5,3,1,1,0,0,0.04495349285308923,41,29,14,2,2,0,0,0,0,0
