budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.07561444627264287,37,21,15,6,5,2,0,0,0,0,0.07288821048394951,34,23,13,9,3,1,1,1,0,0
50,0.10507804745503337,38,30,19,10,5,4,0,0,0,0,0.10686253934768364,38,30,14,6,4,4,3,2,1,1
50,0.08688753076381209,34,29,20,9,6,1,0,0,0,0,0.09447929533633673,40,27,23,9,4,2,1,0,0,0
50,0.08486657673314248,37,24,15,6,4,2,1,0,0,0,0.05301620726589994,35,24,10,2,1,0,0,0,0,0
50,0.11501954521433247,40,25,15,8,5,4,2,2,1,1,0.0963568938262264,39,31,23,9,3,1,0,0,0,0
50,0.07176615484828547,36,25,16,8,3,0,0,0,0,0,0.08799782042771784,38,24,18,6,5,4,2,0,0,0
50,0.0761375558906885,39,25,14,6,3,1,1,0,0,0,0.05794422245541056,39,25,10,3,2,0,0,0,0,0
50,0.08708372039453365,38,28,17,7,1,1,1,1,1,1,0.11860028906545195,38,31,20,15,6,4,3,1,0,0
50,0.07563118925141445,39,23,14,10,3,1,1,0,0,0,0.06144230929810762,33,27,16,4,1,0,0,0,0,0
50,0.09166732054464344,33,26,16,11,6,2,1,0,0,0,0.07168000723225358,35,23,11,5,3,3,1,1,0,0
50,0.11426403609344825,44,29,21,12,7,3,1,0,0,0,0.07449251681960725,39,25,11,4,2,1,1,1,1,1
50,0.0895978881170529,40,27,19,9,5,1,0,0,0,0,0.08206707526705875,41,31,19,5,2,2,1,1,0,0
50,0.053911570696398826,31,18,10,1,1,1,1,0,0,0,0.07369726423533594,34,21,15,4,3,3,2,1,1,0
50,0.1222931883352005,38,24,15,10,5,4,3,2,1,1,0.10187725387534924,42,25,18,7,6,3,2,1,1,1
50,0.08244201585301099,41,25,15,8,5,2,1,0,0,0,0.05313918873300088,36,26,9,3,0,0,0,0,0,0
50,0.11854145367135314,34,26,23,18,8,3,1,1,0,0,0.09043448669729373,38,29,17,7,6,1,1,1,1,1
50,0.09329253765845197,38,28,19,10,5,2,1,0,0,0,0.07696654221441313,42,27,16,6,3,0,0,0,0,0
50,0.06278690228231998,35,23,13,5,3,0,0,0,0,0,0.05364108426575236,33,27,10,4,1,0,0,0,0,0
50,0.11235624282658126,36,21,16,10,7,3,2,1,0,0,0.07768806432118576,36,24,13,5,5,2,0,0,0,0
50,0.06972116566168036,37,23,13,7,2,1,0,0,0,0,0.06987420272395384,38,28,12,5,2,1,1,0,0,0
50,0.08087632391252636,36,27,14,7,5,2,0,0,0,0,0.1043976607009596,35,28,19,8,6,3,2,2,1,1
50,0.06930738358497475,34,23,16,5,3,0,0,0,0,0,0.08189971971347257,33,19,12,7,6,4,0,0,0,0
50,0.0826004540654806,34,24,18,6,4,1,1,1,0,0,0.06698193554291207,42,23,14,4,3,0,0,0,0,0
50,0.09480743924280956,37,27,18,7,5,4,1,1,1,0,0.08221908988267318,41,28,19,5,3,3,1,0,0,0
50,0.08382790494488937,42,28,16,8,3,1,0,0,0,0,0.06975472380076038,37,20,13,6,2,2,1,1,0,0
50,0.08106556137579336,34,24,15,6,1,1,1,1,1,0,0.06721932925465993,35,18,11,4,3,2,1,0,0,0
50,0.10163540719841868,40,34,22,8,5,2,0,0,0,0,0.06660543889210523,35,23,16,5,1,1,0,0,0,0
50,0.10766245078201528,42,30,18,14,7,4,1,0,0,0,0.06755529314994205,40,23,13,2,2,2,1,1,1,0
50,0.08251603207229079,36,25,16,7,4,1,1,0,0,0,0.09824365256057116,38,32,22,10,3,1,0,0,0,0
50,0.08777453200649207,39,28,18,10,4,1,0,0,0,0,0.055652291590074114,40,23,9,4,1,1,0,0,0,0
100,0.08498785677781867,77,51,33,13,9,3,2,1,1,0,0.06648096173449082,77,51,27,8,4,3,0,0,0,0
100,0.10922890769349827,82,64,43,15,6,3,2,2,2,2,0.09095486006386656,76,51,32,17,8,5,3,1,1,0
100,0.10041750569891393,74,52,40,19,10,5,3,1,1,0,0.07615167062868923,79,49,18,11,6,4,3,2,2,2
100,0.10039158315848364,80,58,42,23,11,3,1,0,0,0,0.08384302222700298,78,54,32,14,8,7,1,0,0,0
100,0.0843831643061736,75,49,33,21,8,1,1,0,0,0,0.0665156540456462,76,53,24,8,2,2,0,0,0,0
100,0.08365894657245983,72,47,30,14,9,2,1,1,1,1,0.0749108873437635,71,52,29,13,9,2,1,0,0,0
100,0.11157719935335167,73,55,39,19,11,4,1,1,1,1,0.0719645070412356,82,49,25,14,7,1,0,0,0,0
100,0.10923897955349512,84,58,42,18,11,6,3,3,2,1,0.0713103738648386,72,49,25,9,4,3,3,0,0,0
100,0.11436329014498987,79,59,41,23,12,7,3,0,0,0,0.06963658755571119,81,54,25,10,5,4,1,0,0,0
100,0.09896351461380334,74,58,39,16,9,4,2,1,1,1,0.07577842653713507,76,50,22,10,7,2,2,2,2,1
100,0.09498106262282632,67,56,38,24,13,3,1,0,0,0,0.07239133818297377,71,47,26,15,8,4,0,0,0,0
100,0.11116713819045852,73,57,39,19,12,6,4,2,1,1,0.09044526199699557,80,56,32,14,8,5,2,2,1,1
100,0.08542389154565139,75,56,34,19,10,1,1,1,0,0,0.09511648527900886,75,51,28,15,9,6,3,2,1,1
100,0.1062270514114565,86,62,42,24,10,4,3,1,1,0,0.07599330139134429,83,52,31,10,4,2,1,1,0,0
100,0.12457517899407093,71,55,38,19,10,6,3,2,2,2,0.08920419216485348,73,49,25,12,8,6,4,4,0,0
100,0.10508712366976422,79,58,34,19,11,4,4,3,2,1,0.10122827657552068,82,59,43,19,9,4,1,1,0,0
100,0.09321006589723564,73,54,36,20,10,6,2,0,0,0,0.08667216128684024,74,53,29,15,7,5,3,1,1,1
100,0.0957040493139092,77,53,35,17,9,4,4,1,1,1,0.0960040155405945,82,55,32,17,6,4,3,3,2,2
