budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.12944511726209973,34,22,16,9,6,4,2,2,2,1,0.08049615606025771,39,26,12,7,2,1,1,1,0,0
50,0.054337693612604425,30,23,12,4,1,0,0,0,0,0,0.06897083688333593,39,27,14,5,2,1,0,0,0,0
50,0.11436460394732015,40,27,16,9,5,4,3,2,1,1,0.08632277194377284,38,28,15,9,3,1,1,1,0,0
50,0.1056187348970968,39,27,16,12,5,3,1,1,1,0,0.08860127276631714,39,23,13,6,5,4,2,0,0,0
50,0.08203916424928892,38,28,18,7,4,1,0,0,0,0,0.06982267006642666,34,20,13,4,3,2,1,0,0,0
50,0.06548995765942439,38,25,12,5,1,1,0,0,0,0,0.06222800786101605,32,22,15,5,2,1,0,0,0,0
50,0.11848402664077055,47,34,17,9,4,2,2,1,1,1,0.07857990055768585,38,28,19,8,0,0,0,0,0,0
50,0.04546080910653212,30,22,11,2,1,0,0,0,0,0,0.08617612522705552,37,30,14,6,5,2,0,0,0,0
50,0.09671828340796468,37,29,16,10,3,2,1,1,1,0,0.09199332630216214,37,27,19,11,3,1,1,1,1,0
50,0.09527191251359818,42,29,20,8,4,3,2,0,0,0,0.06869497259469617,39,24,10,3,1,1,1,1,1,0
50,0.08687881368887533,39,28,20,10,3,2,1,0,0,0,0.09553701134732297,39,30,14,8,3,3,2,2,1,1
50,0.06377589236465464,35,23,13,4,1,1,0,0,0,0,0.07750092297392218,37,29,13,4,1,1,1,0,0,0
50,0.09017462384118907,37,24,17,10,8,2,1,0,0,0,0.08501772989391898,34,26,14,6,3,3,3,1,1,0
50,0.07245339876109917,37,26,11,5,2,2,0,0,0,0,0.0826996552012877,41,29,16,7,2,1,1,0,0,0
50,0.06414326709649497,38,24,11,4,4,0,0,0,0,0,0.07026028792504066,36,25,15,3,1,1,1,1,1,1
50,0.06433392026601084,31,21,14,6,2,0,0,0,0,0,0.07641040048908522,31,23,15,8,3,2,1,0,0,0
50,0.10152789597752007,39,30,20,12,6,1,1,0,0,0,0.09516191793366803,33,26,17,12,6,2,1,0,0,0
50,0.1141791417005176,41,35,22,12,5,2,1,1,0,0,0.09327726421241228,41,31,21,6,2,1,1,1,1,0
50,0.07325080490482687,37,28,16,4,2,2,0,0,0,0,0.11240782854500812,42,30,18,9,8,5,3,2,0,0
50,0.08985053233479684,38,27,17,7,4,2,1,0,0,0,0.07647098654167983,37,26,13,9,3,0,0,0,0,0
50,0.08075978018143408,39,28,16,8,4,1,1,0,0,0,0.09340044285593772,39,29,16,9,1,1,1,1,1,1
50,0.07663031824305358,33,23,16,7,4,2,1,1,0,0,0.07767189164453488,35,22,10,4,2,2,2,2,2,2
50,0.08616315432176794,37,26,19,9,5,1,0,0,0,0,0.07599422560185559,35,23,14,8,3,2,1,0,0,0
50,0.10116897324701102,34,28,22,12,7,2,1,0,0,0,0.063375675174789,39,28,14,4,1,0,0,0,0,0
50,0.11988661741265855,37,29,19,11,6,3,2,1,1,0,0.1220295818589798,39,23,13,8,7,4,3,3,2,2
50,0.11604880846184933,43,35,23,13,4,3,3,0,0,0,0.09938283783384427,37,28,14,11,5,3,3,0,0,0
50,0.06416411999283766,41,24,15,5,1,0,0,0,0,0,0.0811932010260157,41,24,17,5,3,2,0,0,0,0
50,0.11633246327220467,37,30,21,11,8,5,1,0,0,0,0.06268163437570584,38,25,13,5,0,0,0,0,0,0
50,0.10182013756301894,38,28,17,13,7,3,1,0,0,0,0.04674396390983244,39,20,9,2,0,0,0,0,0,0
50,0.10802108617357986,44,31,17,13,8,2,1,1,0,0,0.08095032636357745,32,21,12,8,4,3,2,1,0,0
100,0.09422979799924068,77,55,28,18,13,6,1,1,1,0,0.08282152168966646,68,47,26,12,6,4,2,1,1,1
100,0.09394077093135277,73,53,31,12,8,5,4,3,2,0,0.10838513146658244,77,58,34,14,8,6,3,3,2,1
100,0.08194540254425918,77,57,27,11,8,3,2,2,1,1,0.0642978145060501,79,57,26,9,2,1,0,0,0,0
100,0.07782983727481498,77,51,30,17,8,2,0,0,0,0,0.06620283727483328,74,56,34,9,2,0,0,0,0,0
100,0.10324843628122612,82,60,32,18,10,5,2,2,1,1,0.0715519763996293,73,56,28,15,3,2,0,0,0,0
100,0.0992863175632166,73,57,35,12,8,4,3,3,1,1,0.07626290424180203,79,55,34,9,3,2,1,1,0,0
100,0.09611366342010436,78,47,32,16,11,6,5,2,1,1,0.08027583771840524,72,49,30,14,8,4,2,1,0,0
100,0.08923377261582656,81,61,34,17,10,1,0,0,0,0,0.06158527227472067,71,47,24,10,5,2,1,0,0,0
100,0.08225723349689197,79,59,33,12,4,3,2,0,0,0,0.09092859589285723,74,54,33,14,9,4,4,2,1,1
100,0.09836750566196982,75,62,45,19,10,3,2,1,0,0,0.0818588406823008,72,55,26,9,5,4,4,3,1,0
100,0.09679681216611848,67,49,35,23,15,5,1,0,0,0,0.1044430610486938,73,56,33,15,9,4,4,3,2,2
100,0.1067369591694762,80,67,36,25,13,3,1,0,0,0,0.08177601356778771,68,49,27,17,10,4,2,1,0,0
100,0.10432987835351164,80,57,29,18,13,4,3,2,2,2,0.07032943764832747,76,51,24,12,4,2,1,1,0,0
100,0.10387442421298583,77,52,37,24,11,5,2,1,1,1,0.07148961888708667,74,43,22,13,4,3,2,2,1,1
100,0.08812763587741262,77,54,34,17,7,4,1,0,0,0,0.06882877707969437,73,49,27,12,6,2,0,0,0,0
100,0.0952458950312365,74,53,38,20,7,5,3,0,0,0,0.06443006793711746,75,53,27,9,3,1,1,0,0,0
100,0.09753977721485718,76,50,32,16,6,4,3,1,1,1,0.07289220311731298,79,48,24,10,7,5,2,0,0,0
100,0.09337326721549477,73,59,36,23,8,2,2,1,1,1,0.07874965908177513,73,50,27,12,5,2,2,2,0,0
100,0.1223143734618344,71,55,35,26,15,9,3,2,2,1,0.06753876537322967,75,47,27,10,5,1,1,0,0,0
100,0.09865471315637182,71,54,36,23,12,8,5,0,0,0,0.07028797126163673,76,47,25,11,4,3,1,0,0,0
100,0.08224588826617807,77,51,33,17,8,2,0,0,0,0,0.09178573052343812,79,54,33,14,10,8,5,2,0,0
100,0.08486633493235543,72,53,34,18,8,2,1,0,0,0,0.08846888985298683,79,64,32,15,6,2,2,2,1,1
100,0.09784066844360637,75,50,37,22,11,6,2,0,0,0,0.06390718248890283,66,47,22,10,5,1,0,0,0,0
100,0.10835432940693067,79,49,35,22,15,8,4,1,0,0,0.08853682778661492,78,63,40,9,5,4,2,1,1,0
100,0.12450139544281273,71,48,35,17,7,6,5,5,4,3,0.08759283722469048,76,57,28,11,5,4,2,2,1,0
100,0.08676289878832583,76,57,34,12,7,2,2,2,1,0,0.08385531161172048,76,53,32,12,6,3,3,1,1,1
100,0.09557177281688144,74,51,34,16,7,3,1,1,1,1,0.0709223432778322,75,49,30,14,4,2,2,1,0,0
100,0.0959701636785226,80,55,30,17,12,7,2,1,1,0,0.1186834296953692,78,57,37,19,14,8,4,3,1,0
100,0.08613369855886803,77,47,29,14,10,5,3,1,0,0,0.08580173511265217,83,58,34,17,6,3,0,0,0,0
100,0.0967759369960483,72,55,36,20,11,5,2,0,0,0,0.11750011955373595,80,61,43,21,13,9,4,1,1,1
200,0.11183339047070996,148,106,68,43,31,13,7,6,3,1,0.08764232457348134,151,106,63,27,14,9,5,1,1,1
200,0.09343133785145276,150,105,63,35,19,13,7,2,1,0,0.07813686335458905,145,109,70,27,8,5,2,1,1,1
200,0.10471392611127864,161,111,66,37,20,14,4,3,2,1,0.08575957314822716,157,104,67,24,11,6,4,4,3,3
200,0.11854032927163514,160,110,79,41,25,13,8,4,2,2,0.08535837587333754,157,117,74,25,8,6,5,2,1,1
200,0.08459554457485073,132,94,62,30,18,9,4,2,1,0,0.08931267907573216,148,106,70,28,10,8,6,3,2,1
200,0.09002578257163023,150,100,69,39,14,9,4,1,1,1,0.07521186975817136,165,119,52,21,8,3,3,1,0,0
200,0.10184250799113446,163,117,72,38,20,11,5,4,2,1,0.07994626490707506,156,109,64,23,8,5,3,2,2,1
200,0.08884306713192572,151,108,65,30,17,10,5,2,1,1,0.08417716993531425,156,107,54,24,11,7,5,4,2,1
200,0.0873467493297208,148,100,69,39,19,6,4,1,0,0,0.08331099746616301,155,102,54,27,12,6,3,2,2,2
200,0.111156184333531,155,112,70,34,20,15,7,4,3,3,0.07446086403384149,146,108,61,25,7,2,1,1,0,0
200,0.09585694611401964,153,113,71,34,20,14,5,1,0,0,0.07045014405763221,143,107,61,19,7,3,1,0,0,0
200,0.09881106211869432,154,119,84,40,19,8,3,1,0,0,0.07771665383333941,155,109,59,20,9,5,5,2,2,0
200,0.11594237597474212,151,114,73,38,22,13,8,6,5,4,0.0849608806088376,164,119,65,26,12,9,5,2,1,0
200,0.09929701441971768,148,114,75,40,17,11,6,0,0,0,0.07127524074886142,141,90,57,23,10,5,2,2,2,1
200,0.10283494958888124,151,107,73,37,19,14,6,2,2,2,0.07923527206457567,155,101,57,28,10,7,3,1,1,0
200,0.09735908137897956,139,97,67,36,21,8,4,2,2,1,0.08028751371354229,155,110,63,29,9,6,2,1,0,0
200,0.0973687277198222,147,106,64,34,20,13,8,4,1,0,0.09349634737704368,168,121,70,28,14,9,5,2,1,1
200,0.09558870914739093,159,104,68,39,16,7,4,2,1,1,0.07506543339125323,156,103,54,25,10,4,2,1,1,1
200,0.07865325900526328,138,94,57,23,14,8,5,2,1,1,0.09219683890093394,150,111,61,22,14,11,6,4,4,2
200,0.10842829830629387,161,111,77,36,20,11,9,4,4,0,0.08199448717490787,159,110,62,25,13,4,3,2,0,0
200,0.08333893569841193,144,99,63,32,14,8,4,1,1,1,0.0831336626753286,163,112,58,30,10,4,2,2,1,0
200,0.10532778891465264,162,116,78,36,20,14,5,3,0,0,0.08677193332829379,154,105,67,28,12,6,5,4,2,2
200,0.10404527309916754,153,103,62,35,16,11,6,4,4,2,0.08252349930483306,155,112,61,27,12,5,2,2,1,1
200,0.07724681395849946,140,92,55,26,13,8,5,2,0,0,0.07564119550299844,155,114,55,19,10,5,2,1,1,1
200,0.08515925145412387,150,103,63,36,20,8,3,0,0,0,0.08125935218574677,159,104,61,25,9,5,3,3,2,2
200,0.09400993611779787,151,109,64,30,17,10,6,2,1,0,0.08046559268226114,145,104,59,23,10,7,3,2,2,1
200,0.08880881298930865,157,109,68,32,16,5,2,2,1,0,0.08342457262150932,155,108,61,29,13,6,4,3,1,1
200,0.10796879079919096,156,116,82,45,21,8,6,4,3,2,0.08919783375604849,156,109,60,26,12,6,4,3,2,1
200,0.09242641878907977,150,106,70,32,16,10,8,2,1,0,0.07993661345036306,150,102,54,27,13,6,3,2,1,0
200,0.0985680547622587,160,113,75,43,18,9,4,2,2,1,0.08378233762680586,152,108,60,30,13,7,3,3,1,1
400,0.09815266830600898,301,218,144,78,36,19,9,4,3,1,0.08710316079070615,313,212,128,44,22,15,9,9,6,4
400,0.09836640500245794,308,224,150,78,37,18,8,5,2,1,0.07442690701592568,314,210,119,50,16,11,6,3,1,1
400,0.10719198313657737,311,219,148,79,46,25,13,6,4,1,0.08629639595950397,306,213,135,56,21,13,7,5,3,2
400,0.10155874803026138,312,226,148,81,43,21,13,4,3,1,0.07056763501122136,300,211,117,36,13,8,3,2,1,0
400,0.10534552834436624,310,219,146,85,55,30,14,2,2,1,0.08525392705427062,322,222,135,56,20,13,7,4,2,2
400,0.0905141374849879,297,200,139,69,28,14,6,3,3,3,0.08292831331836065,313,218,125,50,23,17,8,4,2,1
400,0.10176510851259228,315,223,148,72,37,16,10,6,3,2,0.09291469819828184,312,227,124,54,28,17,13,7,5,3
400,0.0909989899007859,310,200,134,67,33,18,12,5,4,2,0.0833382259537032,311,212,137,56,21,12,9,5,2,0
400,0.10454092315075754,304,228,154,79,42,19,8,6,2,1,0.08856030041718531,314,224,132,56,25,14,6,5,3,2
400,0.09913224883353236,302,210,133,74,36,21,15,5,4,4,0.07575696384316903,301,210,121,45,20,11,6,4,0,0
400,0.09060108830130584,308,214,136,76,33,16,8,4,1,1,0.08255781314320806,304,211,120,57,24,15,7,4,2,1
400,0.10303127834964076,302,215,140,79,45,21,7,5,5,4,0.08292226642272034,298,218,124,52,27,15,10,5,0,0
400,0.09669383008457348,298,204,136,62,41,21,12,5,3,1,0.08442694408563199,297,210,120,61,24,14,10,5,4,3
400,0.10135439246462824,305,221,135,72,37,19,12,6,4,4,0.07975693191868978,305,213,107,54,23,17,7,2,0,0
400,0.08747347086060146,297,201,130,77,39,13,4,2,1,0,0.08139532755913874,309,217,115,50,25,15,9,4,1,0
400,0.08930002544646523,302,209,133,66,37,16,8,2,1,1,0.08709686890894755,304,218,134,56,24,18,8,6,4,2
400,0.09561389977881997,310,217,146,67,41,23,9,5,1,1,0.08501307344224665,306,221,124,56,22,11,8,6,4,2
400,0.08961938575948776,310,225,135,66,32,14,8,3,1,1,0.07412509856287533,302,202,118,48,20,13,5,0,0,0
400,0.09352916443583634,296,211,126,68,36,22,5,4,3,2,0.08073191884287219,300,221,127,43,17,12,8,2,2,1
400,0.1006856032835086,315,216,143,76,36,22,11,7,4,1,0.07285406348555792,302,214,110,40,12,9,6,3,1,0
400,0.09188337435953996,313,220,126,70,33,13,8,3,2,2,0.08175227559105389,294,210,108,51,21,16,11,6,4,2
400,0.10162763493581868,314,219,154,86,40,18,10,4,2,1,0.075875448619025,281,200,111,50,20,14,7,4,2,1
400,0.10377090033799184,316,225,146,74,43,18,9,6,4,3,0.08010097801175986,293,203,117,49,27,13,8,4,3,0
400,0.09728356991913656,305,214,129,64,42,23,13,5,4,2,0.0823029769680705,295,206,118,48,26,12,9,6,2,2
