budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.07856269351166234,30,21,16,10,4,1,1,0,0,0,0.05550419406595456,34,24,12,2,0,0,0,0,0,0
50,0.08964944168079897,33,26,17,9,4,1,1,0,0,0,0.07045177656159958,33,18,10,5,2,2,1,0,0,0
50,0.09940486470696384,38,31,21,7,5,1,1,1,0,0,0.08501017789745967,31,26,19,9,2,1,0,0,0,0
50,0.11041216459017598,32,27,19,9,5,1,0,0,0,0,0.0916164568531263,36,23,16,8,5,2,1,0,0,0
50,0.11183292037065592,34,25,18,12,4,1,1,1,1,1,0.07119269183831269,25,17,8,5,3,2,2,2,0,0
50,0.11370962000701455,37,25,20,8,6,4,3,1,1,1,0.07076716873610082,36,26,15,3,1,1,0,0,0,0
50,0.11042502562557947,36,29,10,8,4,2,2,2,2,1,0.061268639386966986,34,26,13,2,0,0,0,0,0,0
50,0.12511215700625533,40,28,21,12,5,3,1,1,1,0,0.07596517445752546,33,22,13,6,2,1,1,0,0,0
50,0.09595068701167173,40,29,18,6,3,1,0,0,0,0,0.08587393793773526,34,28,19,4,2,1,1,1,1,0
50,0.09291996332495972,33,28,17,6,2,1,1,1,0,0,0.06886572555776822,31,27,16,3,1,0,0,0,0,0
50,0.11061917209632602,39,29,22,14,4,1,0,0,0,0,0.10685559761842403,38,33,22,10,5,4,0,0,0,0
50,0.10316952961971836,34,25,23,9,5,0,0,0,0,0,0.07415752271735221,33,24,12,6,3,2,0,0,0,0
50,0.07463522128292331,32,18,11,4,4,3,1,0,0,0,0.0952697849962384,38,26,16,5,3,3,3,2,1,0
50,0.07901960596128581,34,22,13,5,3,1,1,1,1,0,0.09011663526800276,36,30,21,7,1,0,0,0,0,0
50,0.11389777554570865,28,21,13,8,3,1,1,1,1,0,0.08148830312447132,28,19,14,7,4,2,1,0,0,0
50,0.13466090674575634,34,25,16,10,8,5,3,2,2,0,0.10394915279411296,34,27,11,5,2,2,1,1,1,1
50,0.07706460415890258,32,22,16,6,4,2,0,0,0,0,0.08983393508248755,36,24,15,9,4,3,0,0,0,0
50,0.08282974881837328,37,26,17,6,2,1,0,0,0,0,0.08715061809284759,36,21,9,5,3,1,0,0,0,0
50,0.06678547993471927,31,21,11,6,3,1,0,0,0,0,0.061759368319502427,34,23,14,3,0,0,0,0,0,0
50,0.11315127788475625,34,25,14,5,2,2,2,0,0,0,0.07551234898676742,35,18,12,7,4,1,1,0,0,0
50,0.11163358590812236,36,29,21,9,4,2,2,1,1,1,0.08698741531576762,32,26,16,8,4,2,2,0,0,0
50,0.12377329732722152,36,24,17,9,4,3,2,2,2,2,0.11293961628913655,39,28,18,11,5,3,2,1,0,0
50,0.1362370798940928,33,22,13,6,3,2,2,1,1,1,0.09570825327758026,35,26,15,5,2,2,2,1,1,1
50,0.09399107370394988,37,25,16,9,4,2,1,0,0,0,0.08726402592080419,39,23,14,6,2,1,1,0,0,0
50,0.11100710346937866,33,19,15,9,3,2,1,1,1,1,0.1270773419737895,37,25,17,12,8,5,2,1,1,0
50,0.12329565754414258,37,29,17,10,8,7,3,0,0,0,0.09036771671850588,37,27,8,5,1,1,1,0,0,0
50,0.11283148573731512,34,28,22,8,4,1,1,1,1,0,0.048078973899763164,31,19,9,1,1,0,0,0,0,0
50,0.10561352840879483,35,22,15,10,5,5,3,1,1,1,0.06437199313974874,38,24,10,4,1,1,1,0,0,0
50,0.06966314570687225,33,19,14,5,2,1,0,0,0,0,0.059125550521857674,33,18,13,4,1,0,0,0,0,0
50,0.11278375601656478,34,22,14,9,5,2,2,2,1,1,0.08822973193555175,31,23,8,5,2,1,1,1,1,0
100,0.07621163961898889,64,45,28,18,10,2,1,0,0,0,0.06509871679017837,67,46,21,5,2,2,2,1,1,0
100,0.09359012639505693,71,55,38,18,7,4,3,2,0,0,0.07278819527603886,72,48,26,10,4,2,1,0,0,0
100,0.0966247157533015,76,57,38,17,10,2,1,1,0,0,0.08756237428712232,69,52,34,17,5,3,2,2,1,0
100,0.11359252561489536,72,55,41,23,13,6,3,2,0,0,0.09612198126282173,80,54,32,17,8,3,2,1,1,0
100,0.10201280160615576,68,45,26,18,9,5,2,2,2,2,0.07022251919848904,65,43,20,10,5,3,2,2,0,0
100,0.11121486832791744,80,56,39,21,12,6,3,1,1,1,0.07751359531815652,75,51,32,10,4,3,2,1,0,0
100,0.11008078915368992,76,60,28,17,10,5,2,2,2,1,0.07613078077275053,72,54,29,8,3,3,3,1,0,0
100,0.09895501333568037,78,53,35,18,9,6,1,1,1,0,0.08805310966835217,70,48,28,13,5,3,2,0,0,0
100,0.12055491307116135,76,54,36,14,9,5,3,2,2,1,0.09359507279902128,76,59,37,10,6,4,1,1,1,0
100,0.08654577409287062,72,53,35,14,6,4,2,1,0,0,0.08601846614084968,68,53,35,9,3,1,1,1,1,1
100,0.11404034072595524,82,59,40,24,10,4,1,0,0,0,0.09705005564583156,79,64,39,18,5,4,0,0,0,0
100,0.10434644787765376,71,51,41,19,11,2,1,1,1,1,0.06708249115368538,69,46,27,11,5,4,0,0,0,0
100,0.08083615495738099,72,45,28,13,7,5,1,0,0,0,0.09230249558970577,74,52,31,9,6,5,4,3,2,0
100,0.08052924637813996,74,49,34,14,5,1,1,1,1,0,0.08227601001999947,76,59,38,15,4,0,0,0,0,0
100,0.0945249027402342,62,46,31,17,8,3,2,2,2,1,0.06507895355828337,63,39,24,8,5,2,1,0,0,0
100,0.12103798223144464,71,51,34,22,15,9,5,3,3,1,0.09965640614668066,68,48,24,12,6,6,3,2,2,2
100,0.07820971977517971,74,48,32,13,5,2,0,0,0,0,0.08783138248480325,73,49,28,15,7,6,2,1,1,0
100,0.07479192924035921,70,52,35,12,3,1,0,0,0,0,0.07205208351801591,69,42,21,12,5,2,1,1,1,1
100,0.08331366708943799,68,46,29,15,7,5,1,0,0,0,0.07580690873839076,71,48,29,8,3,1,1,1,1,1
100,0.10112367147235103,73,53,33,13,7,4,4,2,1,1,0.08258671017781921,72,47,30,14,7,3,3,1,0,0
100,0.1111367744854767,75,53,37,14,8,6,5,2,2,2,0.0916884945317993,74,52,29,11,6,3,3,0,0,0
100,0.13633619446113973,78,50,35,20,10,8,5,4,4,3,0.10440351034060527,78,56,33,17,7,4,3,2,1,1
100,0.1349992000868658,71,52,33,15,10,8,7,4,3,3,0.08277358351753282,70,52,29,8,3,3,3,2,1,1
100,0.07981563712941689,71,47,29,15,7,3,1,0,0,0,0.0960592990620387,81,57,32,16,7,4,3,2,0,0
100,0.1104486272648922,77,52,40,24,11,4,2,1,1,1,0.10355215751645816,78,51,29,22,11,8,3,2,1,0
100,0.10213134721366453,73,53,33,19,11,7,3,0,0,0,0.07878835221463071,77,55,25,10,3,3,2,1,0,0
100,0.12097269879748625,74,58,44,21,10,3,2,1,1,0,0.05705767169972109,69,47,20,5,2,1,0,0,0,0
100,0.08352456762070724,66,41,25,14,6,6,4,1,1,1,0.07248979639953007,71,48,23,11,4,3,2,0,0,0
100,0.07140324819600939,66,39,26,11,7,4,1,1,0,0,0.06355426172513208,72,41,22,8,4,2,1,0,0,0
100,0.09311463893753508,69,48,29,18,8,2,2,2,1,1,0.08426860627771557,67,51,22,12,6,4,3,2,2,0
200,0.08617339006343794,147,105,67,38,17,5,3,1,0,0,0.07776835643445695,155,101,48,15,6,3,2,0,0,0
200,0.0927794759021224,148,110,77,36,17,7,3,2,0,0,0.07086806285314813,147,100,55,18,5,3,2,0,0,0
200,0.09944644411434916,155,114,76,36,17,6,4,4,1,1,0.07910721922719577,150,113,67,22,7,5,3,0,0,0
200,0.10517887909417102,149,112,83,47,25,9,3,2,0,0,0.08913776413421039,146,99,51,19,8,5,2,0,0,0
200,0.10004562036795288,145,100,65,39,18,10,3,3,2,2,0.07551949484198353,146,104,50,27,11,9,6,4,1,0
200,0.10758596951499146,158,111,78,42,22,10,6,3,2,1,0.08206854836403486,155,104,64,24,12,7,2,1,0,0
200,0.09713856968067283,149,107,55,34,19,10,5,3,3,1,0.08292777070504083,151,105,57,18,6,2,1,0,0,0
200,0.09504919541144544,156,112,68,33,19,10,3,1,1,0,0.08689657287517834,151,100,53,25,12,7,6,0,0,0
200,0.0985772236103271,150,105,69,28,16,9,4,3,3,2,0.08330553691674254,159,116,72,26,13,5,2,2,1,0
200,0.083914871050111,151,99,66,29,16,7,3,1,0,0,0.08193522281480015,137,97,52,15,8,2,2,1,1,1
200,0.10347625704165124,160,118,71,38,18,8,4,2,0,0,0.08281558578913709,150,113,67,26,10,8,2,1,1,0
200,0.09240385570702024,141,98,72,32,19,3,2,2,1,1,0.07772241564629055,154,118,59,23,13,9,3,1,0,0
200,0.08032047809909976,148,98,59,29,13,7,2,0,0,0,0.08740778712945647,148,107,74,29,12,7,4,2,1,0
200,0.09711036714419312,154,103,65,33,18,5,3,2,2,1,0.08547287619502361,154,104,59,28,9,4,4,1,1,0
200,0.09453895321768817,142,104,70,35,13,5,4,4,3,2,0.08077882481802731,143,98,57,28,11,7,4,1,0,0
200,0.10852021913077363,143,103,70,35,23,14,6,3,3,1,0.09701984931964716,147,109,64,32,15,5,4,1,1,0
200,0.0813104079561829,147,98,61,28,12,4,1,0,0,0,0.08724364010860806,145,102,63,25,11,4,0,0,0,0
200,0.09312080171848393,146,110,72,34,16,6,2,2,1,1,0.06549669334983503,145,96,51,23,14,8,4,0,0,0
200,0.09886096383741386,145,103,68,34,18,11,5,4,3,2,0.06620893958373543,145,95,54,19,6,3,2,1,1,1
200,0.09082420996711336,148,106,64,28,14,7,5,2,1,1,0.07911483054122986,150,99,54,24,7,4,4,1,1,0
200,0.10457460173612028,152,107,72,27,17,12,10,4,3,3,0.08361075957672667,154,111,62,23,11,5,2,0,0,0
200,0.12312976509165953,153,108,76,46,24,14,7,5,5,4,0.09338963821840836,145,99,53,22,5,3,2,1,1,0
200,0.11195751015545828,144,103,69,30,16,11,7,4,3,3,0.07464337560381383,156,103,65,30,12,9,5,1,1,1
200,0.08976739824185613,150,104,63,32,16,8,5,1,1,1,0.09313488659431624,148,101,57,24,11,6,5,2,1,0
200,0.09544955240167964,154,100,69,41,19,6,3,1,1,1,0.08998463750610719,136,97,55,28,12,6,2,0,0,0
200,0.09388779644303212,146,99,64,32,18,11,6,2,1,1,0.08503977027931472,153,109,62,29,11,3,3,0,0,0
200,0.10137047002998267,152,113,77,36,17,4,3,2,2,1,0.07783975450098646,144,98,46,19,12,5,3,0,0,0
200,0.08918956149247173,148,96,58,31,15,10,7,1,1,1,0.07268165925319332,157,105,53,21,7,4,2,1,1,0
200,0.097780430887197,139,91,59,31,23,13,6,3,2,2,0.07789597754369265,135,99,55,22,7,4,2,0,0,0
200,0.08620812823402924,145,94,55,30,16,6,3,3,2,1,0.08316673459609154,151,104,54,23,9,4,2,1,1,0
400,0.09298043864687583,298,221,139,76,36,15,7,3,1,0,0.08893641543586588,309,219,113,46,24,18,13,9,6,2
400,0.09481238390353022,308,225,153,83,39,15,6,3,0,0,0.07545061445827413,308,221,126,44,20,7,2,0,0,0
400,0.09089915926967908,301,224,149,66,31,9,4,4,1,1,0.08315011307304529,303,207,121,50,19,13,9,6,2,1
400,0.10292867275180924,305,219,155,84,44,18,7,5,2,2,0.0834659603578598,298,211,126,50,21,12,7,3,2,1
400,0.10208079926712868,285,202,128,76,38,23,9,7,6,4,0.08142377452595273,286,200,103,55,28,14,9,6,2,1
400,0.10099970293198016,313,223,148,76,43,18,12,6,3,2,0.07802257303422283,298,210,123,46,17,10,5,4,2,1
400,0.112119182521003,304,226,128,77,49,24,15,10,9,5,0.08488976788470401,288,211,116,40,24,16,14,9,3,0
400,0.10467507023902548,309,223,144,76,40,22,11,7,4,2,0.0885195324884419,305,219,123,58,24,14,10,4,4,3
400,0.0897381459874995,295,203,124,56,31,14,8,6,5,4,0.07579113307545934,298,208,115,45,19,9,3,2,2,1
400,0.08803578640010093,300,211,141,64,33,14,5,1,0,0,0.09153369550234032,302,221,133,56,26,18,10,5,2,2
400,0.10016875479292588,311,229,146,74,38,19,9,5,0,0,0.08744342165399473,313,227,135,61,24,13,3,1,0,0
400,0.09649779293909642,297,213,151,78,45,13,4,2,1,1,0.08218184454569727,298,207,118,55,24,14,7,5,4,1
400,0.0875086674427168,305,207,133,66,23,14,8,3,1,0,0.08988267617630527,318,221,127,44,23,16,11,7,5,1
400,0.095543529875153,311,212,135,65,33,14,7,4,3,1,0.08823541058292221,311,220,142,65,28,9,5,2,1,0
400,0.09603981439641897,292,206,137,79,33,13,8,7,6,2,0.08795064617839818,291,198,123,47,24,13,10,7,6,4
400,0.09863553357999057,297,204,130,65,39,21,10,7,6,3,0.0941287479556826,297,212,115,47,28,22,12,10,5,3
400,0.09000645335009673,306,212,133,62,31,16,6,2,2,1,0.08510519987659282,300,212,116,55,28,18,8,3,2,0
400,0.0908727177653742,303,208,130,62,33,18,8,6,4,2,0.07565091180686284,288,187,92,48,18,8,5,4,3,2
400,0.09963366558135807,292,217,145,71,38,21,9,6,4,3,0.07731129465904514,299,203,114,45,20,11,7,4,1,1
400,0.101288393130674,304,220,141,71,35,17,12,6,4,3,0.08165844629608555,291,205,119,48,23,12,7,4,2,1
400,0.08960775574670367,300,205,133,56,28,16,11,4,3,3,0.08468464654821446,296,221,120,49,23,16,13,5,4,1
400,0.10649058999654834,306,213,145,77,41,26,10,6,6,4,0.08570009957463849,305,221,120,53,22,13,8,4,2,2
400,0.10587566582813017,295,205,134,74,40,25,15,7,4,3,0.08168441628852012,295,212,120,50,20,11,7,3,2,1
400,0.09443476576528964,306,210,138,71,33,17,8,3,1,1,0.08577870300498112,303,212,128,58,24,13,8,5,2,0
400,0.09856683571678043,304,205,138,76,38,19,9,4,2,2,0.08919608296030798,302,212,128,70,26,16,8,5,4,1
400,0.09636987561374853,300,205,133,72,42,20,9,3,2,1,0.08870169939369063,296,210,112,56,26,19,13,7,6,1
400,0.1001277347423878,301,235,146,67,35,11,8,5,3,2,0.0772645809606417,298,200,115,44,18,12,8,4,1,1
400,0.0950852336257071,310,204,132,63,33,19,12,5,5,3,0.07012852386752272,303,200,99,40,13,8,4,2,1,1
400,0.08698530296148843,289,189,122,58,38,17,8,4,3,2,0.0765458781393045,290,193,115,47,23,12,5,3,2,1
400,0.08965923065971665,285,195,126,71,35,14,6,5,3,2,0.08637518464477703,284,215,115,50,26,15,10,7,4,1
800,0.0987750980588839,586,416,276,149,78,36,22,11,5,4,0.08254191399511716,602,438,234,89,43,30,22,11,7,2
800,0.09595161469940312,612,448,300,156,72,29,17,9,2,1,0.0804239657204334,615,437,240,95,44,21,11,7,6,2
800,0.09168809000056263,600,431,284,142,64,26,11,9,4,3,0.07820975054610868,595,402,232,89,31,21,16,9,4,1
800,0.10030400334088142,612,430,301,165,85,34,16,11,4,3,0.08464728108034135,612,434,259,104,44,23,14,8,4,3
800,0.09385040512877296,581,404,261,138,72,39,13,10,7,5,0.07905751311425993,593,404,222,101,51,23,14,9,4,1
800,0.10264960054038262,619,445,286,151,82,40,23,13,9,7,0.08187804276505745,595,423,243,97,45,29,17,9,2,1
800,0.11238462975810133,627,470,285,158,85,43,31,19,13,8,0.08765887576098556,590,428,240,96,51,37,27,14,6,1
800,0.09632269829924586,610,425,278,136,69,35,17,10,6,4,0.08301502395569382,607,431,240,107,46,25,15,6,4,3
800,0.09224481513548012,591,417,257,122,62,31,19,11,7,5,0.07880833186341528,619,430,241,106,40,20,8,4,3,1
800,0.08961736905497157,612,439,282,139,68,26,7,1,0,0,0.08093967327821171,605,427,241,94,39,30,13,7,3,2
800,0.09152318054820227,594,433,265,135,67,30,15,7,2,1,0.08684556272054716,620,434,245,113,51,28,13,8,4,2
800,0.0938923862077333,610,424,290,143,78,29,11,4,2,2,0.08267725060506073,616,423,242,104,49,24,15,8,4,1
800,0.0944238974781656,616,429,278,157,64,34,18,7,2,0,0.08827251707356541,636,466,260,99,47,27,18,12,6,1
800,0.09222510522197602,609,424,270,136,69,34,14,5,3,1,0.07861119410020785,605,420,260,106,43,17,7,4,2,0
800,0.0961204183374652,589,416,271,155,69,31,19,12,9,3,0.08251278337339496,593,413,245,93,39,21,15,9,7,5
800,0.09959932964642394,599,428,266,140,72,40,23,14,11,5,0.09070123107100583,609,428,238,92,54,39,21,15,8,6
800,0.08862497504854902,597,408,255,121,65,28,13,6,4,3,0.0877651337791263,599,423,246,110,53,35,18,9,6,4
800,0.09329401610020928,615,425,269,132,66,32,17,10,7,5,0.08155059405040475,588,400,216,107,49,28,15,9,5,2
800,0.09725054191084567,596,435,291,132,68,39,16,10,6,4,0.0812958589247922,605,430,236,104,39,21,14,9,4,3
800,0.1019556719599734,608,436,283,140,63,32,23,13,10,8,0.08331680662555532,605,428,233,106,55,30,14,5,2,1
800,0.10023539298422154,615,431,283,128,66,38,26,9,8,8,0.08276758255562837,618,457,245,97,39,25,18,7,6,2
800,0.09900162407704252,614,434,282,149,84,42,14,8,7,4,0.07676134039060098,602,416,236,101,33,18,9,4,2,2
800,0.1012179802665543,607,425,273,151,73,39,23,11,7,4,0.08204205270242515,592,428,246,103,40,25,13,7,4,2
800,0.09800116908257704,611,420,280,145,71,34,21,12,6,4,0.08427779752547533,604,422,245,117,52,25,14,8,4,1
800,0.09543823080305718,602,422,273,140,71,37,17,8,4,3,0.08642603142534222,604,422,252,128,53,32,12,6,5,2
800,0.09131888145159013,596,422,269,140,74,34,13,5,4,3,0.08375211163794269,596,414,228,111,51,35,20,8,6,1
800,0.10239630986873832,600,454,282,151,87,40,19,9,6,4,0.08084084436740475,607,418,236,100,43,27,14,9,4,2
800,0.0981118984947862,603,409,261,134,70,38,25,14,10,6,0.07706287562735753,602,408,221,91,35,22,9,5,4,3
800,0.08947023725246356,594,402,241,111,66,36,20,11,5,4,0.07796901264321904,598,403,232,100,44,23,9,7,5,3
800,0.09471872439720716,595,433,271,151,73,29,16,10,6,3,0.07788580581051548,574,412,222,96,42,22,13,9,5,1
