budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.092664574170433,41,31,20,11,8,6,3,1,0,0,0.06602094234896055,36,25,14,9,6,5,2,2,1,1
50,0.09949520198901476,43,32,18,11,8,5,4,1,1,1,0.1020241662325972,46,38,24,12,7,3,1,0,0,0
50,0.07551026782593802,35,23,15,9,5,4,3,3,2,2,0.06883452166122242,39,26,17,11,6,3,3,1,0,0
50,0.1067592048186595,39,31,19,12,8,5,4,4,3,2,0.06582693019464117,37,24,16,10,8,7,2,2,1,1
50,0.09237024003349054,40,27,21,13,7,6,5,3,1,0,0.08039175057282652,42,28,17,9,7,5,3,2,1,0
50,0.07580279174566765,38,26,17,11,5,3,3,1,0,0,0.08070662463880374,42,29,17,9,7,5,2,1,0,0
50,0.08804156568492252,42,27,20,12,8,7,3,1,1,0,0.08531888005244928,41,34,24,12,5,4,2,2,1,0
50,0.08259287436223994,40,28,19,12,5,2,0,0,0,0,0.07498653491975397,38,31,18,8,5,4,2,2,0,0
50,0.10952781005705337,46,31,25,15,7,6,4,3,2,2,0.07189423487648658,35,30,16,8,6,4,3,3,2,2
50,0.08437283540601502,41,28,17,10,7,7,4,2,2,1,0.07472572776323151,35,28,15,10,8,7,4,2,2,1
50,0.08234899293234399,38,29,18,10,7,5,3,2,1,1,0.08335115771146931,44,29,17,10,6,4,2,1,1,1
50,0.08602918663808871,36,21,14,11,10,7,4,2,2,2,0.09297287125786276,41,28,24,13,10,5,5,3,2,2
50,0.0956528641509308,39,30,18,11,8,5,3,2,1,0,0.08196228752810647,38,26,18,11,9,5,2,2,1,1
50,0.08652937471935558,40,30,18,10,7,4,2,1,0,0,0.09249292944955144,40,34,22,9,7,5,4,1,1,1
50,0.12386162920749952,39,33,23,16,9,5,5,2,2,2,0.0893454500127069,41,31,21,12,6,6,5,4,2,2
50,0.06718093755922103,33,26,16,8,6,4,2,0,0,0,0.08504823010476031,36,30,22,14,9,4,2,1,1,0
50,0.09906382377322637,39,28,18,14,9,7,3,2,2,1,0.08791915217053267,40,32,17,12,11,5,4,3,0,0
50,0.09559827417457492,33,26,18,15,11,5,2,0,0,0,0.08649781469971393,38,26,19,12,9,8,6,4,2,1
50,0.107305841722621,41,32,21,11,8,6,4,2,1,1,0.07952606994935542,41,33,18,10,5,3,2,1,0,0
50,0.0941682974596392,42,27,21,8,6,5,3,1,1,0,0.06498354766558302,37,27,17,7,6,1,1,1,1,0
50,0.12401669659618035,43,34,25,17,12,7,4,3,1,0,0.07869080452457239,39,26,17,9,9,6,6,2,2,1
50,0.12341342957798228,44,32,26,19,11,8,4,3,3,3,0.07135434478386986,39,28,19,13,7,4,2,1,0,0
50,0.07880859494480713,38,28,18,11,8,4,4,2,1,1,0.09875160155178278,39,33,21,14,8,7,5,5,4,3
50,0.10955466888308477,43,30,20,12,9,7,4,2,2,1,0.1012731506905818,41,31,20,14,8,7,7,3,1,0
50,0.1017344083256878,38,28,21,11,9,5,4,3,3,0,0.09154084643139987,39,31,20,11,6,5,5,3,2,2
50,0.08900635844973764,36,26,20,12,10,3,1,1,1,0,0.08257838358910106,38,29,15,9,8,6,5,4,3,2
50,0.09007669669449243,35,27,17,10,6,5,2,2,2,2,0.0711860239911761,39,28,20,8,5,2,1,0,0,0
50,0.09824050477454747,41,33,22,11,8,5,3,3,2,1,0.09040412323573296,39,33,20,9,7,6,6,3,2,1
