budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.08369416168056233,36,24,15,9,4,1,0,0,0,0,0.09219596793797027,40,26,15,9,5,3,2,1,1,1
50,0.11808746798438932,40,24,18,13,6,5,2,0,0,0,0.08157496161970608,39,29,14,5,5,3,2,1,1,1
50,0.110939185701034,39,28,20,8,4,3,2,1,0,0,0.05964390448390275,33,21,16,6,3,0,0,0,0,0
50,0.10419368428161624,39,28,19,9,4,3,2,0,0,0,0.07810786384383223,40,30,13,8,3,1,0,0,0,0
50,0.09021788722093413,39,30,21,7,3,1,0,0,0,0,0.08710326002264575,36,27,21,6,5,2,2,0,0,0
50,0.08092869651078648,34,20,11,4,3,3,1,1,1,0,0.11697492562388576,43,31,22,12,7,4,3,3,1,0
50,0.09492705288071553,33,23,14,5,5,3,1,1,1,1,0.049910046349644216,36,23,11,5,1,1,1,1,0,0
50,0.10808934802960612,42,31,18,11,4,2,0,0,0,0,0.09034405866747804,37,27,18,9,6,5,3,1,1,1
50,0.10577273088531726,39,29,20,13,5,2,0,0,0,0,0.10831942483866062,42,31,22,10,6,1,1,1,1,1
50,0.11237928865369458,38,27,16,9,6,3,2,2,0,0,0.13509035729002491,43,32,19,14,8,5,3,2,1,1
50,0.07382513528170973,38,23,15,6,3,2,0,0,0,0,0.09526999368316444,39,28,17,9,3,3,1,0,0,0
50,0.14273296518802392,35,27,17,12,9,5,3,2,1,1,0.07874740999890596,35,28,20,6,3,3,2,2,1,1
50,0.06535183599512953,35,24,13,6,2,2,1,1,1,0,0.05711772834820963,36,25,12,3,2,2,1,1,0,0
50,0.17068005655163934,40,31,21,13,7,6,4,4,2,1,0.10568328251702826,40,33,21,10,6,2,2,2,0,0
50,0.09468015628092392,36,25,17,12,5,2,0,0,0,0,0.08565042919486379,36,23,17,11,4,3,3,2,1,0
50,0.12389412788521445,42,29,21,13,8,5,2,1,0,0,0.0758095822577315,40,27,14,7,2,2,1,1,1,0
50,0.08470702645495343,37,25,16,8,4,1,1,0,0,0,0.08716001943004563,43,30,20,6,4,3,2,2,2,2
50,0.1045109664543416,42,36,22,8,4,2,0,0,0,0,0.07146004297897787,39,24,14,7,2,2,1,1,1,1
50,0.08153954964961338,35,25,18,11,4,2,0,0,0,0,0.0749621104387017,33,26,15,8,2,2,1,0,0,0
50,0.1087823833528698,41,25,18,11,6,3,2,1,0,0,0.0781352770527337,38,23,15,6,5,3,1,1,0,0
50,0.0959132656069075,37,27,19,7,5,3,1,0,0,0,0.103879633443709,36,27,21,11,7,5,3,0,0,0
50,0.10323566251780772,38,28,20,11,6,4,1,1,0,0,0.06886437385333956,39,26,17,8,3,2,0,0,0,0
50,0.06508329931777022,36,22,12,5,4,2,1,0,0,0,0.08804177724704848,36,28,20,10,5,4,1,1,0,0
50,0.09150446916460557,38,23,12,10,5,3,2,1,0,0,0.08320914503743229,41,32,24,6,3,2,1,0,0,0
50,0.08996339394896624,37,23,13,6,3,2,1,1,1,0,0.10020777757406953,39,25,15,7,3,3,2,1,0,0
50,0.07801606525985283,35,26,18,6,1,1,0,0,0,0,0.06222353531650164,33,22,11,6,3,3,2,1,0,0
50,0.07569349262419273,38,27,12,8,3,1,0,0,0,0,0.07833091935330991,40,29,19,6,3,1,1,1,1,1
50,0.08205468846981571,34,22,15,7,5,2,1,0,0,0,0.08400147048683344,44,27,14,6,5,3,1,1,0,0
50,0.08950905998163937,35,30,20,11,3,1,0,0,0,0,0.054957382216050114,39,22,9,5,2,2,2,0,0,0
50,0.08351941718350872,36,25,17,8,4,1,0,0,0,0,0.07179312138025723,44,26,13,5,4,2,2,0,0,0
100,0.10732669367601523,75,49,31,18,11,6,4,3,2,1,0.0691549535933129,79,57,32,11,4,4,4,3,2,2
100,0.09023602688910937,74,48,30,17,9,5,3,1,1,0,0.06673734284442047,69,48,22,8,5,4,2,2,1,1
100,0.08157161877976095,68,56,34,13,5,1,0,0,0,0,0.07349685130969888,74,45,25,12,8,7,4,3,2,2
100,0.10066924460712323,81,56,42,23,9,3,1,1,1,1,0.08215116685865814,78,55,29,16,5,4,3,2,1,0
100,0.11062396641157288,81,62,45,24,13,5,2,1,0,0,0.06312027330384483,70,43,25,9,5,4,3,3,1,1
100,0.10295709425035897,73,58,39,21,9,5,2,0,0,0,0.06291468466138359,74,51,30,10,2,2,1,1,1,0
100,0.08115627765660707,79,57,32,13,7,2,1,0,0,0,0.07836552006488988,78,56,31,15,8,5,1,1,1,1
100,0.10782018940721448,81,66,42,20,11,9,5,1,1,1,0.06944575041101547,72,55,33,12,5,1,1,0,0,0
100,0.08108949104528546,76,55,33,13,3,2,1,0,0,0,0.0847556541435256,75,53,29,15,9,6,4,3,3,2
100,0.08620684455087661,80,55,37,16,6,4,1,0,0,0,0.07350200208990197,80,52,32,13,6,5,4,0,0,0
100,0.1153158403925997,73,54,33,16,10,5,4,1,1,1,0.06181169467978241,71,48,22,10,7,4,2,2,1,1
100,0.08449031337375189,72,51,34,15,10,2,2,1,0,0,0.07353776747594318,74,57,33,11,7,5,1,1,0,0
100,0.08985387314695444,76,60,31,16,12,5,2,0,0,0,0.07629693663978336,82,63,34,17,6,3,1,1,1,1
100,0.08549462095841777,77,55,33,18,7,5,3,1,0,0,0.07740710308716067,76,53,32,11,5,2,1,1,0,0
100,0.08712515903022112,76,56,35,20,8,1,0,0,0,0,0.09960670430557736,79,61,42,22,7,5,3,2,2,2
