budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.09424468820709306,39,25,15,9,5,4,1,0,0,0,0.09591808725009007,39,21,14,9,5,3,3,2,1,0
50,0.0989521482720432,39,28,22,11,5,2,1,0,0,0,0.08200374125994175,35,24,15,9,5,3,1,1,0,0
50,0.08873457385019375,44,31,19,10,2,1,1,0,0,0,0.10210139812010302,39,28,20,11,7,3,2,0,0,0
50,0.08226282809189182,40,28,19,7,2,1,0,0,0,0,0.13339042142783356,36,30,20,10,7,4,3,3,2,2
50,0.12648452735701074,37,22,16,8,5,4,2,1,1,1,0.0703509362931723,37,24,12,7,3,1,1,0,0,0
50,0.08253569256665899,38,24,17,11,5,1,1,0,0,0,0.07253337016254616,40,32,17,4,3,1,1,1,0,0
50,0.05982872595675101,38,22,12,5,2,1,0,0,0,0,0.08355759632556663,37,23,14,9,3,1,1,1,1,0
50,0.10785429918483457,35,27,18,10,8,4,1,1,1,1,0.08642139834800915,42,30,16,7,4,2,1,1,0,0
50,0.09183698583378323,40,28,19,9,5,2,1,0,0,0,0.11598335197841345,43,30,19,10,4,3,2,2,1,1
50,0.10289269199103863,40,28,19,10,6,2,1,0,0,0,0.07362874053912474,32,24,14,11,5,1,0,0,0,0
50,0.062431981181980435,35,22,14,4,2,0,0,0,0,0,0.0736855718654234,37,25,15,8,4,2,1,0,0,0
50,0.06677888934060297,40,26,13,6,1,1,0,0,0,0,0.1168684600037517,38,29,17,11,5,4,3,1,0,0
50,0.08812043029953377,36,26,16,8,5,3,1,0,0,0,0.05555482436663721,38,19,9,4,2,0,0,0,0,0
50,0.10896023694112524,39,25,17,8,5,4,1,1,1,1,0.0839844556806221,38,30,20,9,5,2,1,1,0,0
50,0.09471711667535113,41,27,16,9,4,3,1,1,0,0,0.07968840605733776,43,32,17,7,5,3,1,1,1,1
50,0.07393652506780561,38,18,12,5,3,3,2,1,1,1,0.08614582468320459,43,25,16,10,4,4,1,1,1,1
50,0.13242114783371414,43,29,22,12,5,4,3,2,2,0,0.07868841636748765,37,24,15,8,2,2,1,1,1,0
50,0.08884173731656009,38,28,17,9,7,3,1,0,0,0,0.08589019468579448,34,25,15,7,4,1,1,1,0,0
50,0.101212772213478,43,29,20,10,7,3,1,0,0,0,0.08406721422219984,40,31,18,8,4,2,2,0,0,0
50,0.06372927991414949,41,24,15,5,3,0,0,0,0,0,0.09333652929805612,42,29,19,7,5,2,2,1,1,0
50,0.08962965650198591,39,23,14,10,4,3,2,2,1,0,0.06974122783230427,35,25,15,6,2,2,2,2,1,1
50,0.1304038122532525,40,32,20,10,6,5,3,3,3,1,0.09828355402171188,40,30,18,14,4,3,0,0,0,0
50,0.06748892028473961,38,21,12,7,2,0,0,0,0,0,0.0829876137401839,41,27,14,6,4,3,2,1,0,0
50,0.09674332236187044,33,22,15,8,7,4,1,1,0,0,0.06776005676694571,34,20,9,6,3,2,0,0,0,0
50,0.084381409622369,39,24,16,7,6,3,2,0,0,0,0.062000204639979725,37,21,10,5,1,1,1,0,0,0
50,0.09633862137542007,39,30,19,10,6,2,0,0,0,0,0.0891223862142368,38,26,18,7,3,3,3,2,1,0
50,0.09209249909177956,37,29,19,9,5,1,0,0,0,0,0.07735509035711871,39,26,13,7,4,3,1,1,0,0
50,0.10249610560726592,46,34,18,10,5,3,1,0,0,0,0.07290939241814481,35,24,14,7,3,2,1,1,1,1
50,0.09254211058662384,43,32,20,10,6,1,1,0,0,0,0.06202455699991325,42,23,10,4,2,1,0,0,0,0
50,0.100847702879924,45,29,17,9,4,3,1,1,1,0,0.07495344881040235,40,24,16,5,3,2,2,1,0,0
100,0.08887124787662468,80,50,37,19,6,4,2,1,0,0,0.06554531315144024,73,45,24,10,6,2,1,0,0,0
100,0.12809915917139042,79,54,38,19,12,7,3,3,2,1,0.08700947978853259,80,55,33,16,9,5,4,2,2,1
100,0.11796416542434353,83,63,41,24,16,6,3,1,0,0,0.0828969878540052,76,49,30,10,5,3,2,2,2,1
100,0.1029098597992506,78,57,35,18,9,6,2,2,2,1,0.07609670681824547,74,55,32,13,6,4,3,2,1,0
100,0.09920238654984108,74,50,35,18,12,5,3,2,2,0,0.08333585373365285,80,59,35,14,8,3,2,1,1,1
100,0.11710152080980175,72,58,42,20,10,7,3,3,2,1,0.1010605610358716,81,58,33,21,9,8,3,3,3,3
100,0.08597994322301071,79,48,33,12,8,6,2,0,0,0,0.09368509415875256,80,56,33,15,10,5,3,3,1,0
100,0.08513216650579176,83,55,30,16,10,3,1,1,0,0,0.0757302475016513,76,53,35,15,7,1,0,0,0,0
100,0.07932133347868177,68,43,27,12,8,3,3,0,0,0,0.09190507715625487,78,50,30,20,13,7,4,2,0,0
100,0.07891245776466055,78,53,33,12,5,1,0,0,0,0,0.07541323196135705,74,54,31,10,4,1,1,0,0,0
100,0.07848748817370235,72,40,28,13,5,3,1,1,1,1,0.08932023102961105,81,53,26,16,9,6,2,2,2,1
100,0.10279083022187192,75,52,32,17,10,8,3,2,2,2,0.0859552544359422,80,52,36,14,6,3,1,1,1,1
100,0.07993796480506722,80,55,35,14,7,2,0,0,0,0,0.0935268052887196,76,57,38,17,12,6,4,4,1,1
100,0.0790661019963672,76,45,25,13,7,4,3,0,0,0,0.0746250141762291,71,47,29,9,5,4,1,1,1,1
100,0.11382562753885425,79,63,43,29,13,6,3,0,0,0,0.07317029493632443,81,48,31,14,6,3,2,0,0,0
100,0.1116266921238309,79,58,40,21,14,6,3,2,1,1,0.09299975596117173,83,58,33,15,12,5,3,1,1,1
