budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.12943374384190562,45,34,22,15,10,7,4,1,1,1,0.07043504424514692,44,32,25,13,10,4,2,1,0,0
50,0.11601352095303835,39,33,28,16,11,6,3,3,0,0,0.08696670768477811,42,29,23,19,8,4,2,1,0,0
50,0.0988142614389444,36,25,18,12,8,5,3,2,2,2,0.07558003491427487,43,33,18,11,7,4,4,2,1,1
50,0.056975889729958686,33,23,15,9,4,1,1,1,0,0,0.07576912566662347,39,31,22,10,5,4,3,1,0,0
50,0.08150454868254663,41,27,16,11,8,3,3,1,1,0,0.1029411239567762,43,34,24,14,6,5,3,1,1,0
50,0.09119075133586654,38,28,17,14,8,3,2,2,1,1,0.07837046610542135,40,28,24,19,11,6,3,0,0,0
50,0.10146457718050578,35,26,18,15,10,5,4,2,2,2,0.08477582886824014,35,25,16,12,10,7,3,3,1,0
50,0.09030759263203553,40,30,21,15,9,2,1,1,1,1,0.07565458345161934,40,28,20,12,10,4,1,1,1,1
50,0.12231538561045957,43,29,24,16,11,6,3,3,0,0,0.08365343767153557,40,27,18,13,8,5,3,1,1,0
50,0.0904328665101231,39,27,19,15,9,5,1,1,1,1,0.08745886289568347,39,34,25,14,10,8,3,1,1,1
50,0.0968492488919433,35,28,22,14,6,2,1,1,1,1,0.06955768331108476,34,25,17,15,10,5,3,2,2,0
50,0.1005016629691095,40,29,21,13,5,2,1,1,1,1,0.14117835873535092,43,36,27,16,12,9,4,3,1,1
50,0.10543806613650578,39,30,24,15,5,3,1,0,0,0,0.11201511787144756,39,32,22,13,10,7,6,5,3,0
50,0.10483198135550878,36,33,22,12,7,6,4,2,1,1,0.1023545700673213,38,35,23,14,11,7,6,3,1,0
50,0.08784831562669612,39,31,16,10,7,4,2,0,0,0,0.08652616572458711,37,28,24,11,8,4,4,3,3,2
50,0.09297838843889053,34,24,16,14,7,6,4,3,2,0,0.08104060620610154,38,35,22,9,6,3,2,1,0,0
50,0.0632921696025391,33,26,12,6,3,1,0,0,0,0,0.06035724119597236,38,25,18,12,7,3,3,1,0,0
50,0.08884382231258495,36,26,20,16,10,5,2,1,1,1,0.07310351700080868,37,26,14,11,10,7,2,2,2,2
50,0.08662333202506622,39,26,20,10,7,3,2,2,0,0,0.05950969453752729,34,27,20,8,6,3,3,3,2,1
50,0.0942064610510794,36,25,22,12,9,3,1,0,0,0,0.09933959860829472,42,32,21,13,7,4,3,3,2,1
50,0.11927480010224127,40,30,26,17,9,7,4,3,3,2,0.07585651083192085,42,25,15,12,6,2,0,0,0,0
50,0.07268394116310649,38,23,14,8,2,0,0,0,0,0,0.0602113935510469,35,26,18,10,6,4,2,2,0,0
50,0.08133784545674788,37,27,18,11,4,3,3,1,1,0,0.09292334086617536,42,31,21,14,8,5,2,0,0,0
50,0.09851138585669432,41,30,24,16,11,4,1,0,0,0,0.09056642575601516,42,32,28,22,15,8,5,3,2,0
50,0.11119819937227499,44,33,26,17,10,3,1,1,1,1,0.1368369557379026,37,25,21,10,8,8,6,4,3,2
50,0.13973223067166265,44,31,25,16,9,8,4,2,2,2,0.1036123331776408,45,38,28,20,15,10,6,1,0,0
50,0.050917981584697576,33,20,10,7,1,1,0,0,0,0,0.09515601621205158,40,28,20,12,8,7,5,3,2,0
50,0.10240409169916127,42,33,26,16,8,4,3,1,1,1,0.0901782503752908,44,37,27,16,11,7,6,3,1,1
50,0.0975589218703813,35,27,19,14,9,7,5,4,3,3,0.07792185041152408,39,31,17,11,6,5,2,2,1,0
50,0.10303658808069184,44,32,23,17,6,4,2,2,1,1,0.07997852375767088,37,25,16,10,7,4,3,1,0,0
100,0.1141051084632561,71,57,48,24,15,7,5,3,1,1,0.08503101617038636,74,60,43,28,17,11,6,4,2,1
100,0.09921801745781472,84,65,45,31,20,11,7,4,2,1,0.09016926617032844,80,61,40,25,12,7,4,3,2,1
100,0.09918504840452716,83,59,38,23,18,10,6,5,4,2,0.0749636789935841,81,56,40,27,19,6,5,4,2,1
100,0.10050247100395517,78,58,40,28,19,13,7,4,3,2,0.06413664210859077,73,59,43,25,12,8,3,3,3,1
100,0.09647249699200146,73,56,39,26,16,7,5,4,0,0,0.09210931976464416,85,57,36,22,15,10,4,2,2,2
100,0.0882950892693573,76,55,35,24,15,10,4,3,1,1,0.08287950930857059,81,59,37,26,17,10,5,3,1,0
100,0.11298663188456926,79,58,43,35,24,18,9,7,5,4,0.07309266558128846,78,63,43,21,10,6,3,2,1,0
100,0.09325011105393244,72,53,39,28,17,10,7,6,3,2,0.07986211368269433,79,58,40,26,9,5,2,0,0,0
100,0.09142280237665644,78,56,38,29,22,8,3,2,1,0,0.09706322188607183,85,63,43,24,13,10,9,5,3,1
100,0.09629336257831904,75,58,42,33,18,8,5,4,3,2,0.10852887502025096,75,57,40,20,8,4,2,2,2,1
100,0.09424075452383693,79,60,39,29,20,13,7,4,2,0,0.058872098518221866,69,53,35,24,12,11,7,2,1,1
100,0.08230729814131267,72,47,34,25,14,8,5,3,3,1,0.09140244351788876,82,61,44,27,18,11,7,4,3,2
100,0.08915175846556607,81,54,37,21,12,8,5,4,4,1,0.07394848241003092,75,59,36,25,16,13,8,5,1,1
100,0.07787894987433935,71,55,33,20,12,5,3,3,2,2,0.08276109521248813,79,65,43,27,17,13,10,7,4,2
100,0.08671454674079566,74,54,33,25,16,7,4,1,0,0,0.07002393777563018,76,53,38,21,14,8,3,1,0,0
100,0.07136734515574403,78,51,33,17,11,7,5,3,2,2,0.07795296895152545,76,57,34,26,19,12,10,5,3,2
100,0.09218472433445052,78,56,39,25,12,8,7,5,4,4,0.10257030801007437,81,62,39,27,15,12,9,7,3,3
100,0.09644637393133162,74,49,37,26,16,8,4,2,1,1,0.08670809137308735,82,67,44,22,12,9,7,5,2,1
100,0.08874167164913456,81,52,38,23,18,12,7,4,2,1,0.08320287254105979,79,61,45,28,19,14,11,6,5,3
100,0.0973993084183094,77,57,42,27,21,14,9,4,3,2,0.08595653140063783,83,58,40,24,18,10,3,1,1,0
100,0.10334964975724496,82,62,43,25,17,7,4,1,1,1,0.09014438859032876,79,64,42,20,15,12,9,4,2,1
100,0.09234252247060404,75,52,41,31,20,7,5,4,3,3,0.08992478799346472,80,58,39,29,17,12,7,3,1,0
100,0.11394518428171545,78,60,46,28,20,10,8,4,4,4,0.08745915007481475,81,66,49,25,14,11,8,7,4,4
100,0.09973153783415736,79,57,43,29,16,8,2,0,0,0,0.06671883819902125,74,58,40,22,14,10,5,4,2,1
100,0.10597164666743694,76,60,41,28,21,11,8,4,1,1,0.08460949375289524,77,59,37,23,16,10,5,3,0,0
100,0.10940325850275516,83,62,48,33,23,15,11,6,5,2,0.06298428804292186,73,52,41,24,12,3,2,2,2,1
100,0.08535698754820219,77,58,38,26,13,7,5,3,2,2,0.08158919617410637,84,61,45,27,18,13,10,6,2,1
100,0.07934055351949693,74,52,36,24,13,6,3,2,1,1,0.06071913801272619,75,50,35,21,12,8,5,3,3,2
100,0.0892319264186216,76,49,30,17,12,6,2,2,1,1,0.07438066787382189,78,59,39,29,15,12,9,8,2,0
100,0.08778603152482513,79,58,35,26,12,9,4,1,0,0,0.06947115864764009,76,56,35,20,11,9,6,4,2,1
200,0.10728854818082252,164,132,93,58,37,17,11,5,2,2,0.08702429647187424,166,121,86,43,31,17,11,7,4,2
200,0.08942129184328734,147,107,70,47,32,17,11,6,4,4,0.0704597148822215,150,104,75,48,29,19,6,4,3,1
200,0.09369028884297116,152,110,77,57,35,23,8,5,4,4,0.09138685149931776,163,116,83,49,33,20,15,6,4,4
200,0.1029421401285352,143,107,81,54,38,21,12,8,4,3,0.07962322815422591,157,113,84,45,31,23,10,9,5,5
200,0.0930942983361156,147,112,85,53,33,17,8,5,4,4,0.08015508854521126,159,115,75,46,26,18,7,6,4,1
200,0.09469817417783456,161,106,75,46,29,20,12,6,3,3,0.07687645331845837,150,109,73,44,33,18,5,4,3,3
200,0.08685514070634742,148,103,74,50,28,15,12,6,5,4,0.08398086908185756,163,125,83,48,26,17,14,6,4,4
200,0.07761871137928357,157,113,71,42,24,8,3,2,2,1,0.07672627565562629,157,119,78,55,36,27,15,9,6,4
200,0.1116594789242725,155,114,94,60,40,21,13,8,2,2,0.08855050360442708,163,121,86,54,36,27,16,11,6,1
200,0.09661039449067142,152,119,86,51,29,18,12,9,6,4,0.08134163152839631,160,127,83,49,28,21,15,11,6,2
