budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.07918776591465401,32,24,16,9,3,1,0,0,0,0,0.07406612975392374,36,25,12,6,3,2,1,1,0,0
50,0.07398632715006412,39,23,12,5,2,1,1,1,1,0,0.06627512754226726,34,23,12,4,2,2,0,0,0,0
50,0.10234203252156136,41,33,20,10,4,2,1,1,0,0,0.06537557242059196,32,22,10,5,3,2,1,0,0,0
50,0.08412332452958576,36,26,17,9,3,2,1,1,0,0,0.06837852935981427,35,21,15,8,3,0,0,0,0,0
50,0.06115240512545578,35,23,11,5,1,0,0,0,0,0,0.08902083096849835,38,30,11,6,2,2,2,2,2,0
50,0.10961805027116904,32,26,18,12,10,3,1,1,1,0,0.07365017151203329,34,26,15,6,2,1,1,0,0,0
50,0.08906174732323148,33,24,12,4,2,2,2,2,1,1,0.10862866324520737,44,28,17,7,6,4,3,1,1,1
50,0.09690593001525973,36,24,15,10,3,2,2,1,1,0,0.06525848288252031,33,27,15,4,1,0,0,0,0,0
50,0.10164410394432287,38,25,15,7,2,1,1,1,1,1,0.08319464316962724,35,28,20,10,2,1,0,0,0,0
50,0.08268681148732142,38,25,18,10,4,1,0,0,0,0,0.07645684736741429,31,26,17,6,3,2,1,0,0,0
50,0.10552508127017192,41,29,17,11,8,2,1,0,0,0,0.106600937695277,36,29,18,9,8,5,2,1,0,0
50,0.12055873852699996,42,32,17,9,3,1,1,1,1,1,0.06953759565982395,41,27,14,4,1,0,0,0,0,0
50,0.06098702935195272,33,18,10,5,3,1,1,1,0,0,0.0623565322170409,40,28,12,4,1,0,0,0,0,0
50,0.0822661595095841,36,23,18,10,4,1,0,0,0,0,0.08167765469070695,37,22,14,9,3,3,2,0,0,0
50,0.08043758840632964,40,24,13,8,3,3,1,1,0,0,0.08062670371076383,40,29,14,6,2,1,1,1,1,1
50,0.07647170797093067,35,28,16,8,2,1,0,0,0,0,0.05367632872483928,29,21,10,5,2,0,0,0,0,0
50,0.1036348304275421,34,23,19,8,4,3,1,1,1,1,0.12429882005205076,35,27,19,11,5,3,3,3,3,2
50,0.12388568442703743,39,28,20,11,5,5,3,2,1,0,0.09030756796009086,42,28,17,6,5,3,1,1,0,0
50,0.1501191650788089,42,34,18,13,9,6,4,2,1,0,0.10170597449913772,37,24,16,8,6,3,3,3,2,2
50,0.07740688898217507,37,28,16,9,2,1,0,0,0,0,0.07145047479060733,33,24,9,3,1,1,1,1,1,1
50,0.09408853453399088,38,24,16,7,6,4,2,0,0,0,0.06300274372155061,35,18,12,4,2,2,1,1,0,0
50,0.13313416408056014,34,25,18,9,7,7,6,2,1,1,0.07292626206492854,37,24,15,7,2,1,0,0,0,0
50,0.12287939429619785,42,31,19,12,9,7,4,0,0,0,0.09061645589455898,34,25,18,6,4,3,1,0,0,0
50,0.09653012131558812,39,29,16,8,3,1,1,1,1,1,0.08231475531853602,36,26,14,5,2,2,2,2,0,0
50,0.11143929471405488,36,25,15,9,5,3,3,1,1,1,0.0963302156857811,43,32,14,6,5,5,3,1,1,1
50,0.10122941749850987,39,34,21,9,5,4,0,0,0,0,0.09090761678331807,38,31,24,10,5,0,0,0,0,0
50,0.1163611711321074,37,25,15,6,5,3,2,2,1,1,0.09373309340858084,38,27,15,6,4,4,2,2,0,0
50,0.11061250845199247,43,35,15,10,6,3,2,1,0,0,0.0976401158760298,41,30,22,8,4,1,1,0,0,0
50,0.07513613377375064,34,24,13,8,2,2,1,1,0,0,0.08670979979863602,42,29,15,5,3,2,2,1,1,1
50,0.0956347598996503,32,24,14,8,6,3,1,1,1,0,0.07457814885523276,37,26,11,6,2,2,1,1,1,1
100,0.09796318677842193,78,54,34,15,7,5,3,2,1,0,0.08616157656424264,82,61,28,11,4,3,2,1,1,1
100,0.09989188731789964,77,52,34,20,10,8,3,0,0,0,0.08995369209588573,80,51,40,16,7,7,3,2,0,0
100,0.09444186581885576,73,56,30,18,9,5,2,1,1,1,0.07557548662345852,83,60,36,10,3,1,0,0,0,0
100,0.09380246232586303,81,52,36,16,9,4,4,2,1,0,0.07325963963050529,73,45,29,12,6,3,2,1,1,0
100,0.11352327592781915,73,51,33,24,14,9,6,2,0,0,0.09945950428925668,79,57,33,15,9,4,2,1,1,1
100,0.09643156483654676,80,59,39,18,7,5,2,0,0,0,0.10529017298074934,80,61,36,17,9,6,4,2,2,0
100,0.10245544770664734,79,57,41,15,11,4,3,1,1,1,0.09209966722159076,78,58,36,14,7,4,4,1,1,1
100,0.10982545043396104,75,54,39,27,16,8,2,2,0,0,0.07216765581865071,76,57,27,10,4,2,1,0,0,0
100,0.08378216830845686,81,61,35,15,3,2,1,0,0,0,0.08145075049318194,76,59,31,10,6,2,1,0,0,0
100,0.08876969551889978,71,49,29,17,13,6,1,0,0,0,0.052069804486521515,69,44,18,4,4,1,1,1,0,0
100,0.0935752896532794,76,58,36,15,9,6,1,0,0,0,0.07975486365202386,82,51,28,12,6,5,2,1,0,0
100,0.09771872827520874,79,52,37,19,10,5,3,1,1,0,0.07758667931573754,76,56,34,13,4,2,0,0,0,0
100,0.0773339970334819,80,51,31,17,8,2,1,0,0,0,0.08411053754102145,68,46,30,14,6,5,3,0,0,0
100,0.11144062516437726,81,57,39,16,8,4,3,2,2,1,0.06686322104047909,74,64,21,5,3,2,0,0,0,0
100,0.0848586311454844,75,53,34,16,7,3,0,0,0,0,0.07070315370558035,74,49,29,12,6,2,2,1,1,0
100,0.08725151843689362,78,56,39,16,8,4,0,0,0,0,0.08282455258303821,75,57,37,12,5,2,1,1,1,1
100,0.11745278625554573,76,54,40,22,13,7,3,2,1,1,0.06964664568297264,75,52,30,12,3,2,0,0,0,0
100,0.09790020021226753,75,52,34,20,13,5,1,1,1,0,0.07821163819026522,77,54,31,13,5,4,2,2,0,0
100,0.11151197455411456,76,59,42,25,14,8,2,1,0,0,0.07806358735811099,74,55,27,10,4,2,2,1,1,0
100,0.07250857860847584,72,53,30,13,4,1,0,0,0,0,0.07971624536502116,74,50,26,14,5,5,4,2,1,1
100,0.09215895312184737,72,57,37,18,8,6,2,0,0,0,0.10168254436143552,78,52,28,15,10,9,7,4,2,1
100,0.08721764609430926,74,47,31,17,9,5,2,0,0,0,0.10193564836250606,82,54,29,16,11,7,3,2,1,1
100,0.08530657932863173,74,49,31,17,11,4,2,1,0,0,0.07309849619621676,78,44,25,11,4,2,2,2,1,0
100,0.10367221264265923,81,54,33,17,8,5,3,3,1,1,0.10183951875626973,75,56,37,18,11,9,6,3,1,0
100,0.11962588721770953,75,59,40,24,13,7,2,1,1,1,0.06590815827782459,78,48,24,8,2,2,1,1,1,1
100,0.09720855662079207,74,56,31,21,14,7,2,1,1,0,0.09053409279514467,80,64,31,15,7,4,1,1,1,1
100,0.10939770601181624,75,55,39,15,6,4,4,2,2,1,0.09824155589683746,78,58,29,11,7,5,4,4,4,2
100,0.0719346922322662,71,47,28,13,6,2,1,1,0,0,0.09002755512197859,77,60,30,15,5,3,3,3,2,2
100,0.07737024137666211,66,46,28,17,9,4,1,0,0,0,0.10236564605366688,78,53,34,17,8,7,4,2,1,0
100,0.08842976332975462,77,56,37,21,3,1,0,0,0,0,0.06733403719597446,76,55,33,7,1,1,0,0,0,0
200,0.10170907776003384,132,104,79,46,24,9,3,2,1,1,0.08534878996737763,155,119,66,27,8,6,4,4,4,2
200,0.0959312278069418,159,110,65,35,20,10,3,2,1,0,0.0831891117958019,156,108,65,28,12,9,3,2,0,0
200,0.07866939210342387,150,100,58,24,12,8,4,2,1,0,0.08214022334756323,158,112,60,29,11,7,2,2,1,0
200,0.08360756648093272,155,103,65,24,11,8,3,1,1,1,0.0677764080997952,148,101,52,18,9,4,2,1,0,0
200,0.0945795372192849,155,106,71,37,18,9,3,2,0,0,0.08463927016902607,137,101,56,28,16,9,4,3,3,0
200,0.1144269206171462,164,109,73,48,29,8,4,4,1,1,0.08856010849914085,140,101,54,26,18,12,4,3,3,2
200,0.09405297858094132,154,108,69,35,19,13,2,1,1,1,0.08390167159744276,150,103,56,24,10,7,4,4,3,2
200,0.11078511782832767,162,117,73,38,22,9,4,3,2,2,0.08378959556558807,147,106,57,23,14,8,5,4,1,0
200,0.126171106749979,149,111,72,53,31,15,10,6,3,1,0.07997592027978441,149,100,63,34,10,8,4,0,0,0
200,0.07886396082795281,146,97,68,32,9,5,4,0,0,0,0.07413651580526139,150,104,57,16,13,5,3,2,1,0
200,0.09040983114727767,146,112,75,37,17,5,2,1,0,0,0.08038830663875426,145,103,60,27,10,5,4,3,1,1
200,0.10162383769023067,146,100,72,37,18,12,5,4,4,1,0.0865601609576263,154,117,70,31,13,5,1,1,0,0
200,0.09921711394718064,159,110,72,37,19,11,4,1,1,0,0.06829846522534855,150,103,49,20,7,3,2,1,0,0
200,0.08317473032794488,154,105,59,37,18,9,2,1,0,0,0.08830610510361568,146,104,58,29,12,9,8,5,4,1
200,0.0813785825459864,155,91,58,27,14,9,3,1,1,1,0.09180175029352368,157,106,64,30,15,12,7,3,1,1
200,0.11173128930292682,164,119,75,48,26,13,5,2,1,1,0.06675608704859767,155,94,53,18,5,3,2,1,1,0
200,0.0937500265521488,148,106,70,39,18,9,4,2,0,0,0.07839084379100689,147,97,57,21,11,8,5,2,1,1
200,0.09524678997066847,146,105,67,31,16,8,4,1,1,1,0.08259882499816744,144,98,59,21,13,11,6,3,1,0
