budget,mse_DO,eps0_DO,eps1_DO,eps2_DO,eps3_DO,eps4_DO,eps5_DO,eps6_DO,eps7_DO,eps8_DO,eps9_DO,mse_DD,eps0_DD,eps1_DD,eps2_DD,eps3_DD,eps4_DD,eps5_DD,eps6_DD,eps7_DD,eps8_DD,eps9_DD
50,0.06512140938482787,35,20,14,10,5,0,0,0,0,0,0.07440757777783888,37,21,15,6,2,1,1,0,0,0
50,0.0943785962718305,39,26,19,11,4,2,1,0,0,0,0.08191104249569342,37,27,11,8,5,4,0,0,0,0
50,0.07666874252942146,41,31,15,6,3,0,0,0,0,0,0.11721602765376456,45,34,21,11,4,2,2,2,1,1
50,0.07662988683056741,32,24,14,8,2,2,1,1,0,0,0.06288825107559931,30,21,11,7,3,2,1,1,1,0
50,0.08999556742694156,41,30,16,9,4,2,1,0,0,0,0.058118944310557474,34,21,12,5,1,1,1,0,0,0
50,0.11905524955785066,42,34,27,16,7,3,1,0,0,0,0.07716226860319142,42,32,15,4,2,2,2,1,0,0
50,0.09972573374918467,38,28,18,10,4,3,2,0,0,0,0.09673789757591353,41,29,20,5,5,2,2,1,1,1
50,0.09747452358104754,35,27,17,8,3,1,1,1,1,1,0.0734662785647489,31,22,13,6,3,3,1,0,0,0
50,0.11281406798094845,38,30,19,11,5,3,2,0,0,0,0.0654828964618007,39,25,11,4,1,1,0,0,0,0
50,0.12208935844424686,38,29,21,13,8,3,1,1,0,0,0.07061234946359914,38,24,14,7,3,1,0,0,0,0
50,0.11414237249915392,38,33,21,10,3,2,2,1,1,1,0.07092478435235347,31,19,14,8,4,2,1,0,0,0
50,0.08254212709696107,39,26,14,4,2,1,1,1,1,1,0.07640762914363404,37,30,17,7,1,1,1,0,0,0
50,0.1553308222427355,42,31,21,12,9,6,4,2,1,1,0.06700490583231906,43,28,12,4,1,1,1,0,0,0
50,0.1074800995094373,40,30,21,12,4,3,1,1,0,0,0.06285645607679079,40,26,11,2,1,1,1,1,0,0
50,0.1260584415692232,42,33,22,11,5,4,2,2,2,0,0.06871485165775651,35,21,8,3,3,2,2,1,1,0
50,0.0831245308188238,37,27,18,7,2,1,0,0,0,0,0.06142306652692234,37,20,12,4,3,3,0,0,0,0
50,0.08789943227902929,37,24,18,10,4,3,1,0,0,0,0.06430643960264534,35,22,12,5,3,2,0,0,0,0
50,0.10702366571991596,34,27,17,11,8,5,2,0,0,0,0.07276800792252726,39,27,15,6,3,1,0,0,0,0
50,0.1000106825267748,39,30,22,13,6,0,0,0,0,0,0.08046269214388699,34,24,19,7,3,1,1,1,0,0
50,0.08365925044856469,36,26,16,9,5,2,0,0,0,0,0.08605598875792796,33,27,13,6,4,2,1,1,1,0
50,0.1101681970281383,40,26,20,11,7,3,1,0,0,0,0.07661329063992989,38,21,11,4,3,3,2,1,0,0
50,0.07152163812570672,40,32,16,7,2,0,0,0,0,0,0.06366981352134532,34,22,10,6,3,0,0,0,0,0
50,0.13141459726425664,34,28,21,12,9,5,3,2,1,1,0.0823821324196033,35,23,16,4,3,2,1,1,1,0
50,0.07689008343182169,36,26,14,7,3,1,0,0,0,0,0.08958159959762442,42,30,15,4,4,3,1,0,0,0
50,0.08788058566774443,41,28,22,12,3,1,0,0,0,0,0.0690029327247456,40,28,17,5,0,0,0,0,0,0
50,0.10385195907660157,36,28,18,6,3,2,1,1,1,1,0.07450589759521957,37,25,17,6,1,1,0,0,0,0
50,0.12775596443383372,37,31,22,13,7,3,2,2,1,0,0.07664621324426915,35,26,13,5,3,1,1,1,1,1
50,0.07188440888686204,37,19,12,8,4,2,1,1,0,0,0.05297621709683395,36,22,8,1,1,1,1,1,0,0
50,0.1368124786952152,41,28,20,13,8,6,4,1,1,0,0.09959522726086098,40,33,17,9,4,3,3,1,0,0
50,0.07752762582906414,39,29,13,6,2,2,0,0,0,0,0.0938734162983218,43,29,15,6,3,2,2,1,1,0
100,0.11612122797403178,78,53,36,24,12,9,5,2,2,0,0.08693286652561064,78,53,31,16,6,3,1,1,0,0
100,0.07152698232630837,76,44,28,14,6,2,1,1,0,0,0.0835517960591319,80,52,30,11,6,5,3,2,1,1
100,0.0701232909029435,72,53,31,11,2,2,0,0,0,0,0.09147477607886258,76,58,34,14,6,5,3,0,0,0
100,0.0850054346352177,78,53,34,17,6,4,4,0,0,0,0.09949242657048572,74,52,32,14,8,5,3,3,3,2
100,0.0916488469655413,76,57,37,21,10,2,0,0,0,0,0.08172541300975629,74,51,26,11,6,4,2,2,2,1
